Date,Open,High,Low,Close,Adj Close,Volume
2021-01-05,5.050000,5.050000,5.050000,5.050000,5.050000,700
2021-01-06,5.000000,5.050000,5.000000,5.050000,5.050000,1100
2021-01-07,5.000000,5.050000,5.000000,5.000000,5.000000,1400
2021-01-08,5.000000,5.000000,4.950000,5.000000,5.000000,2000
2021-01-11,5.000000,5.000000,4.950000,5.000000,5.000000,1500
2021-01-12,5.000000,5.050000,5.000000,5.050000,5.050000,1000
2021-01-13,5.000000,5.100000,4.900000,5.050000,5.050000,2100
2021-01-14,4.850000,5.000000,4.850000,5.000000,5.000000,1300
2021-01-15,6.000000,6.000000,5.000000,5.400000,5.400000,2600
2021-01-19,5.100000,6.000000,5.100000,5.650000,5.650000,5200
2021-01-20,5.250000,5.400000,4.950000,5.400000,5.400000,800
2021-01-21,5.250000,5.250000,4.950000,4.950000,4.950000,1300
2021-01-22,4.950000,5.300000,4.950000,5.300000,5.300000,2400
2021-01-25,5.000000,5.200000,4.950000,5.050000,5.050000,1800
2021-01-26,5.000000,5.200000,4.950000,5.200000,5.200000,1000
2021-01-27,5.050000,5.050000,4.900000,4.955000,4.955000,4100
2021-01-28,4.900000,5.050000,4.900000,4.900000,4.900000,1800
2021-01-29,4.900000,5.000000,4.900000,5.000000,5.000000,1300
2021-02-01,4.900000,5.000000,4.220000,5.000000,5.000000,2600
2021-02-02,4.900000,5.000000,4.900000,4.950000,4.950000,2000
2021-02-03,4.900000,4.950000,4.900000,4.950000,4.950000,200
2021-02-04,4.220000,4.800000,4.220000,4.800000,4.800000,2200
2021-02-05,4.900000,4.950000,4.800000,4.950000,4.950000,1800
2021-02-08,4.850000,4.850000,4.850000,4.850000,4.850000,500
2021-02-09,4.850000,4.900000,4.850000,4.850000,4.850000,2200
2021-02-10,4.850000,5.000000,4.850000,4.950000,4.950000,2000
2021-02-11,4.800000,4.850000,4.800000,4.850000,4.850000,1300
2021-02-12,4.800000,4.850000,4.600000,4.850000,4.850000,2000
2021-02-16,4.800000,4.850000,4.800000,4.850000,4.850000,1100
2021-02-17,4.725000,4.950000,4.725000,4.950000,4.950000,2000
2021-02-18,4.800000,4.850000,4.800000,4.850000,4.850000,700
2021-02-19,4.800000,5.000000,4.800000,5.000000,5.000000,1200
2021-02-22,4.000000,4.600000,4.000000,4.500000,4.500000,7700
2021-02-23,4.488000,4.650000,4.488000,4.650000,4.650000,1200
2021-02-24,4.000000,4.400000,4.000000,4.400000,4.400000,2200
2021-02-25,4.180000,4.180000,4.180000,4.180000,4.180000,300
2021-02-26,4.010000,4.400000,4.000000,4.400000,4.400000,2600
2021-03-01,4.300000,4.400000,4.300000,4.400000,4.400000,900
2021-03-02,4.350000,4.350000,4.350000,4.350000,4.350000,1000
2021-03-03,4.350000,4.500000,4.350000,4.500000,4.500000,1000
2021-03-04,4.500000,4.500000,4.500000,4.500000,4.500000,0
2021-03-05,4.300000,4.400000,4.300000,4.400000,4.400000,700
