Date,Open,High,Low,Close,Adj Close,Volume
2010-04-05,4.550000,4.550000,4.550000,4.550000,4.550000,0
2010-04-06,4.550000,4.550000,4.550000,4.550000,4.550000,0
2010-04-07,4.550000,4.550000,4.550000,4.550000,4.550000,0
2010-04-08,4.550000,4.550000,4.550000,4.550000,4.550000,0
2010-04-09,5.900000,5.900000,5.900000,5.900000,5.900000,800
2010-04-12,5.900000,5.900000,5.900000,5.900000,5.900000,0
2010-04-13,5.900000,5.900000,5.900000,5.900000,5.900000,0
2010-04-14,5.900000,5.900000,5.900000,5.900000,5.900000,0
2010-04-15,5.600000,5.600000,5.600000,5.600000,5.600000,5000
2010-04-16,5.600000,5.600000,5.600000,5.600000,5.600000,0
2010-04-19,5.600000,5.600000,5.600000,5.600000,5.600000,0
2010-04-20,5.600000,5.600000,5.600000,5.600000,5.600000,0
2010-04-21,5.600000,5.600000,5.600000,5.600000,5.600000,0
2010-04-22,5.600000,5.600000,5.600000,5.600000,5.600000,0
2010-04-23,5.600000,5.600000,5.600000,5.600000,5.600000,0
2010-04-26,5.600000,5.600000,5.600000,5.600000,5.600000,0
2010-04-27,5.600000,5.600000,5.600000,5.600000,5.600000,0
2010-04-28,5.600000,5.600000,5.600000,5.600000,5.600000,0
2010-04-29,5.600000,5.600000,5.600000,5.600000,5.600000,0
2010-04-30,5.600000,5.600000,5.600000,5.600000,5.600000,0
2010-05-03,5.600000,5.600000,5.600000,5.600000,5.600000,0
2010-05-04,5.600000,5.600000,5.600000,5.600000,5.600000,0
2010-05-05,5.600000,5.600000,5.600000,5.600000,5.600000,0
2010-05-06,5.600000,5.600000,5.600000,5.600000,5.600000,0
2010-05-07,5.600000,5.600000,5.600000,5.600000,5.600000,0
2010-05-10,5.600000,5.600000,5.600000,5.600000,5.600000,0
2010-05-11,5.600000,5.600000,5.600000,5.600000,5.600000,0
2010-05-12,5.600000,5.600000,5.600000,5.600000,5.600000,0
2010-05-13,5.720000,5.720000,5.720000,5.720000,5.720000,5000
2010-05-14,5.720000,5.720000,5.720000,5.720000,5.720000,0
2010-05-17,5.720000,5.720000,5.720000,5.720000,5.720000,0
2010-05-18,5.720000,5.720000,5.720000,5.720000,5.720000,0
2010-05-19,5.720000,5.720000,5.720000,5.720000,5.720000,0
2010-05-20,5.720000,5.720000,5.720000,5.720000,5.720000,0
2010-05-21,5.720000,5.720000,5.720000,5.720000,5.720000,0
2010-05-24,5.720000,5.720000,5.720000,5.720000,5.720000,0
2010-05-25,5.720000,5.720000,5.720000,5.720000,5.720000,0
2010-05-26,5.720000,5.720000,5.720000,5.720000,5.720000,0
2010-05-27,5.720000,5.720000,5.720000,5.720000,5.720000,0
2010-05-28,5.720000,5.720000,5.720000,5.720000,5.720000,0
2010-06-01,5.720000,5.720000,5.720000,5.720000,5.720000,0
2010-06-02,5.720000,5.720000,5.720000,5.720000,5.720000,0
2010-06-03,5.720000,5.720000,5.720000,5.720000,5.720000,0
2010-06-04,5.720000,5.720000,5.720000,5.720000,5.720000,0
2010-06-07,5.720000,5.720000,5.720000,5.720000,5.720000,0
2010-06-08,4.870000,4.870000,4.870000,4.870000,4.870000,1000
2010-06-09,4.870000,4.870000,4.870000,4.870000,4.870000,0
2010-06-10,4.870000,4.870000,4.870000,4.870000,4.870000,0
2010-06-11,4.870000,4.870000,4.870000,4.870000,4.870000,0
2010-06-14,4.870000,4.870000,4.870000,4.870000,4.870000,0
2010-06-15,4.870000,4.870000,4.870000,4.870000,4.870000,0
2010-06-16,4.870000,4.870000,4.870000,4.870000,4.870000,0
2010-06-17,4.870000,4.870000,4.870000,4.870000,4.870000,0
2010-06-18,4.870000,4.870000,4.870000,4.870000,4.870000,0
2010-06-21,4.870000,4.870000,4.870000,4.870000,4.870000,0
2010-06-22,4.870000,4.870000,4.870000,4.870000,4.870000,0
2010-06-23,4.870000,4.870000,4.870000,4.870000,4.870000,0
