Date,Open,High,Low,Close,Adj Close,Volume
2012-01-09,0.030000,0.032000,0.010000,0.015000,0.015000,10340000
2012-01-10,0.015000,0.055000,0.015000,0.050000,0.050000,2465000
2012-01-11,0.044000,0.062000,0.029000,0.059000,0.059000,3470000
2012-01-12,0.750000,0.750000,0.200000,0.570000,0.570000,29200
2012-01-13,0.290000,0.290000,0.090000,0.140000,0.140000,230800
2012-01-17,0.240000,0.240000,0.070000,0.130000,0.130000,124400
2012-01-18,0.130000,0.130000,0.090000,0.120000,0.120000,9500
2012-01-19,0.150000,0.150000,0.085000,0.090000,0.090000,40900
2012-01-20,0.085000,0.094000,0.060000,0.085000,0.085000,208000
2012-01-23,0.065000,0.084000,0.055000,0.084000,0.084000,72400
2012-01-24,0.060000,0.090000,0.055000,0.090000,0.090000,108900
2012-01-25,0.060000,0.090000,0.060000,0.090000,0.090000,600
2012-01-26,0.075000,0.087000,0.062000,0.070000,0.070000,13300
2012-01-27,0.070000,0.100000,0.070000,0.100000,0.100000,25100
2012-01-30,0.075000,0.075000,0.075000,0.075000,0.075000,8500
2012-01-31,0.082000,0.120000,0.080000,0.110000,0.110000,229900
2012-02-01,0.120000,0.120000,0.080000,0.080000,0.080000,12800
2012-02-02,0.085000,0.130000,0.085000,0.130000,0.130000,157000
2012-02-03,0.130000,0.130000,0.100000,0.100000,0.100000,300400
2012-02-06,0.110000,0.110000,0.071000,0.080000,0.080000,63400
2012-02-07,0.090000,0.100000,0.090000,0.100000,0.100000,300
2012-02-08,0.070000,0.100000,0.070000,0.100000,0.100000,700
2012-02-09,0.070000,0.100000,0.070000,0.090000,0.090000,7600
2012-02-10,0.100000,0.100000,0.085000,0.090000,0.090000,13100
2012-02-13,0.090000,0.090000,0.090000,0.090000,0.090000,0
2012-02-14,0.080000,0.100000,0.080000,0.100000,0.100000,9100
2012-02-15,0.070000,0.089000,0.070000,0.089000,0.089000,20000
2012-02-16,0.088000,0.088000,0.088000,0.088000,0.088000,100
2012-02-17,0.070000,0.070000,0.070000,0.070000,0.070000,1000
2012-02-21,0.087000,0.087000,0.087000,0.087000,0.087000,100
2012-02-22,0.087000,0.100000,0.087000,0.100000,0.100000,8800
2012-02-23,0.080000,0.100000,0.080000,0.080000,0.080000,12200
2012-02-24,0.095000,0.100000,0.075000,0.100000,0.100000,6300
2012-02-27,0.100000,0.100000,0.100000,0.100000,0.100000,100
2012-02-28,0.090000,0.099000,0.083000,0.083000,0.083000,294000
2012-02-29,0.081000,0.083000,0.070000,0.080000,0.080000,77500
2012-03-01,0.070000,0.080000,0.070000,0.080000,0.080000,5100
2012-03-02,0.080000,0.080000,0.065000,0.080000,0.080000,5200
2012-03-05,0.080000,0.090000,0.065000,0.090000,0.090000,15300
2012-03-06,0.095000,0.095000,0.070000,0.095000,0.095000,300
2012-03-07,0.095000,0.095000,0.095000,0.095000,0.095000,100
2012-03-08,0.070000,0.085000,0.070000,0.085000,0.085000,10100
2012-03-09,0.095000,0.095000,0.095000,0.095000,0.095000,1100
2012-03-12,0.095000,0.095000,0.095000,0.095000,0.095000,0
2012-03-13,0.095000,0.095000,0.095000,0.095000,0.095000,200
2012-03-14,0.090000,0.130000,0.080000,0.100000,0.100000,28800
2012-03-15,0.190000,0.190000,0.085000,0.100000,0.100000,237800
2012-03-16,0.100000,0.100000,0.100000,0.100000,0.100000,0
2012-03-19,0.095000,0.100000,0.095000,0.100000,0.100000,155000
2012-03-20,0.095000,0.095000,0.075000,0.085000,0.085000,147800
2012-03-21,0.100000,0.100000,0.081000,0.089000,0.089000,646500
2012-03-22,0.089000,0.089000,0.063000,0.074000,0.074000,423100
2012-03-23,0.073000,0.073000,0.055000,0.067000,0.067000,280500
2012-03-26,0.060000,0.060000,0.042000,0.054000,0.054000,280500
2012-03-27,0.054000,0.054000,0.042000,0.045000,0.045000,137700
2012-03-28,0.042000,0.042000,0.042000,0.042000,0.042000,99700
2012-03-29,0.042000,0.048000,0.042000,0.044000,0.044000,72000
2012-03-30,0.042000,0.050000,0.042000,0.050000,0.050000,69200
2012-04-02,0.050000,0.050000,0.050000,0.050000,0.050000,21100
2012-04-03,0.046000,0.046000,0.042000,0.046000,0.046000,65300
2012-04-04,0.042000,0.050000,0.042000,0.050000,0.050000,87000
2012-04-05,0.042000,0.043000,0.042000,0.043000,0.043000,40000
2012-04-09,0.043000,0.050000,0.043000,0.046000,0.046000,56800
2012-04-10,0.046000,0.046000,0.046000,0.046000,0.046000,0
2012-04-11,0.050000,0.055000,0.040000,0.055000,0.055000,186200
2012-04-12,0.036000,0.050000,0.035000,0.050000,0.050000,121200
2012-04-13,0.050000,0.050000,0.050000,0.050000,0.050000,0
2012-04-16,0.040000,0.045000,0.035000,0.045000,0.045000,502300
2012-04-17,0.038000,0.038000,0.032000,0.036000,0.036000,61200
2012-04-18,0.036000,0.036000,0.036000,0.036000,0.036000,0
2012-04-19,0.036000,0.036000,0.036000,0.036000,0.036000,0
2012-04-20,0.036000,0.036000,0.036000,0.036000,0.036000,0
2012-04-23,0.031000,0.035000,0.031000,0.035000,0.035000,44000
2012-04-24,0.035000,0.035000,0.035000,0.035000,0.035000,0
2012-04-25,0.035000,0.035000,0.035000,0.035000,0.035000,0
2012-04-26,0.035000,0.035000,0.035000,0.035000,0.035000,0
2012-04-27,0.035000,0.049000,0.035000,0.040000,0.040000,136000
2012-04-30,0.037000,0.040000,0.037000,0.040000,0.040000,2200
2012-05-01,0.040000,0.045000,0.040000,0.045000,0.045000,86000
2012-05-02,0.045000,0.045000,0.045000,0.045000,0.045000,0
2012-05-03,0.045000,0.045000,0.045000,0.045000,0.045000,0
2012-05-04,0.045000,0.045000,0.045000,0.045000,0.045000,0
2012-05-07,0.040000,0.043000,0.040000,0.040000,0.040000,46800
2012-05-08,0.040000,0.040000,0.040000,0.040000,0.040000,35000
2012-05-09,0.038000,0.038000,0.035000,0.038000,0.038000,65000
2012-05-10,0.038000,0.038000,0.038000,0.038000,0.038000,0
2012-05-11,0.036000,0.036000,0.030000,0.030000,0.030000,131700
2012-05-14,0.028000,0.028000,0.028000,0.028000,0.028000,12000
2012-05-15,0.030000,0.030000,0.030000,0.030000,0.030000,1200
2012-05-16,0.030000,0.030000,0.030000,0.030000,0.030000,0
2012-05-17,0.029000,0.029000,0.029000,0.029000,0.029000,11200
2012-05-18,0.029000,0.029000,0.026000,0.029000,0.029000,1900
2012-05-21,0.029000,0.029000,0.029000,0.029000,0.029000,0
2012-05-22,0.029000,0.029000,0.029000,0.029000,0.029000,0
2012-05-23,0.029000,0.029000,0.029000,0.029000,0.029000,0
2012-05-24,0.028000,0.030000,0.028000,0.030000,0.030000,25200
2012-05-25,0.030000,0.030000,0.030000,0.030000,0.030000,0
2012-05-29,0.040000,0.040000,0.040000,0.040000,0.040000,1000
2012-05-30,0.039000,0.039000,0.039000,0.039000,0.039000,1200
2012-05-31,0.039000,0.039000,0.039000,0.039000,0.039000,0
2012-06-01,0.039000,0.039000,0.039000,0.039000,0.039000,0
2012-06-04,0.039000,0.039000,0.039000,0.039000,0.039000,0
2012-06-05,0.026000,0.029000,0.020000,0.020000,0.020000,240600
