Date,Open,High,Low,Close,Adj Close,Volume
2019-02-19,17.500000,18.000000,16.500000,17.600000,17.600000,32700
2019-02-20,18.469999,18.469999,17.620001,17.650000,17.650000,2000
2019-02-21,17.660000,18.200001,17.650000,18.200001,18.200001,4400
2019-02-22,18.500000,18.500000,16.700001,17.549999,17.549999,23900
2019-02-25,18.000000,18.500000,17.610001,17.850000,17.850000,17600
2019-02-26,17.750000,18.500000,17.750000,17.850000,17.850000,11500
2019-02-27,18.299999,18.500000,17.870001,18.190001,18.190001,14500
2019-02-28,18.020000,18.209999,17.870001,17.910000,17.910000,16300
2019-03-01,18.500000,18.500000,18.500000,18.500000,18.500000,1300
2019-03-04,18.600000,19.870001,18.049999,18.549999,18.549999,21200
2019-03-05,18.450001,18.549999,18.250000,18.250000,18.250000,16400
2019-03-06,18.299999,18.400000,17.870001,18.200001,18.200001,7200
2019-03-07,18.690001,18.690001,17.650000,17.809999,17.809999,18100
2019-03-08,17.254999,18.799999,17.010000,18.500000,18.500000,17700
2019-03-11,18.750000,19.450001,18.370001,18.570000,18.570000,8800
2019-03-12,18.700001,19.000000,18.610001,18.780001,18.780001,6300
2019-03-13,18.750000,18.850000,18.680000,18.690001,18.690001,6100
2019-03-14,18.700001,18.990000,18.690001,18.750000,18.750000,5500
2019-03-15,18.700001,18.725000,18.510000,18.510000,18.510000,8500
2019-03-18,18.750000,18.750000,18.250000,18.250000,18.250000,13200
2019-03-19,18.900000,19.100000,18.400000,18.559999,18.559999,15200
2019-03-20,18.745001,18.900000,18.530001,18.600000,18.600000,9600
2019-03-21,18.799999,18.799999,18.760000,18.770000,18.770000,2800
2019-03-22,18.760000,18.760000,18.360001,18.520000,18.520000,6100
2019-03-25,18.549999,19.879999,18.500000,19.180000,19.180000,6200
2019-03-26,18.799999,18.950001,18.750000,18.750000,18.750000,6200
2019-03-27,18.750000,18.950001,18.750000,18.950001,18.950001,4300
2019-03-28,18.850000,18.850000,18.719999,18.719999,18.719999,1200
2019-03-29,18.850000,18.850000,18.400000,18.450001,18.450001,32800
2019-04-01,18.700001,19.879999,18.450001,18.459999,18.459999,4200
2019-04-02,18.740000,18.750000,18.600000,18.600000,18.600000,900
2019-04-03,18.600000,18.750000,18.000000,18.299999,18.299999,40400
2019-04-04,18.410000,18.549999,18.400000,18.500000,18.500000,4000
2019-04-05,18.450001,18.750000,18.400000,18.750000,18.750000,4000
2019-04-08,18.700001,18.700001,18.549999,18.600000,18.600000,8200
