Date,Open,High,Low,Close,Adj Close,Volume
2021-01-05,91.925003,92.650002,91.925003,92.500000,92.500000,2800
2021-01-06,88.665001,89.680000,88.050003,89.430000,89.430000,19900
2021-01-07,84.980003,85.849998,83.190002,85.849998,85.849998,15600
2021-01-08,89.269997,89.800003,89.235001,89.750000,89.750000,12200
2021-01-11,88.379997,88.379997,86.680000,87.180000,87.180000,4500
2021-01-12,87.320000,87.320000,85.879997,85.879997,85.879997,2500
2021-01-13,86.169998,86.320000,85.309998,86.010002,86.010002,8600
2021-01-14,93.833000,93.833000,92.660004,93.269997,93.269997,8400
2021-01-15,100.660004,103.500000,100.660004,101.360001,101.360001,28800
2021-01-19,102.552002,104.250000,102.209999,104.250000,104.250000,11300
2021-01-20,109.205002,110.279999,109.180000,109.180000,109.180000,6400
2021-01-21,116.050003,116.250000,114.849998,115.250000,115.250000,7400
2021-01-22,109.510002,109.800003,107.930000,109.692001,109.692001,6500
2021-01-25,109.660004,110.440002,109.430000,109.430000,109.430000,1700
2021-01-26,110.000000,110.974998,110.000000,110.974998,110.974998,2500
2021-01-27,110.648003,110.709999,109.220001,109.699997,109.699997,6200
2021-01-28,105.940002,107.879997,104.120003,107.879997,107.879997,7800
2021-01-29,105.000000,105.000000,101.919998,102.415001,102.415001,7400
2021-02-01,101.099998,107.290001,101.099998,107.290001,107.290001,6600
2021-02-02,110.500000,114.820000,110.500000,114.404999,114.404999,7100
2021-02-03,111.269997,111.269997,110.245003,110.389999,110.389999,3300
2021-02-04,111.889000,113.000000,111.889000,112.800003,112.800003,2300
2021-02-05,115.622002,116.000000,114.500000,115.760002,115.760002,3700
2021-02-08,117.184998,120.000000,114.120003,119.000000,119.000000,14200
2021-02-09,118.001999,119.000000,117.000000,118.800003,118.800003,3400
2021-02-10,119.000000,124.750000,119.000000,120.849998,120.849998,9900
2021-02-11,121.169998,121.169998,119.190002,119.500000,119.500000,2400
2021-02-12,118.224998,118.224998,118.224998,118.224998,118.224998,800
2021-02-16,119.800003,119.800003,117.750000,119.300003,119.300003,2000
2021-02-17,117.470001,117.470001,113.000000,114.864998,114.864998,4300
2021-02-18,114.349998,114.949997,114.349998,114.949997,114.949997,900
2021-02-19,116.750000,120.000000,116.750000,119.099998,119.099998,2700
2021-02-22,118.000000,118.720001,117.489998,118.720001,118.720001,1100
2021-02-23,110.000000,110.495003,108.080002,108.349998,108.349998,15400
2021-02-24,107.330002,107.330002,105.849998,107.000000,107.000000,2500
2021-02-25,113.550003,113.550003,100.849998,106.500000,106.500000,3900
2021-02-26,93.629997,95.570000,92.230003,95.570000,95.570000,12800
2021-03-01,97.000000,99.669998,96.510002,99.400002,99.400002,6800
2021-03-02,98.014000,98.014000,96.110001,96.110001,96.110001,1800
2021-03-03,92.480003,94.089996,91.830002,91.830002,91.830002,11600
2021-03-04,91.070000,92.300003,88.800003,89.775002,89.775002,12700
2021-03-05,87.760002,89.779999,87.000000,89.779999,89.779999,24000
