Date,Open,High,Low,Close,Adj Close,Volume
2016-03-11,0.701200,0.701200,0.693600,0.693600,0.693600,10000
2016-03-14,0.693600,0.693600,0.693600,0.693600,0.693600,0
2016-03-15,0.693600,0.693600,0.693600,0.693600,0.693600,0
2016-03-16,0.705000,0.705000,0.700000,0.700000,0.700000,11000
2016-03-17,0.700000,0.700000,0.700000,0.700000,0.700000,0
2016-03-18,0.700000,0.700000,0.700000,0.700000,0.700000,0
2016-03-21,0.700000,0.700000,0.700000,0.700000,0.700000,0
2016-03-22,0.700000,0.700000,0.700000,0.700000,0.700000,0
2016-03-23,0.631820,0.631820,0.631820,0.631820,0.631820,10000
2016-03-24,0.631820,0.631820,0.631820,0.631820,0.631820,0
2016-03-28,0.631820,0.631820,0.631820,0.631820,0.631820,0
2016-03-29,0.631820,0.631820,0.631820,0.631820,0.631820,0
2016-03-30,0.628000,0.640000,0.620000,0.633000,0.633000,20625
2016-03-31,0.633000,0.633000,0.633000,0.633000,0.633000,0
2016-04-01,0.633000,0.633000,0.633000,0.633000,0.633000,0
2016-04-04,0.633000,0.633000,0.633000,0.633000,0.633000,0
2016-04-05,0.633000,0.633000,0.633000,0.633000,0.633000,0
2016-04-06,0.644200,0.644200,0.644200,0.644200,0.644200,500
2016-04-07,0.696000,0.704000,0.693000,0.704000,0.704000,8500
2016-04-08,0.690000,0.690000,0.690000,0.690000,0.690000,5000
2016-04-11,0.745600,0.776000,0.745600,0.756000,0.756000,24200
2016-04-12,0.720000,0.722000,0.720000,0.722000,0.722000,4000
2016-04-13,0.762000,0.822000,0.754000,0.822000,0.822000,59940
2016-04-14,0.768000,0.822000,0.754000,0.806000,0.806000,78042
2016-04-15,0.792000,0.821800,0.792000,0.821800,0.821800,32200
2016-04-18,0.800000,0.800000,0.753600,0.754200,0.754200,37500
2016-04-19,0.780000,0.794860,0.758000,0.775400,0.775400,17122
2016-04-20,0.756600,0.756600,0.688600,0.716780,0.716780,22075
2016-04-21,0.698000,0.698000,0.653600,0.660000,0.660000,9300
2016-04-22,0.676220,0.676220,0.676220,0.676220,0.676220,750
2016-04-25,0.678000,0.678200,0.654400,0.662600,0.662600,25800
2016-04-26,0.637200,0.676000,0.628400,0.660000,0.660000,16152
2016-04-27,0.650000,0.653200,0.639600,0.653200,0.653200,8360
2016-04-28,0.646000,0.658880,0.646000,0.658880,0.658880,550
2016-04-29,0.660000,0.680000,0.660000,0.660400,0.660400,13221
2016-05-02,0.660400,0.660400,0.660400,0.660400,0.660400,0
2016-05-03,0.660400,0.660400,0.660400,0.660400,0.660400,0
2016-05-04,0.588000,0.609800,0.588000,0.602000,0.602000,7500
2016-05-05,0.595200,0.595200,0.591600,0.591600,0.591600,200
2016-05-06,0.579780,0.579780,0.576000,0.576000,0.576000,5000
2016-05-09,0.580200,0.582000,0.580200,0.582000,0.582000,10500
2016-05-10,0.582000,0.582000,0.582000,0.582000,0.582000,0
2016-05-11,0.586000,0.586000,0.586000,0.586000,0.586000,250
2016-05-12,0.586000,0.586000,0.586000,0.586000,0.586000,0
2016-05-13,0.591200,0.597980,0.591200,0.597980,0.597980,750
2016-05-16,0.606000,0.636400,0.606000,0.625000,0.625000,6116
2016-05-17,0.625000,0.625000,0.625000,0.625000,0.625000,0
2016-05-18,0.625000,0.625000,0.625000,0.625000,0.625000,0
2016-05-19,0.606000,0.606000,0.576200,0.585100,0.585100,19617
2016-05-20,0.580000,0.580000,0.580000,0.580000,0.580000,2500
2016-05-23,0.580000,0.580000,0.580000,0.580000,0.580000,0
2016-05-24,0.578200,0.593800,0.559100,0.567000,0.567000,20915
2016-05-25,0.570000,0.570000,0.560000,0.560000,0.560000,17050
2016-05-26,0.542000,0.560000,0.534000,0.558600,0.558600,12750
2016-05-27,0.556600,0.556600,0.549560,0.549560,0.549560,1800
2016-05-31,0.562740,0.594000,0.562740,0.580000,0.580000,28300
2016-06-01,0.575000,0.620000,0.570000,0.600000,0.600000,27500
2016-06-02,0.626000,0.626000,0.587400,0.600000,0.600000,20900
