Date,Open,High,Low,Close,Adj Close,Volume
1998-12-02,1.750000,1.813000,1.688000,1.750000,1.750000,22300
1998-12-03,1.875000,2.000000,1.875000,1.875000,1.875000,7300
1998-12-04,1.813000,1.938000,1.813000,1.813000,1.813000,15300
1998-12-07,1.875000,1.938000,1.813000,1.875000,1.875000,24700
1998-12-08,1.813000,1.938000,1.750000,1.813000,1.813000,63700
1998-12-09,1.750000,1.813000,1.688000,1.750000,1.750000,44400
1998-12-10,1.813000,1.813000,1.719000,1.813000,1.813000,39700
1998-12-11,1.875000,1.938000,1.688000,1.875000,1.875000,7300
1998-12-14,1.625000,1.938000,1.500000,1.625000,1.625000,19900
1998-12-15,1.688000,1.750000,1.625000,1.688000,1.688000,33300
1998-12-16,1.625000,1.813000,1.625000,1.625000,1.625000,33400
1998-12-17,1.625000,1.625000,1.563000,1.625000,1.625000,9100
1998-12-18,1.313000,1.750000,1.313000,1.313000,1.313000,39200
1998-12-21,1.531000,1.625000,1.250000,1.531000,1.531000,75000
1998-12-22,1.625000,1.625000,1.531000,1.625000,1.625000,29700
1998-12-23,1.563000,1.750000,1.281000,1.563000,1.563000,22300
1998-12-24,1.406000,1.625000,1.406000,1.406000,1.406000,26100
1998-12-28,1.688000,1.688000,1.406000,1.688000,1.688000,52400
1998-12-29,1.625000,1.688000,1.563000,1.625000,1.625000,7700
1998-12-30,1.563000,1.563000,1.500000,1.563000,1.563000,21400
1998-12-31,1.531000,1.594000,1.500000,1.531000,1.531000,42600
1999-01-04,1.625000,1.625000,1.500000,1.625000,1.625000,13400
1999-01-05,1.625000,1.625000,1.563000,1.625000,1.625000,4200
1999-01-06,1.563000,1.563000,1.563000,1.563000,1.563000,16100
1999-01-07,1.625000,1.688000,1.500000,1.625000,1.625000,149100
1999-01-08,1.750000,1.875000,1.656000,1.750000,1.750000,48600
1999-01-11,1.781000,1.875000,1.781000,1.781000,1.781000,35400
1999-01-12,1.875000,1.875000,1.750000,1.875000,1.875000,4100
1999-01-13,1.750000,1.813000,1.750000,1.750000,1.750000,14500
1999-01-14,1.813000,1.813000,1.750000,1.813000,1.813000,1400
1999-01-15,1.875000,1.875000,1.750000,1.875000,1.875000,7000
1999-01-19,1.844000,1.875000,1.844000,1.844000,1.844000,32000
1999-01-20,1.844000,1.875000,1.844000,1.844000,1.844000,3300
1999-01-21,1.813000,1.844000,1.813000,1.813000,1.813000,1600
1999-01-22,1.813000,1.813000,1.813000,1.813000,1.813000,0
1999-01-25,1.813000,1.875000,1.750000,1.813000,1.813000,12200
1999-01-26,1.813000,1.813000,1.813000,1.813000,1.813000,0
1999-01-27,1.750000,1.750000,1.750000,1.750000,1.750000,3600
1999-01-28,1.750000,1.875000,1.750000,1.750000,1.750000,4300
1999-01-29,1.750000,1.750000,1.688000,1.750000,1.750000,27400
1999-02-01,1.688000,1.813000,1.688000,1.688000,1.688000,16600
1999-02-02,1.813000,1.813000,1.750000,1.813000,1.813000,67100
1999-02-03,1.813000,1.813000,1.750000,1.813000,1.813000,65200
1999-02-04,1.750000,1.813000,1.750000,1.750000,1.750000,25700
1999-02-05,1.813000,1.875000,1.813000,1.813000,1.813000,11600
1999-02-08,1.875000,1.938000,1.813000,1.875000,1.875000,108000
1999-02-09,2.313000,2.375000,1.750000,2.313000,2.313000,82100
1999-02-10,2.125000,2.313000,1.875000,2.125000,2.125000,45700
1999-02-11,2.313000,2.438000,2.031000,2.313000,2.313000,49800
1999-02-12,2.375000,2.438000,2.250000,2.375000,2.375000,10500
1999-02-16,2.344000,2.625000,2.250000,2.344000,2.344000,63700
1999-02-17,2.375000,2.500000,2.125000,2.375000,2.375000,23800
1999-02-18,2.375000,2.375000,2.375000,2.375000,2.375000,7400
1999-02-19,2.563000,2.563000,2.250000,2.563000,2.563000,53200
1999-02-22,2.406000,2.563000,2.281000,2.406000,2.406000,87700
1999-02-23,2.313000,2.438000,2.313000,2.313000,2.313000,1800
1999-02-24,2.313000,2.313000,2.313000,2.313000,2.313000,5500
1999-02-25,2.219000,2.250000,2.219000,2.219000,2.219000,3100
1999-02-26,2.188000,2.375000,2.188000,2.188000,2.188000,7500
1999-03-01,2.375000,2.438000,2.375000,2.375000,2.375000,14000
1999-03-02,2.375000,2.438000,2.313000,2.375000,2.375000,32800
1999-03-03,2.375000,2.375000,2.219000,2.375000,2.375000,10900
1999-03-04,2.125000,2.375000,2.125000,2.125000,2.125000,12800
1999-03-05,2.250000,2.250000,2.125000,2.250000,2.250000,1100
1999-03-08,2.188000,2.375000,2.188000,2.188000,2.188000,79600
1999-03-09,2.250000,2.313000,2.063000,2.250000,2.250000,33600
1999-03-10,2.000000,2.125000,2.000000,2.000000,2.000000,12200
1999-03-11,2.188000,2.188000,2.000000,2.188000,2.188000,1200
1999-03-12,2.000000,2.000000,1.875000,2.000000,2.000000,31900
1999-03-15,1.938000,2.063000,1.938000,1.938000,1.938000,10700
1999-03-16,2.063000,2.063000,1.938000,2.063000,2.063000,9800
1999-03-17,1.938000,2.063000,1.938000,1.938000,1.938000,4900
