Date,Open,High,Low,Close,Adj Close,Volume
2009-02-13,0.880000,0.880000,0.880000,0.880000,0.880000,300
2009-02-17,0.890000,0.890000,0.870000,0.880000,0.880000,8200
2009-02-18,0.870000,0.870000,0.840000,0.840000,0.840000,9400
2009-02-19,0.910000,0.910000,0.910000,0.910000,0.910000,2200
2009-02-20,0.840000,0.880000,0.840000,0.880000,0.880000,9500
2009-02-23,0.840000,0.860000,0.840000,0.860000,0.860000,3000
2009-02-24,0.830000,0.880000,0.820000,0.820000,0.820000,4500
2009-02-25,0.860000,0.900000,0.860000,0.900000,0.900000,9000
2009-02-26,0.900000,0.900000,0.900000,0.900000,0.900000,0
2009-02-27,0.900000,0.900000,0.900000,0.900000,0.900000,0
2009-03-02,0.810000,0.830000,0.790000,0.800000,0.800000,30000
2009-03-03,0.820000,0.820000,0.800000,0.800000,0.800000,5600
2009-03-04,0.800000,0.810000,0.800000,0.800000,0.800000,36000
2009-03-05,0.800000,0.800000,0.800000,0.800000,0.800000,0
2009-03-06,0.750000,0.770000,0.750000,0.770000,0.770000,6000
2009-03-09,0.730000,0.740000,0.730000,0.740000,0.740000,2600
2009-03-10,0.780000,0.780000,0.780000,0.780000,0.780000,1000
2009-03-11,0.750000,0.750000,0.750000,0.750000,0.750000,4100
2009-03-12,0.740000,0.750000,0.740000,0.750000,0.750000,6000
2009-03-13,0.760000,0.760000,0.760000,0.760000,0.760000,108200
2009-03-16,0.800000,0.800000,0.800000,0.800000,0.800000,600
2009-03-17,0.800000,0.800000,0.800000,0.800000,0.800000,11500
2009-03-18,0.830000,0.830000,0.830000,0.830000,0.830000,6400
2009-03-19,0.830000,0.830000,0.830000,0.830000,0.830000,0
2009-03-20,0.920000,0.920000,0.910000,0.920000,0.920000,28800
2009-03-23,0.890000,0.890000,0.890000,0.890000,0.890000,4900
2009-03-24,1.020000,1.040000,1.010000,1.040000,1.040000,1900
2009-03-25,1.030000,1.030000,0.960000,0.980000,0.980000,7400
2009-03-26,0.990000,1.000000,0.980000,0.990000,0.990000,13000
2009-03-27,0.990000,0.990000,0.980000,0.980000,0.980000,800
2009-03-30,0.930000,0.950000,0.880000,0.910000,0.910000,24100
2009-03-31,0.930000,0.930000,0.930000,0.930000,0.930000,2500
2009-04-01,0.970000,0.970000,0.950000,0.950000,0.950000,900
2009-04-02,0.960000,0.960000,0.960000,0.960000,0.960000,5000
2009-04-03,0.960000,0.960000,0.960000,0.960000,0.960000,0
2009-04-06,0.880000,0.880000,0.840000,0.850000,0.850000,49200
2009-04-07,0.850000,0.850000,0.850000,0.850000,0.850000,0
2009-04-08,0.870000,0.870000,0.870000,0.870000,0.870000,4000
2009-04-09,0.880000,0.880000,0.880000,0.880000,0.880000,13700
2009-04-13,0.850000,0.860000,0.810000,0.810000,0.810000,25600
2009-04-14,0.830000,0.830000,0.830000,0.830000,0.830000,155100
2009-04-15,0.810000,0.820000,0.810000,0.820000,0.820000,33700
2009-04-16,0.820000,0.820000,0.760000,0.770000,0.770000,49900
2009-04-17,0.860000,0.880000,0.860000,0.880000,0.880000,17300
2009-04-20,0.870000,0.870000,0.780000,0.840000,0.840000,58000
2009-04-21,0.780000,0.830000,0.770000,0.810000,0.810000,16700
2009-04-22,0.800000,0.800000,0.750000,0.750000,0.750000,62800
2009-04-23,0.740000,0.800000,0.720000,0.800000,0.800000,26900
2009-04-24,0.780000,0.790000,0.750000,0.760000,0.760000,42000
2009-04-27,0.760000,0.760000,0.760000,0.760000,0.760000,0
2009-04-28,0.770000,0.770000,0.760000,0.760000,0.760000,6400
2009-04-29,0.750000,0.750000,0.740000,0.740000,0.740000,42200
2009-04-30,0.740000,0.790000,0.740000,0.790000,0.790000,26400
2009-05-01,0.760000,0.760000,0.760000,0.760000,0.760000,10500
2009-05-04,0.780000,0.800000,0.780000,0.790000,0.790000,29900
2009-05-05,0.800000,0.800000,0.790000,0.790000,0.790000,44900
2009-05-06,0.830000,0.860000,0.830000,0.860000,0.860000,11000
