Date,Open,High,Low,Close,Adj Close,Volume
2020-12-22,0.460000,0.460000,0.266000,0.266000,0.266000,8550
2020-12-23,0.267200,0.267200,0.267200,0.267200,0.267200,1000
2020-12-24,0.267200,0.267200,0.267200,0.267200,0.267200,0
2020-12-28,0.267200,0.267200,0.267200,0.267200,0.267200,0
2020-12-29,0.268700,0.490000,0.268700,0.268700,0.268700,17566
2020-12-30,0.268700,0.268700,0.268700,0.268700,0.268700,0
2020-12-31,0.269300,0.269300,0.269300,0.269300,0.269300,570
2021-01-04,0.280000,0.280000,0.277300,0.277300,0.277300,3264
2021-01-05,0.277300,0.277300,0.277300,0.277300,0.277300,0
2021-01-06,0.277300,0.277300,0.277300,0.277300,0.277300,0
2021-01-07,0.277300,0.277300,0.277300,0.277300,0.277300,0
2021-01-08,0.277300,0.277300,0.277300,0.277300,0.277300,0
2021-01-11,0.277300,0.277300,0.277300,0.277300,0.277300,0
2021-01-12,0.277300,0.277300,0.277300,0.277300,0.277300,0
2021-01-13,0.277300,0.277300,0.277300,0.277300,0.277300,0
2021-01-14,0.277300,0.277300,0.277300,0.277300,0.277300,0
2021-01-15,0.000100,0.000100,0.000100,0.000100,0.000100,4094
2021-01-19,0.000100,0.000100,0.000100,0.000100,0.000100,285
2021-01-20,0.000100,0.000100,0.000100,0.000100,0.000100,0
2021-01-21,0.000100,0.000100,0.000100,0.000100,0.000100,0
2021-01-22,0.000100,0.000100,0.000100,0.000100,0.000100,0
2021-01-25,0.000100,0.000100,0.000100,0.000100,0.000100,0
2021-01-26,0.000100,0.000100,0.000100,0.000100,0.000100,0
2021-01-27,0.000100,0.000100,0.000100,0.000100,0.000100,0
2021-01-28,0.000100,0.000100,0.000100,0.000100,0.000100,0
2021-01-29,0.000100,0.000100,0.000100,0.000100,0.000100,0
2021-02-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2021-02-02,0.000100,0.000100,0.000100,0.000100,0.000100,0
2021-02-03,0.300400,0.300400,0.300400,0.300400,0.300400,10000
2021-02-04,0.000100,0.000100,0.000100,0.000100,0.000100,4275
2021-02-05,0.001000,0.001000,0.001000,0.001000,0.001000,14250
2021-02-08,0.001200,0.001200,0.001200,0.001200,0.001200,19000
2021-02-09,0.001200,0.001200,0.001200,0.001200,0.001200,0
2021-02-10,0.001200,0.001200,0.001200,0.001200,0.001200,0
2021-02-11,0.001200,0.001200,0.001200,0.001200,0.001200,0
2021-02-12,0.001200,0.001200,0.001200,0.001200,0.001200,0
2021-02-16,0.001200,0.001200,0.001200,0.001200,0.001200,0
2021-02-17,0.001200,0.001200,0.001200,0.001200,0.001200,0
2021-02-18,0.001200,0.001200,0.001200,0.001200,0.001200,0
2021-02-19,0.018000,0.018000,0.018000,0.018000,0.018000,9500
2021-02-22,0.249900,0.250000,0.249900,0.250000,0.250000,200
2021-02-23,0.250000,0.250000,0.250000,0.250000,0.250000,0
2021-02-24,0.250000,0.250000,0.250000,0.250000,0.250000,0
2021-02-25,0.250000,0.250000,0.250000,0.250000,0.250000,0
2021-02-26,0.250000,0.250000,0.250000,0.250000,0.250000,0
2021-03-01,0.250000,0.250000,0.250000,0.250000,0.250000,0
2021-03-02,0.250000,0.250000,0.250000,0.250000,0.250000,0
2021-03-03,0.250000,0.250000,0.250000,0.250000,0.250000,0
2021-03-04,0.250000,0.250000,0.250000,0.250000,0.250000,0
2021-03-05,0.020000,0.020000,0.020000,0.020000,0.020000,1900
