Date,Open,High,Low,Close,Adj Close,Volume
1998-12-02,117975.000000,125775.000000,115625.000000,117975.000000,117975.000000,14
1998-12-03,100000.000000,118750.000000,96875.000000,100000.000000,100000.000000,8
1998-12-04,98450.000000,106250.000000,96875.000000,98450.000000,98450.000000,1
1998-12-07,96875.000000,98450.000000,87500.000000,96875.000000,96875.000000,6
1998-12-08,93750.000000,95325.000000,87500.000000,93750.000000,93750.000000,2
1998-12-09,93750.000000,101575.000000,90625.000000,93750.000000,93750.000000,6
1998-12-10,92200.000000,100000.000000,89075.000000,92200.000000,92200.000000,4
1998-12-11,98450.000000,115625.000000,96100.000000,98450.000000,98450.000000,16
1998-12-14,93750.000000,100000.000000,90625.000000,93750.000000,93750.000000,4
1998-12-15,90625.000000,96875.000000,90625.000000,90625.000000,90625.000000,2
1998-12-16,93750.000000,95325.000000,89075.000000,93750.000000,93750.000000,2
1998-12-17,92200.000000,95325.000000,87500.000000,92200.000000,92200.000000,3
1998-12-18,90625.000000,103125.000000,90625.000000,90625.000000,90625.000000,6
1998-12-21,88275.000000,93750.000000,87500.000000,88275.000000,88275.000000,1
1998-12-22,87500.000000,92200.000000,87500.000000,87500.000000,87500.000000,3
1998-12-23,85950.000000,90625.000000,84375.000000,85950.000000,85950.000000,3
1998-12-24,84375.000000,89850.000000,84375.000000,84375.000000,84375.000000,0
1998-12-28,86725.000000,93750.000000,82025.000000,86725.000000,86725.000000,4
1998-12-29,85950.000000,87500.000000,81250.000000,85950.000000,85950.000000,3
1998-12-30,85150.000000,87500.000000,81250.000000,85150.000000,85150.000000,9
1998-12-31,81250.000000,86725.000000,78900.000000,81250.000000,81250.000000,6
1999-01-04,85950.000000,86725.000000,81250.000000,85950.000000,85950.000000,2
1999-01-05,105475.000000,106250.000000,84375.000000,105475.000000,105475.000000,16
1999-01-06,100000.000000,109375.000000,93750.000000,100000.000000,100000.000000,6
1999-01-07,98450.000000,101575.000000,93750.000000,98450.000000,98450.000000,3
1999-01-08,96875.000000,106250.000000,96875.000000,96875.000000,96875.000000,3
1999-01-11,90625.000000,100000.000000,90625.000000,90625.000000,90625.000000,3
1999-01-12,106250.000000,118750.000000,87500.000000,106250.000000,106250.000000,20
1999-01-13,106250.000000,107025.000000,93750.000000,106250.000000,106250.000000,8
1999-01-14,143750.000000,150000.000000,103125.000000,143750.000000,143750.000000,61
1999-01-15,125000.000000,139075.000000,112500.000000,125000.000000,125000.000000,27
1999-01-19,135950.000000,137500.000000,118750.000000,135950.000000,135950.000000,15
1999-01-20,115625.000000,146875.000000,113275.000000,115625.000000,115625.000000,21
1999-01-21,125000.000000,140625.000000,114075.000000,125000.000000,125000.000000,14
1999-01-22,131250.000000,131250.000000,120325.000000,131250.000000,131250.000000,4
1999-01-25,127350.000000,130475.000000,125000.000000,127350.000000,127350.000000,7
1999-01-26,121100.000000,134375.000000,118750.000000,121100.000000,121100.000000,4
1999-01-27,125000.000000,128125.000000,118750.000000,125000.000000,125000.000000,6
1999-01-28,125000.000000,125775.000000,117200.000000,125000.000000,125000.000000,7
1999-01-29,128125.000000,134375.000000,121875.000000,128125.000000,128125.000000,9
1999-02-01,120325.000000,130475.000000,118750.000000,120325.000000,120325.000000,7
1999-02-02,121875.000000,125000.000000,118750.000000,121875.000000,121875.000000,4
1999-02-03,115625.000000,125000.000000,112500.000000,115625.000000,115625.000000,4
1999-02-04,123450.000000,123450.000000,114075.000000,123450.000000,123450.000000,2
1999-02-05,153125.000000,184375.000000,118750.000000,153125.000000,153125.000000,127
1999-02-08,168750.000000,171875.000000,137500.000000,168750.000000,168750.000000,80
1999-02-09,167200.000000,179700.000000,156250.000000,167200.000000,167200.000000,32
1999-02-10,153125.000000,162500.000000,146875.000000,153125.000000,153125.000000,26
1999-02-11,157025.000000,160950.000000,137500.000000,157025.000000,157025.000000,37
1999-02-12,150000.000000,159375.000000,146875.000000,150000.000000,150000.000000,12
1999-02-16,150000.000000,159375.000000,148450.000000,150000.000000,150000.000000,12
1999-02-17,144525.000000,151575.000000,143750.000000,144525.000000,144525.000000,14
1999-02-18,146875.000000,146875.000000,143750.000000,146875.000000,146875.000000,11
1999-02-19,146875.000000,151575.000000,144525.000000,146875.000000,146875.000000,10
1999-02-22,146875.000000,149225.000000,143750.000000,146875.000000,146875.000000,5
1999-02-23,144525.000000,149225.000000,143750.000000,144525.000000,144525.000000,5
1999-02-24,143750.000000,146875.000000,143750.000000,143750.000000,143750.000000,4
1999-02-25,141400.000000,145325.000000,138275.000000,141400.000000,141400.000000,4
1999-02-26,150000.000000,150775.000000,139075.000000,150000.000000,150000.000000,12
1999-03-01,175000.000000,181250.000000,151575.000000,175000.000000,175000.000000,55
1999-03-02,160950.000000,185950.000000,159375.000000,160950.000000,160950.000000,33
1999-03-03,156250.000000,162500.000000,151575.000000,156250.000000,156250.000000,9
1999-03-04,155475.000000,159375.000000,152350.000000,155475.000000,155475.000000,7
1999-03-05,174225.000000,178125.000000,152350.000000,174225.000000,174225.000000,21
1999-03-08,175775.000000,178125.000000,164075.000000,175775.000000,175775.000000,23
1999-03-09,192200.000000,196875.000000,168750.000000,192200.000000,192200.000000,40
1999-03-10,214075.000000,217200.000000,192200.000000,214075.000000,214075.000000,42
1999-03-11,196875.000000,216400.000000,173450.000000,196875.000000,196875.000000,41
1999-03-12,210950.000000,218750.000000,197650.000000,210950.000000,210950.000000,33
1999-03-15,239075.000000,256250.000000,215625.000000,239075.000000,239075.000000,87
1999-03-16,187500.000000,268750.000000,178125.000000,187500.000000,187500.000000,163
1999-03-17,162500.000000,210150.000000,154700.000000,162500.000000,162500.000000,72
1999-03-18,151575.000000,162500.000000,137500.000000,151575.000000,151575.000000,36
1999-03-19,145325.000000,154700.000000,137500.000000,145325.000000,145325.000000,14
1999-03-22,160950.000000,165625.000000,145325.000000,160950.000000,160950.000000,14
1999-03-23,156250.000000,171875.000000,153125.000000,156250.000000,156250.000000,9
1999-03-24,151575.000000,159375.000000,148450.000000,151575.000000,151575.000000,5
1999-03-25,150000.000000,159375.000000,149225.000000,150000.000000,150000.000000,5
1999-03-26,153900.000000,157825.000000,150000.000000,153900.000000,153900.000000,10
1999-03-29,173450.000000,184375.000000,155475.000000,173450.000000,173450.000000,28
1999-03-30,174225.000000,186725.000000,168750.000000,174225.000000,174225.000000,16
1999-03-31,179700.000000,184375.000000,170325.000000,179700.000000,179700.000000,16
1999-04-01,178125.000000,180475.000000,173450.000000,178125.000000,178125.000000,15
1999-04-05,165625.000000,184375.000000,165625.000000,165625.000000,165625.000000,9
1999-04-06,163275.000000,170325.000000,162500.000000,163275.000000,163275.000000,6
1999-04-07,162500.000000,168750.000000,162500.000000,162500.000000,162500.000000,7
1999-04-08,167200.000000,170325.000000,162500.000000,167200.000000,167200.000000,5
1999-04-09,171875.000000,187500.000000,164850.000000,171875.000000,171875.000000,15
1999-04-12,167200.000000,179700.000000,167200.000000,167200.000000,167200.000000,9
1999-04-13,168750.000000,176575.000000,162500.000000,168750.000000,168750.000000,7
1999-04-14,178900.000000,202350.000000,162500.000000,178900.000000,178900.000000,54
1999-04-15,182025.000000,200000.000000,171875.000000,182025.000000,182025.000000,7
1999-04-16,171875.000000,190625.000000,171875.000000,171875.000000,171875.000000,6
1999-04-19,150000.000000,177350.000000,137500.000000,150000.000000,150000.000000,24
1999-04-20,154700.000000,157825.000000,150775.000000,154700.000000,154700.000000,6
1999-04-21,159375.000000,164075.000000,153125.000000,159375.000000,159375.000000,4
1999-04-22,150000.000000,160950.000000,140625.000000,150000.000000,150000.000000,13
1999-04-23,146100.000000,150000.000000,140625.000000,146100.000000,146100.000000,12
1999-04-26,135950.000000,143750.000000,131250.000000,135950.000000,135950.000000,13
1999-04-27,134375.000000,136725.000000,131250.000000,134375.000000,134375.000000,11
1999-04-28,172650.000000,181250.000000,132825.000000,172650.000000,172650.000000,31
1999-04-29,160950.000000,176575.000000,159375.000000,160950.000000,160950.000000,13
1999-04-30,167200.000000,176575.000000,162500.000000,167200.000000,167200.000000,6
1999-05-03,167200.000000,175000.000000,164075.000000,167200.000000,167200.000000,7
1999-05-04,164075.000000,170325.000000,160950.000000,164075.000000,164075.000000,6
1999-05-05,163275.000000,173450.000000,157825.000000,163275.000000,163275.000000,6
1999-05-06,163275.000000,165625.000000,160150.000000,163275.000000,163275.000000,4
1999-05-07,175000.000000,178125.000000,160150.000000,175000.000000,175000.000000,17
1999-05-10,167200.000000,175000.000000,165625.000000,167200.000000,167200.000000,5
1999-05-11,171875.000000,175000.000000,165625.000000,171875.000000,171875.000000,5
1999-05-12,187500.000000,192975.000000,171875.000000,187500.000000,187500.000000,20
1999-05-13,185950.000000,187500.000000,181250.000000,185950.000000,185950.000000,7
1999-05-14,178125.000000,185950.000000,176575.000000,178125.000000,178125.000000,6
1999-05-17,177350.000000,180475.000000,176575.000000,177350.000000,177350.000000,3
1999-05-18,171875.000000,178125.000000,167200.000000,171875.000000,171875.000000,7
1999-05-19,162500.000000,171875.000000,160150.000000,162500.000000,162500.000000,5
1999-05-20,162500.000000,167200.000000,160950.000000,162500.000000,162500.000000,2
1999-05-21,160950.000000,164075.000000,156250.000000,160950.000000,160950.000000,3
1999-05-24,150000.000000,163275.000000,145325.000000,150000.000000,150000.000000,10
1999-05-25,143750.000000,158600.000000,143750.000000,143750.000000,143750.000000,9
1999-05-26,146875.000000,150000.000000,143750.000000,146875.000000,146875.000000,7
1999-05-27,146875.000000,165625.000000,146875.000000,146875.000000,146875.000000,5
1999-05-28,156250.000000,156250.000000,147650.000000,156250.000000,156250.000000,2
1999-06-01,148450.000000,156250.000000,148450.000000,148450.000000,148450.000000,2
1999-06-02,148450.000000,154700.000000,148450.000000,148450.000000,148450.000000,1
1999-06-03,145325.000000,153125.000000,143750.000000,145325.000000,145325.000000,3
1999-06-04,150000.000000,151575.000000,144525.000000,150000.000000,150000.000000,2
1999-06-07,145325.000000,149225.000000,140625.000000,145325.000000,145325.000000,3
1999-06-08,142200.000000,146100.000000,140625.000000,142200.000000,142200.000000,6
1999-06-09,158600.000000,159375.000000,140625.000000,158600.000000,158600.000000,5
1999-06-10,146875.000000,162500.000000,146875.000000,146875.000000,146875.000000,3
1999-06-11,146875.000000,159375.000000,146875.000000,146875.000000,146875.000000,2
1999-06-14,154700.000000,156250.000000,146875.000000,154700.000000,154700.000000,4
1999-06-15,146875.000000,154700.000000,146875.000000,146875.000000,146875.000000,1
1999-06-16,150000.000000,153125.000000,143750.000000,150000.000000,150000.000000,3
1999-06-17,153125.000000,153125.000000,145325.000000,153125.000000,153125.000000,4
1999-06-18,148450.000000,156250.000000,146875.000000,148450.000000,148450.000000,5
1999-06-21,146875.000000,148450.000000,141400.000000,146875.000000,146875.000000,4
1999-06-22,154700.000000,154700.000000,140625.000000,154700.000000,154700.000000,6
1999-06-23,150000.000000,156250.000000,146875.000000,150000.000000,150000.000000,5
1999-06-24,150000.000000,155475.000000,143750.000000,150000.000000,150000.000000,14
1999-06-25,173450.000000,181250.000000,150775.000000,173450.000000,173450.000000,29
1999-06-28,151575.000000,175000.000000,151575.000000,151575.000000,151575.000000,12
1999-06-29,143750.000000,154700.000000,140625.000000,143750.000000,143750.000000,16
1999-06-30,141400.000000,148450.000000,140625.000000,141400.000000,141400.000000,5
1999-07-01,146875.000000,148450.000000,140625.000000,146875.000000,146875.000000,4
1999-07-02,143750.000000,148450.000000,139075.000000,143750.000000,143750.000000,6
1999-07-06,148450.000000,150000.000000,143750.000000,148450.000000,148450.000000,6
1999-07-07,143750.000000,148450.000000,143750.000000,143750.000000,143750.000000,4
1999-07-08,142200.000000,144525.000000,140625.000000,142200.000000,142200.000000,4
1999-07-09,146875.000000,146875.000000,139850.000000,146875.000000,146875.000000,4
1999-07-12,145325.000000,146875.000000,139075.000000,145325.000000,145325.000000,3
1999-07-13,145325.000000,148450.000000,142200.000000,145325.000000,145325.000000,1
1999-07-14,142200.000000,143750.000000,139850.000000,142200.000000,142200.000000,6
1999-07-15,165625.000000,167200.000000,142200.000000,165625.000000,165625.000000,14
1999-07-16,146100.000000,162500.000000,143750.000000,146100.000000,146100.000000,13
1999-07-19,148450.000000,149225.000000,142200.000000,148450.000000,148450.000000,5
1999-07-20,140625.000000,149225.000000,140625.000000,140625.000000,140625.000000,7
1999-07-21,140625.000000,144525.000000,139075.000000,140625.000000,140625.000000,4
1999-07-22,141400.000000,145325.000000,139850.000000,141400.000000,141400.000000,3
1999-07-23,143750.000000,145325.000000,139075.000000,143750.000000,143750.000000,3
1999-07-26,134375.000000,143750.000000,131250.000000,134375.000000,134375.000000,9
1999-07-27,134375.000000,139075.000000,131250.000000,134375.000000,134375.000000,3
1999-07-28,135950.000000,142200.000000,132025.000000,135950.000000,135950.000000,2
1999-07-29,129700.000000,132825.000000,121875.000000,129700.000000,129700.000000,3
1999-07-30,128125.000000,128125.000000,125000.000000,128125.000000,128125.000000,2
1999-08-02,123450.000000,131250.000000,123450.000000,123450.000000,123450.000000,3
1999-08-03,121875.000000,135950.000000,121100.000000,121875.000000,121875.000000,8
1999-08-04,121875.000000,131250.000000,118750.000000,121875.000000,121875.000000,2
1999-08-05,123450.000000,132825.000000,120325.000000,123450.000000,123450.000000,12
1999-08-06,114075.000000,126575.000000,112500.000000,114075.000000,114075.000000,6
1999-08-09,100000.000000,118750.000000,98450.000000,100000.000000,100000.000000,7
1999-08-10,96100.000000,101575.000000,90625.000000,96100.000000,96100.000000,8
1999-08-11,98450.000000,106250.000000,95325.000000,98450.000000,98450.000000,4
1999-08-12,106250.000000,107825.000000,96875.000000,106250.000000,106250.000000,6
1999-08-13,121875.000000,125000.000000,105475.000000,121875.000000,121875.000000,4
1999-08-16,117200.000000,125000.000000,117200.000000,117200.000000,117200.000000,1
1999-08-17,123450.000000,125000.000000,104700.000000,123450.000000,123450.000000,9
1999-08-18,117200.000000,125000.000000,115625.000000,117200.000000,117200.000000,1
1999-08-19,111725.000000,120325.000000,111725.000000,111725.000000,111725.000000,1
1999-08-20,115625.000000,125000.000000,111725.000000,115625.000000,115625.000000,1
1999-08-23,112500.000000,119525.000000,110950.000000,112500.000000,112500.000000,1
1999-08-24,112500.000000,115625.000000,108600.000000,112500.000000,112500.000000,3
1999-08-25,107825.000000,113275.000000,105475.000000,107825.000000,107825.000000,2
1999-08-26,107825.000000,110950.000000,104700.000000,107825.000000,107825.000000,2
1999-08-27,115625.000000,120325.000000,106250.000000,115625.000000,115625.000000,3
1999-08-30,106250.000000,117200.000000,106250.000000,106250.000000,106250.000000,3
1999-08-31,106250.000000,112500.000000,106250.000000,106250.000000,106250.000000,5
1999-09-01,107825.000000,112500.000000,106250.000000,107825.000000,107825.000000,1
1999-09-02,109375.000000,110950.000000,106250.000000,109375.000000,109375.000000,1
1999-09-03,110150.000000,111725.000000,107025.000000,110150.000000,110150.000000,1
1999-09-07,107825.000000,110950.000000,107825.000000,107825.000000,107825.000000,1
1999-09-08,110950.000000,111725.000000,107825.000000,110950.000000,110950.000000,2
1999-09-09,125000.000000,127350.000000,110950.000000,125000.000000,125000.000000,13
1999-09-10,119525.000000,129700.000000,119525.000000,119525.000000,119525.000000,4
1999-09-13,124225.000000,151575.000000,121100.000000,124225.000000,124225.000000,34
1999-09-14,121100.000000,128125.000000,116400.000000,121100.000000,121100.000000,5
1999-09-15,117200.000000,126575.000000,114075.000000,117200.000000,117200.000000,3
1999-09-16,118750.000000,121875.000000,112500.000000,118750.000000,118750.000000,1
1999-09-17,114075.000000,118750.000000,112500.000000,114075.000000,114075.000000,2
1999-09-20,109375.000000,118750.000000,109375.000000,109375.000000,109375.000000,2
1999-09-21,107825.000000,112500.000000,104700.000000,107825.000000,107825.000000,2
1999-09-22,110950.000000,115625.000000,107825.000000,110950.000000,110950.000000,2
1999-09-23,104700.000000,115625.000000,104700.000000,104700.000000,104700.000000,2
1999-09-24,100775.000000,109375.000000,100000.000000,100775.000000,100775.000000,2
1999-09-27,104700.000000,112500.000000,103125.000000,104700.000000,104700.000000,2
1999-09-28,103125.000000,109375.000000,101575.000000,103125.000000,103125.000000,2
1999-09-29,105475.000000,106250.000000,103125.000000,105475.000000,105475.000000,3
1999-09-30,101575.000000,106250.000000,100000.000000,101575.000000,101575.000000,1
1999-10-01,103125.000000,103125.000000,98450.000000,103125.000000,103125.000000,4
1999-10-04,101575.000000,103125.000000,99225.000000,101575.000000,101575.000000,1
