Date,Open,High,Low,Close,Adj Close,Volume
2010-01-26,6.500000,6.500000,5.710000,5.770000,5.770000,955563
2010-01-27,5.870000,6.110000,5.860000,6.070000,6.070000,1116134
2010-01-28,6.170000,6.170000,6.000000,6.160000,6.160000,1182186
2010-01-29,6.200000,6.270000,6.000000,6.150000,6.150000,1281826
2010-02-01,6.060000,6.240000,6.060000,6.154000,6.154000,1300237
2010-02-02,6.100000,6.100000,5.970000,6.000000,6.000000,43001
2010-02-03,6.100000,6.120000,6.000000,6.000000,6.000000,53277
2010-02-04,6.080000,6.090000,5.810000,5.830000,5.830000,105264
2010-02-05,5.820000,5.820000,5.570000,5.600000,5.600000,57991
2010-02-08,5.660000,5.750000,5.650000,5.740000,5.740000,17400
2010-02-09,5.710000,5.714000,5.700000,5.710000,5.710000,8573
2010-02-10,5.610000,5.800000,5.610000,5.730000,5.730000,64977
2010-02-11,5.610000,5.890000,5.600000,5.840000,5.840000,18293
2010-02-12,5.750000,5.919900,5.750000,5.870000,5.870000,16909
2010-02-16,5.840000,5.950000,5.840000,5.900000,5.900000,22182
2010-02-17,5.980000,6.040000,5.810000,5.940000,5.940000,14103
2010-02-18,5.920000,6.020000,5.830000,5.830100,5.830100,25798
2010-02-19,5.870000,6.000000,5.850000,6.000000,6.000000,33040
2010-02-22,5.850000,5.980000,5.850000,5.860000,5.860000,17900
2010-02-23,5.750000,5.907000,5.750000,5.800000,5.800000,28940
2010-02-24,5.800000,5.890000,5.800000,5.890000,5.890000,4911
2010-02-25,5.840000,5.840000,5.800000,5.820000,5.820000,5180
2010-02-26,5.820000,5.930000,5.761000,5.850000,5.850000,28400
2010-03-01,5.850000,5.900100,5.810000,5.840000,5.840000,9951
2010-03-02,5.880000,6.069900,5.880000,5.930000,5.930000,31420
2010-03-03,7.400000,7.850000,7.013000,7.110000,7.110000,1900358
2010-03-04,7.200000,7.520000,7.030000,7.430000,7.430000,487661
2010-03-05,7.520000,8.230000,7.490000,7.900000,7.900000,908886
2010-03-08,8.070000,8.500000,7.710000,7.910000,7.910000,527272
2010-03-09,7.820000,7.860000,7.500000,7.500000,7.500000,226197
2010-03-10,7.810000,8.100000,7.310000,7.590000,7.590000,316786
2010-03-11,7.510000,7.900000,7.500000,7.900000,7.900000,146988
2010-03-12,7.800000,7.980000,7.420000,7.730000,7.730000,189406
2010-03-15,7.730000,7.900000,7.550000,7.740000,7.740000,90439
2010-03-16,7.520000,7.640000,7.150000,7.340000,7.340000,208910
2010-03-17,7.210000,7.480000,7.200000,7.410000,7.410000,143350
2010-03-18,7.660000,7.720000,7.110000,7.190000,7.190000,68993
2010-03-19,7.120000,7.500000,7.120000,7.222000,7.222000,45838
2010-03-22,7.260000,7.410000,6.810000,7.000000,7.000000,101490
2010-03-23,7.040000,7.230000,6.900000,6.910000,6.910000,50139
2010-03-24,6.880000,7.040000,6.830000,6.990000,6.990000,28013
2010-03-25,7.100000,7.220000,6.830000,6.920000,6.920000,58916
2010-03-26,6.870000,6.899900,6.630000,6.640000,6.640000,111639
2010-03-29,6.640000,6.770000,6.510000,6.690000,6.690000,77551
2010-03-30,6.920000,6.950000,6.310000,6.500000,6.500000,236928
2010-03-31,6.390000,6.569900,6.310000,6.360000,6.360000,41368
2010-04-01,6.360000,6.680000,6.340000,6.460000,6.460000,129298
2010-04-05,6.370000,6.579900,6.370000,6.480000,6.480000,72495
2010-04-06,6.460000,6.870000,6.450000,6.760000,6.760000,85130
2010-04-07,6.840000,7.090000,6.760000,6.860000,6.860000,108560
2010-04-08,6.920000,6.920000,6.700000,6.770100,6.770100,20390
2010-04-09,6.660000,6.820000,6.550000,6.640000,6.640000,32715
2010-04-12,6.670000,7.000000,6.670000,6.930000,6.930000,77663
2010-04-13,6.950000,6.979100,6.600100,6.710000,6.710000,45164
2010-04-14,6.830000,6.830000,6.550000,6.610000,6.610000,41541
2010-04-15,6.570000,6.642800,6.340000,6.390000,6.390000,107728
2010-04-16,6.370000,6.370000,6.120000,6.209900,6.209900,78938
2010-04-19,6.150000,6.220000,6.060000,6.090000,6.090000,101524
2010-04-20,6.080000,6.490000,6.080000,6.420000,6.420000,82558
2010-04-21,6.530000,6.530000,6.300000,6.390100,6.390100,32420
2010-04-22,6.300000,6.300000,6.230000,6.290000,6.290000,29958
2010-04-23,6.370000,6.370000,6.220000,6.319100,6.319100,17073
2010-04-26,6.320000,6.410000,6.030000,6.180000,6.180000,12256
2010-04-27,6.190000,6.400000,6.110000,6.150000,6.150000,64012
2010-04-28,6.250000,6.290000,5.940000,6.053000,6.053000,99671
2010-04-29,6.060000,6.220000,5.920100,6.000100,6.000100,61070
2010-04-30,5.960000,6.190000,5.820000,5.830000,5.830000,66585
2010-05-03,5.850000,5.920000,5.720000,5.820000,5.820000,37755
2010-05-04,5.800000,5.800000,5.560000,5.630000,5.630000,78710
2010-05-05,5.550000,5.680000,5.400000,5.400000,5.400000,64319
2010-05-06,5.400000,5.400000,4.750000,5.050000,5.050000,202320
2010-05-07,5.050000,5.059900,4.690000,4.920000,4.920000,95677
2010-05-10,5.090000,5.090000,4.950000,5.050000,5.050000,82871
2010-05-11,4.950000,5.190000,4.900000,5.070000,5.070000,51050
2010-05-12,5.050000,5.660000,5.020000,5.630000,5.630000,158175
2010-05-13,5.650000,5.803000,5.450000,5.700000,5.700000,43470
2010-05-14,5.650000,5.730000,5.480000,5.550000,5.550000,61140
2010-05-17,5.200000,5.200000,4.530000,4.640000,4.640000,123982
2010-05-18,4.700000,4.799000,4.440000,4.440000,4.440000,69183
2010-05-19,4.400000,4.549900,4.060000,4.270000,4.270000,160354
2010-05-20,4.160000,4.250000,3.960000,4.030000,4.030000,81580
2010-05-21,3.960000,4.270000,3.910000,4.130000,4.130000,46220
2010-05-24,4.130000,4.300000,4.110000,4.240000,4.240000,24540
2010-05-25,4.180000,4.180000,4.020000,4.070000,4.070000,52008
2010-05-26,4.170000,4.190000,4.100800,4.140000,4.140000,21018
2010-05-27,4.200000,4.250000,4.110000,4.250000,4.250000,57117
2010-05-28,4.250000,4.490000,4.250000,4.430000,4.430000,118889
2010-06-01,4.400000,4.420000,4.290000,4.380000,4.380000,17974
2010-06-02,4.300000,4.470000,4.160000,4.280000,4.280000,29750
2010-06-03,4.420000,4.570000,4.330000,4.400000,4.400000,110879
2010-06-04,4.430000,4.450000,4.050000,4.340000,4.340000,21301
2010-06-07,4.340000,4.490000,4.199900,4.306400,4.306400,20580
