Date,Open,High,Low,Close,Adj Close,Volume
2010-01-05,1.950000,1.950000,1.950000,1.950000,1.950000,0
2010-01-06,2.040000,2.040000,2.040000,2.040000,2.040000,1000
2010-01-07,2.130000,2.220000,2.130000,2.200000,2.200000,5000
2010-01-08,2.400000,2.700000,2.400000,2.680000,2.680000,62800
2010-01-11,2.810000,2.880000,2.690000,2.690000,2.690000,39600
2010-01-12,2.640000,2.640000,2.440000,2.440000,2.440000,8300
2010-01-13,2.440000,2.440000,2.440000,2.440000,2.440000,0
2010-01-14,2.390000,2.400000,2.390000,2.400000,2.400000,3000
2010-01-15,2.450000,2.710000,2.450000,2.680000,2.680000,56200
2010-01-19,2.740000,2.880000,2.740000,2.770000,2.770000,21800
2010-01-20,2.460000,2.460000,2.460000,2.460000,2.460000,400
2010-01-21,2.270000,2.300000,2.230000,2.300000,2.300000,13000
2010-01-22,2.140000,2.140000,2.000000,2.000000,2.000000,18500
2010-01-25,1.960000,1.960000,1.840000,1.920000,1.920000,5300
2010-01-26,2.030000,2.030000,2.030000,2.030000,2.030000,4000
2010-01-27,2.090000,2.170000,2.090000,2.140000,2.140000,1300
2010-01-28,2.210000,2.210000,2.120000,2.180000,2.180000,6900
2010-01-29,2.090000,2.090000,2.090000,2.090000,2.090000,900
2010-02-01,2.030000,2.030000,2.020000,2.020000,2.020000,24900
2010-02-02,1.920000,2.040000,1.900000,2.040000,2.040000,6200
2010-02-03,2.040000,2.040000,2.040000,2.040000,2.040000,0
2010-02-04,1.780000,1.780000,1.760000,1.760000,1.760000,5400
2010-02-05,1.690000,1.770000,1.620000,1.770000,1.770000,35600
2010-02-08,1.720000,1.790000,1.720000,1.780000,1.780000,1500
2010-02-09,1.890000,1.960000,1.880000,1.960000,1.960000,2000
2010-02-10,1.880000,1.880000,1.880000,1.880000,1.880000,2000
2010-02-11,1.880000,1.880000,1.880000,1.880000,1.880000,0
2010-02-12,1.840000,1.900000,1.840000,1.900000,1.900000,600
2010-02-16,2.020000,2.090000,2.020000,2.090000,2.090000,9700
2010-02-17,2.210000,2.310000,2.210000,2.310000,2.310000,6000
2010-02-18,2.390000,2.400000,2.380000,2.380000,2.380000,6000
2010-02-19,2.450000,2.450000,2.450000,2.450000,2.450000,500
2010-02-22,2.450000,2.450000,2.450000,2.450000,2.450000,0
2010-02-23,2.140000,2.140000,2.140000,2.140000,2.140000,1000
