Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,0.200000,0.200000,0.158000,0.158000,0.158000,7300
2021-01-11,0.158000,0.250000,0.030000,0.030000,0.030000,6800
2021-01-12,0.030000,0.030000,0.030000,0.030000,0.030000,0
2021-01-13,0.030000,0.030000,0.030000,0.030000,0.030000,6100
2021-01-14,0.030000,0.030000,0.030000,0.030000,0.030000,0
2021-01-15,0.030000,0.030000,0.030000,0.030000,0.030000,0
2021-01-19,0.230000,0.315000,0.199000,0.280000,0.280000,62600
2021-01-20,0.310000,0.310000,0.110000,0.110000,0.110000,13500
2021-01-21,0.165000,0.250000,0.165000,0.250000,0.250000,14200
2021-01-22,0.300000,0.300000,0.150000,0.150000,0.150000,1600
2021-01-25,0.300000,0.300000,0.130000,0.300000,0.300000,3600
2021-01-26,0.300000,0.300000,0.215000,0.260000,0.260000,12000
2021-01-27,0.260000,0.260000,0.260000,0.260000,0.260000,1300
2021-01-28,0.137000,0.195000,0.130000,0.130000,0.130000,22200
2021-01-29,0.260000,0.260000,0.200000,0.200000,0.200000,15800
2021-02-01,0.150000,0.150000,0.100000,0.100000,0.100000,51000
2021-02-02,0.100000,0.100000,0.100000,0.100000,0.100000,0
2021-02-03,0.100000,0.170000,0.100000,0.150000,0.150000,10200
2021-02-04,0.180000,0.240000,0.130000,0.130000,0.130000,6300
2021-02-05,0.200000,0.220000,0.200000,0.200000,0.200000,32600
2021-02-08,0.150000,0.150000,0.150000,0.150000,0.150000,2000
2021-02-09,0.250000,0.250000,0.200000,0.200000,0.200000,800
2021-02-10,0.200000,0.250000,0.200000,0.200000,0.200000,14900
2021-02-11,0.200000,0.250000,0.200000,0.240000,0.240000,12700
2021-02-12,0.250000,0.250000,0.250000,0.250000,0.250000,1800
2021-02-16,0.305000,0.700000,0.305000,0.510000,0.510000,111000
2021-02-17,0.460000,0.700000,0.400000,0.550000,0.550000,14300
2021-02-18,0.500000,0.500000,0.200000,0.200000,0.200000,3300
2021-02-19,0.500000,0.500000,0.400000,0.400000,0.400000,700
2021-02-22,0.450000,0.450000,0.440000,0.440000,0.440000,11700
2021-02-23,0.420000,0.420000,0.420000,0.420000,0.420000,200
2021-02-24,0.290000,0.290000,0.280000,0.280000,0.280000,500
2021-02-25,0.290000,0.400000,0.280000,0.400000,0.400000,1400
2021-02-26,0.280000,0.280000,0.280000,0.280000,0.280000,200
2021-03-01,0.300000,0.300000,0.280000,0.280000,0.280000,8100
2021-03-02,0.280000,0.300000,0.250000,0.250000,0.250000,9600
2021-03-03,0.300000,0.300000,0.300000,0.300000,0.300000,1500
2021-03-04,0.300000,0.300000,0.300000,0.300000,0.300000,500
2021-03-05,0.300000,0.300000,0.300000,0.300000,0.300000,0
