Date,Open,High,Low,Close,Adj Close,Volume
2011-05-19,5.750000,5.750000,5.750000,5.750000,5.750000,200
2011-05-20,4.200000,5.000000,4.050000,5.000000,5.000000,12100
2011-05-23,4.540000,5.000000,3.490000,4.000000,4.000000,29100
2011-05-24,3.990000,5.250000,3.710000,5.000000,5.000000,16500
2011-05-25,4.000000,5.750000,4.000000,5.750000,5.750000,20700
2011-05-26,6.000000,6.150000,5.220000,5.500000,5.500000,12800
2011-05-27,5.250000,5.500000,5.000000,5.500000,5.500000,9000
2011-05-31,5.000000,5.250000,4.850000,5.100000,5.100000,6500
2011-06-01,5.000000,6.000000,4.750000,5.000000,5.000000,10300
2011-06-02,4.250000,5.000000,4.250000,4.750000,4.750000,10500
2011-06-03,5.000000,5.000000,4.350000,4.990000,4.990000,4700
2011-06-06,4.350000,5.000000,4.100000,4.900000,4.900000,31900
2011-06-07,4.800000,4.900000,4.150000,4.390000,4.390000,11700
2011-06-08,4.400000,5.000000,3.990000,4.750000,4.750000,23900
2011-06-09,4.000000,4.750000,4.000000,4.250000,4.250000,9100
2011-06-10,3.950000,4.500000,3.950000,4.500000,4.500000,300
2011-06-13,3.960000,4.500000,3.900000,4.400000,4.400000,800
2011-06-14,3.800000,4.000000,3.240000,3.700000,3.700000,19700
2011-06-15,3.300000,4.500000,3.300000,4.200000,4.200000,13200
2011-06-16,3.400000,4.150000,3.350000,4.150000,4.150000,4800
2011-06-17,3.240000,4.050000,3.240000,4.050000,4.050000,600
2011-06-20,3.500000,4.500000,3.500000,4.500000,4.500000,15200
2011-06-21,4.250000,4.570000,3.900000,4.450000,4.450000,14900
2011-06-22,4.200000,4.570000,4.000000,4.560000,4.560000,14700
2011-06-23,4.000000,4.000000,3.500000,3.500000,3.500000,5100
2011-06-24,3.500000,3.750000,3.500000,3.750000,3.750000,1800
2011-06-27,3.500000,3.500000,3.050000,3.400000,3.400000,18800
2011-06-28,3.000000,3.500000,3.000000,3.300000,3.300000,6200
2011-06-29,3.080000,3.300000,2.850000,3.050000,3.050000,15900
2011-06-30,3.200000,4.300000,3.100000,4.300000,4.300000,9400
2011-07-01,4.400000,4.450000,4.000000,4.450000,4.450000,500
2011-07-05,4.000000,4.000000,3.400000,3.400000,3.400000,8900
