Date,Open,High,Low,Close,Adj Close,Volume
1998-12-02,188000.000000,188000.000000,188000.000000,188000.000000,188000.000000,0
1998-12-03,188000.000000,188000.000000,188000.000000,188000.000000,188000.000000,0
1998-12-04,188000.000000,188000.000000,188000.000000,188000.000000,188000.000000,0
1998-12-07,188000.000000,188000.000000,188000.000000,188000.000000,188000.000000,0
1998-12-08,null,null,null,null,null,null
1998-12-09,132000.000000,132000.000000,132000.000000,132000.000000,132000.000000,0
1998-12-10,132000.000000,132000.000000,132000.000000,132000.000000,132000.000000,0
1998-12-11,132000.000000,132000.000000,132000.000000,132000.000000,132000.000000,0
1998-12-14,null,null,null,null,null,null
1998-12-15,400000.000000,400000.000000,400000.000000,400000.000000,400000.000000,0
1998-12-16,400000.000000,400000.000000,400000.000000,400000.000000,400000.000000,0
1998-12-17,400000.000000,400000.000000,400000.000000,400000.000000,400000.000000,0
1998-12-18,null,null,null,null,null,null
1998-12-21,null,null,null,null,null,null
1998-12-22,320000.000000,320000.000000,320000.000000,320000.000000,320000.000000,0
1998-12-23,320000.000000,320000.000000,320000.000000,320000.000000,320000.000000,0
1998-12-24,null,null,null,null,null,null
1998-12-28,268000.000000,268000.000000,268000.000000,268000.000000,268000.000000,0
1998-12-29,268000.000000,268000.000000,268000.000000,268000.000000,268000.000000,0
1998-12-30,null,null,null,null,null,null
1998-12-31,188000.000000,188000.000000,188000.000000,188000.000000,188000.000000,0
1999-01-04,188000.000000,188000.000000,188000.000000,188000.000000,188000.000000,0
1999-01-05,188000.000000,188000.000000,188000.000000,188000.000000,188000.000000,0
1999-01-06,null,null,null,null,null,null
1999-01-07,268000.000000,268000.000000,268000.000000,268000.000000,268000.000000,0
1999-01-08,268000.000000,268000.000000,268000.000000,268000.000000,268000.000000,0
1999-01-11,null,null,null,null,null,null
1999-01-12,320000.000000,320000.000000,320000.000000,320000.000000,320000.000000,0
1999-01-13,320000.000000,320000.000000,320000.000000,320000.000000,320000.000000,0
1999-01-14,null,null,null,null,null,null
1999-01-15,188000.000000,188000.000000,188000.000000,188000.000000,188000.000000,0
1999-01-19,188000.000000,188000.000000,188000.000000,188000.000000,188000.000000,0
1999-01-20,188000.000000,188000.000000,188000.000000,188000.000000,188000.000000,0
1999-01-21,188000.000000,188000.000000,188000.000000,188000.000000,188000.000000,0
