Date,Open,High,Low,Close,Adj Close,Volume
2016-10-04,1.290000,1.290000,1.290000,1.290000,1.127575,2900
2016-10-05,1.290000,1.290000,1.290000,1.290000,1.127575,0
2016-10-06,1.290000,1.290000,1.290000,1.290000,1.127575,0
2016-10-07,1.290000,1.290000,1.290000,1.290000,1.127575,172390
2016-10-10,1.290000,1.290000,1.290000,1.290000,1.127575,0
2016-10-11,1.290000,1.290000,1.290000,1.290000,1.127575,0
2016-10-12,1.290000,1.290000,1.290000,1.290000,1.127575,0
2016-10-13,1.290000,1.290000,1.290000,1.290000,1.127575,0
2016-10-14,1.190000,1.190000,1.190000,1.190000,1.040166,1600
2016-10-17,1.190000,1.190000,1.190000,1.190000,1.040166,0
2016-10-18,1.190000,1.190000,1.190000,1.190000,1.040166,0
2016-10-19,1.190000,1.190000,1.190000,1.190000,1.040166,0
2016-10-20,1.190000,1.190000,1.190000,1.190000,1.040166,0
2016-10-21,1.190000,1.190000,1.190000,1.190000,1.040166,0
2016-10-24,1.190000,1.190000,1.190000,1.190000,1.040166,0
2016-10-25,1.190000,1.190000,1.190000,1.190000,1.040166,0
2016-10-26,1.190000,1.190000,1.190000,1.190000,1.040166,0
2016-10-27,1.190000,1.190000,1.190000,1.190000,1.040166,0
2016-10-28,1.140000,1.140000,1.140000,1.140000,0.996461,2200
2016-10-31,1.140000,1.140000,1.140000,1.140000,0.996461,0
2016-11-01,1.140000,1.140000,1.140000,1.140000,0.996461,0
2016-11-02,1.140000,1.140000,1.140000,1.140000,0.996461,0
2016-11-03,1.140000,1.140000,1.140000,1.140000,0.996461,0
2016-11-04,1.140000,1.140000,1.140000,1.140000,0.996461,0
2016-11-07,1.140000,1.140000,1.140000,1.140000,0.996461,0
2016-11-08,1.140000,1.140000,1.140000,1.140000,0.996461,0
2016-11-09,1.140000,1.140000,1.140000,1.140000,0.996461,4200
2016-11-10,1.140000,1.140000,1.140000,1.140000,0.996461,0
2016-11-11,1.070000,1.070000,1.070000,1.070000,0.935275,137875
2016-11-14,1.140000,1.140000,1.140000,1.140000,0.996461,13140
2016-11-15,1.140000,1.140000,1.140000,1.140000,0.996461,0
2016-11-16,1.180000,1.180000,1.180000,1.180000,1.031425,6000
2016-11-17,1.200000,1.200000,1.200000,1.200000,1.048907,3860
2016-11-18,1.210000,1.210000,1.210000,1.210000,1.057647,5840
2016-11-21,1.210000,1.210000,1.210000,1.210000,1.057647,0
2016-11-22,1.210000,1.210000,1.210000,1.210000,1.057647,0
2016-11-23,1.130000,1.150000,1.130000,1.150000,1.005202,10400
2016-11-25,1.170000,1.170000,1.170000,1.170000,1.022684,2800
2016-11-28,1.170000,1.170000,1.170000,1.170000,1.022684,0
2016-11-29,1.170000,1.170000,1.170000,1.170000,1.022684,0
2016-11-30,1.200000,1.200000,1.200000,1.200000,1.048907,1890
2016-12-01,1.200000,1.200000,1.200000,1.200000,1.048907,0
2016-12-02,1.200000,1.200000,1.200000,1.200000,1.048907,0
2016-12-05,1.160000,1.160000,1.160000,1.160000,1.013943,3300
2016-12-06,1.160000,1.160000,1.160000,1.160000,1.013943,0
2016-12-07,1.060000,1.060000,1.060000,1.060000,0.926534,2300
2016-12-08,1.120000,1.120000,1.120000,1.120000,0.978980,6700
2016-12-09,1.100000,1.100000,1.100000,1.100000,0.961498,5700
2016-12-12,1.100000,1.100000,1.100000,1.100000,0.961498,0
2016-12-13,1.140000,1.140000,1.140000,1.140000,0.996461,3000
2016-12-14,1.140000,1.140000,1.140000,1.140000,0.996461,0
2016-12-15,1.140000,1.140000,1.140000,1.140000,0.996461,0
2016-12-16,1.120000,1.120000,1.120000,1.120000,0.978980,383186
2016-12-19,1.120000,1.120000,1.120000,1.120000,0.978980,0
2016-12-20,1.120000,1.120000,1.120000,1.120000,0.978980,15000
2016-12-21,1.120000,1.120000,1.120000,1.120000,0.978980,0
2016-12-22,1.060000,1.060000,1.060000,1.060000,0.926534,118600
2016-12-23,1.010000,1.010000,1.010000,1.010000,0.882830,5650
2016-12-27,1.030000,1.030000,1.030000,1.030000,0.900312,1000
2016-12-28,1.030000,1.030000,1.030000,1.030000,0.900312,0
2016-12-29,1.100000,1.150000,1.100000,1.150000,1.005202,3540
2016-12-30,1.100000,1.150000,1.100000,1.100000,0.961498,11800
2017-01-03,1.135000,1.150000,1.135000,1.150000,1.005202,5900
2017-01-04,1.150000,1.150000,1.150000,1.150000,1.005202,0
2017-01-05,1.150000,1.150000,1.150000,1.150000,1.005202,0
2017-01-06,1.170000,1.170000,1.170000,1.170000,1.022684,301859
2017-01-09,1.170000,1.170000,1.170000,1.170000,1.022684,0
2017-01-10,1.170000,1.170000,1.170000,1.170000,1.022684,0
2017-01-11,1.170000,1.170000,1.170000,1.170000,1.022684,0
2017-01-12,1.130000,1.130000,1.130000,1.130000,0.987720,1000
2017-01-13,1.100000,1.100000,1.100000,1.100000,0.961498,1900
2017-01-17,1.100000,1.100000,1.100000,1.100000,0.961498,2100
2017-01-18,1.100000,1.100000,1.100000,1.100000,0.961498,0
2017-01-19,1.120000,1.120000,1.120000,1.120000,0.978980,2500
2017-01-20,1.035000,1.035000,1.035000,1.035000,0.904682,18300
2017-01-23,1.035000,1.035000,1.035000,1.035000,0.904682,0
2017-01-24,1.035000,1.035000,1.035000,1.035000,0.904682,0
2017-01-25,0.980000,1.010000,0.980000,1.010000,0.882830,27000
2017-01-26,0.970000,1.070000,0.970000,1.070000,0.935275,5300
2017-01-27,1.070000,1.070000,1.070000,1.070000,0.935275,0
2017-01-30,1.040000,1.040000,1.040000,1.040000,0.909052,8600
2017-01-31,1.040000,1.040000,1.040000,1.040000,0.909052,0
2017-02-01,1.040000,1.040000,1.040000,1.040000,0.909052,0
2017-02-02,1.040000,1.040000,1.040000,1.040000,0.909052,0
2017-02-03,1.060000,1.060000,1.060000,1.060000,0.926534,5800
2017-02-06,1.060000,1.060000,1.060000,1.060000,0.926534,0
2017-02-07,1.060000,1.060000,1.060000,1.060000,0.926534,0
2017-02-08,1.060000,1.060000,1.060000,1.060000,0.926534,0
2017-02-09,1.060000,1.060000,1.060000,1.060000,0.926534,0
2017-02-10,1.060000,1.060000,1.060000,1.060000,0.926534,0
2017-02-13,1.120000,1.120000,1.120000,1.120000,0.978980,4200
2017-02-14,1.120000,1.120000,1.120000,1.120000,0.978980,0
2017-02-15,1.120000,1.120000,1.120000,1.120000,0.978980,0
2017-02-16,1.140000,1.140000,1.130000,1.130000,0.987720,4600
2017-02-17,1.130000,1.130000,1.130000,1.130000,0.987720,0
