Date,Open,High,Low,Close,Adj Close,Volume
1999-10-05,14.750000,19.875000,13.250000,16.625000,16.625000,16597200
1999-10-06,16.312500,16.625000,13.250000,13.437500,13.437500,2573700
1999-10-07,13.250000,13.437500,11.750000,12.437500,12.437500,998200
1999-10-08,12.812500,13.000000,12.187500,12.437500,12.437500,415500
1999-10-11,12.375000,13.687500,12.312500,13.125000,13.125000,385000
1999-10-12,13.187500,14.812500,12.937500,14.187500,14.187500,603500
1999-10-13,13.625000,15.500000,13.500000,13.875000,13.875000,559000
1999-10-14,13.843750,13.875000,13.062500,13.062500,13.062500,315900
1999-10-15,12.000000,12.562500,11.000000,12.000000,12.000000,287100
1999-10-18,12.343750,12.500000,10.500000,11.250000,11.250000,212300
1999-10-19,11.250000,12.125000,8.750000,10.125000,10.125000,186300
1999-10-20,10.125000,10.875000,9.500000,10.250000,10.250000,317900
1999-10-21,9.843750,10.250000,9.312500,10.250000,10.250000,214000
1999-10-22,10.156250,11.875000,10.125000,11.250000,11.250000,306600
1999-10-25,11.312500,11.500000,10.500000,11.312500,11.312500,193300
1999-10-26,11.500000,12.625000,11.187500,12.437500,12.437500,329400
1999-10-27,12.406250,12.750000,10.625000,11.562500,11.562500,179200
1999-10-28,11.812500,12.312500,11.718750,12.125000,12.125000,316600
1999-10-29,12.062500,12.312500,10.875000,11.875000,11.875000,585700
1999-11-01,11.656250,11.750000,11.125000,11.375000,11.375000,214600
1999-11-02,11.375000,15.000000,11.125000,14.750000,14.750000,1431200
1999-11-03,15.312500,15.312500,13.250000,13.562500,13.562500,722500
1999-11-04,14.500000,14.750000,12.375000,13.125000,13.125000,530000
1999-11-05,13.625000,13.812500,11.187500,12.000000,12.000000,369400
1999-11-08,12.250000,13.187500,12.125000,12.875000,12.875000,203700
1999-11-09,13.312500,13.937500,12.750000,12.875000,12.875000,178100
1999-11-10,13.187500,13.218750,12.312500,12.500000,12.500000,151500
1999-11-11,12.750000,13.000000,11.625000,12.187500,12.187500,195100
1999-11-12,12.406250,12.500000,11.812500,12.250000,12.250000,126800
1999-11-15,12.562500,12.625000,12.000000,12.375000,12.375000,95200
1999-11-16,12.125000,12.500000,11.750000,12.000000,12.000000,193700
1999-11-17,12.031250,12.500000,11.625000,11.750000,11.750000,179600
1999-11-18,12.000000,12.125000,11.375000,12.000000,12.000000,227400
1999-11-19,11.906250,12.500000,11.750000,12.500000,12.500000,305100
1999-11-22,12.718750,14.500000,12.687500,14.500000,14.500000,676200
1999-11-23,14.750000,15.500000,13.125000,13.500000,13.500000,267300
1999-11-24,13.312500,13.312500,12.250000,12.750000,12.750000,201600
1999-11-26,12.250000,12.687500,12.250000,12.500000,12.500000,64700
1999-11-29,13.562500,13.625000,12.500000,12.937500,12.937500,127600
1999-11-30,14.062500,14.500000,12.500000,12.937500,12.937500,205700
1999-12-01,13.562500,13.562500,12.312500,12.625000,12.625000,99200
1999-12-02,13.125000,13.125000,12.625000,12.937500,12.937500,71100
1999-12-03,13.468750,13.500000,12.562500,12.625000,12.625000,94600
1999-12-06,12.843750,12.937500,12.000000,12.375000,12.375000,131200
1999-12-07,12.250000,12.375000,11.625000,11.875000,11.875000,134600
1999-12-08,12.250000,13.062500,11.750000,12.437500,12.437500,182700
1999-12-09,12.062500,12.375000,11.625000,12.062500,12.062500,146400
1999-12-10,12.312500,13.125000,12.000000,12.250000,12.250000,182100
1999-12-13,12.375000,12.562500,11.750000,12.000000,12.000000,105600
1999-12-14,11.812500,12.000000,11.437500,11.500000,11.500000,151400
1999-12-15,11.562500,11.750000,10.875000,11.187500,11.187500,99100
1999-12-16,11.343750,11.875000,11.250000,11.687500,11.687500,98800
1999-12-17,11.968750,12.500000,11.750000,12.125000,12.125000,155700
1999-12-20,12.468750,12.500000,12.000000,12.125000,12.125000,92600
1999-12-21,11.937500,12.187500,11.500000,11.750000,11.750000,69300
1999-12-22,11.562500,12.000000,10.937500,11.000000,11.000000,223300
1999-12-23,11.000000,11.187500,10.875000,11.187500,11.187500,85500
1999-12-27,11.250000,12.000000,11.000000,11.250000,11.250000,112200
1999-12-28,11.250000,11.250000,10.500000,10.562500,10.562500,91900
1999-12-29,10.750000,11.000000,10.625000,10.687500,10.687500,87300
1999-12-30,10.812500,11.000000,10.437500,10.500000,10.500000,156800
1999-12-31,10.531250,10.625000,10.000000,10.312500,10.312500,142700
2000-01-03,11.750000,12.500000,10.812500,12.250000,12.250000,335000
2000-01-04,12.312500,12.312500,11.000000,11.000000,11.000000,207400
2000-01-05,11.250000,12.250000,11.000000,11.937500,11.937500,133200
2000-01-06,12.312500,12.500000,11.625000,11.750000,11.750000,108300
2000-01-07,11.906250,12.125000,11.812500,11.875000,11.875000,77500
2000-01-10,12.562500,12.625000,11.875000,11.937500,11.937500,107900
2000-01-11,12.312500,12.375000,11.500000,11.500000,11.500000,96200
2000-01-12,11.625000,12.062500,11.500000,11.500000,11.500000,69000
2000-01-13,11.875000,12.000000,11.312500,11.500000,11.500000,47800
2000-01-14,11.625000,12.250000,11.562500,11.562500,11.562500,144600
2000-01-18,12.000000,12.500000,11.625000,12.312500,12.312500,231200
2000-01-19,12.500000,14.125000,12.250000,14.000000,14.000000,807000
2000-01-20,14.406250,14.500000,13.500000,13.812500,13.812500,388300
2000-01-21,14.187500,14.437500,13.500000,13.625000,13.625000,82200
2000-01-24,14.156250,14.250000,12.562500,12.937500,12.937500,136000
2000-01-25,13.375000,13.500000,12.750000,12.937500,12.937500,59500
2000-01-26,13.000000,13.187500,12.375000,12.562500,12.562500,73900
2000-01-27,13.062500,14.500000,12.875000,13.312500,13.312500,165200
