Date,Open,High,Low,Close,Adj Close,Volume
1998-12-02,3.541667,3.541667,3.541667,3.541667,1.219778,0
1998-12-03,3.583333,3.583333,3.583333,3.583333,1.234128,1800
1998-12-04,3.583333,3.583333,3.583333,3.583333,1.234128,0
1998-12-07,3.583333,3.583333,3.583333,3.583333,1.234128,0
1998-12-08,3.541667,3.541667,3.541667,3.541667,1.219778,1800
1998-12-09,3.541667,3.541667,3.541667,3.541667,1.219778,0
1998-12-10,3.708333,3.750000,3.708333,3.708333,1.277179,3600
1998-12-11,3.708333,3.708333,3.708333,3.708333,1.277179,0
1998-12-14,3.708333,3.708333,3.708333,3.708333,1.277179,0
1998-12-15,3.708333,3.708333,3.708333,3.708333,1.277179,0
1998-12-16,3.708333,3.708333,3.708333,3.708333,1.277179,0
1998-12-17,3.708333,3.708333,3.708333,3.708333,1.277179,0
1998-12-18,3.708333,3.708333,3.708333,3.708333,1.277179,0
1998-12-21,3.708333,3.708333,3.708333,3.708333,1.277179,0
1998-12-22,3.708333,3.708333,3.708333,3.708333,1.277179,0
1998-12-23,3.708333,3.708333,3.708333,3.708333,1.277179,12000
1998-12-24,3.708333,3.708333,3.708333,3.708333,1.277179,0
1998-12-28,3.708333,3.708333,3.708333,3.708333,1.277179,0
1998-12-29,3.708333,3.708333,3.708333,3.708333,1.277179,0
1998-12-30,3.708333,3.708333,3.708333,3.708333,1.277179,0
1998-12-31,3.708333,3.708333,3.708333,3.708333,1.277179,0
1999-01-04,3.687500,3.687500,3.687500,3.687500,1.270004,3600
1999-01-05,3.708333,3.708333,3.708333,3.708333,1.277179,1800
1999-01-06,3.708333,3.708333,3.708333,3.708333,1.277179,0
1999-01-07,3.708333,3.708333,3.708333,3.708333,1.277179,0
1999-01-08,3.708333,3.708333,3.708333,3.708333,1.277179,4800
1999-01-11,3.666667,3.666667,3.666667,3.666667,1.262829,11400
1999-01-12,3.666667,3.666667,3.666667,3.666667,1.262829,0
1999-01-13,3.666667,3.666667,3.666667,3.666667,1.262829,0
1999-01-14,3.666667,3.666667,3.666667,3.666667,1.262829,0
1999-01-15,3.666667,3.666667,3.666667,3.666667,1.262829,0
1999-01-19,3.666667,3.666667,3.666667,3.666667,1.262829,0
1999-01-20,3.666667,3.666667,3.666667,3.666667,1.262829,0
1999-01-21,3.395833,3.395833,3.395833,3.395833,1.169551,4200
1999-01-22,3.395833,3.395833,3.395833,3.395833,1.169551,0
1999-01-25,3.395833,3.395833,3.395833,3.395833,1.169551,0
1999-01-26,3.395833,3.395833,3.395833,3.395833,1.169551,0
1999-01-27,3.458333,3.458333,3.416667,3.458333,1.191077,22800
1999-01-28,3.458333,3.458333,3.458333,3.458333,1.191077,0
1999-01-29,3.458333,3.458333,3.458333,3.458333,1.191077,0
1999-02-01,3.541667,3.541667,3.541667,3.541667,1.219778,12600
1999-02-02,3.541667,3.541667,3.541667,3.541667,1.219778,0
1999-02-03,3.541667,3.541667,3.541667,3.541667,1.219778,0
1999-02-04,3.541667,3.541667,3.541667,3.541667,1.219778,0
1999-02-05,4.000000,4.000000,4.000000,4.000000,1.377631,600
1999-02-08,4.270833,4.270833,4.270833,4.270833,1.470908,3000
1999-02-09,4.125000,4.125000,4.083333,4.125000,1.420682,31200
1999-02-10,4.125000,4.125000,4.125000,4.125000,1.420682,0
