Date,Open,High,Low,Close,Adj Close,Volume
2002-05-23,10.179542,10.434030,10.009883,10.366167,6.732937,9564478
2002-05-24,11.070252,11.070252,10.773348,10.985422,7.135150,3632109
2002-05-28,11.197496,11.197496,10.900593,10.976939,7.129638,2542511
2002-05-29,10.264371,10.476445,10.221956,10.306786,6.694370,2229177
2002-05-30,10.306786,10.306786,9.755394,10.137127,6.584174,3429113
2002-05-31,10.179542,10.221956,10.009883,10.009883,6.501527,895679
2002-06-03,9.755394,9.840224,8.822269,8.822269,5.730160,1871047
2002-06-04,9.246417,9.271866,9.042826,9.085241,5.900962,2464001
2002-06-05,9.161587,9.458491,9.161587,9.416076,6.115844,1213021
2002-06-06,9.543320,9.670565,9.416076,9.619667,6.248078,666867
2002-06-07,9.331247,9.373661,9.204002,9.348212,6.071764,729935
2002-06-10,9.755394,10.043814,9.721462,9.925053,6.446429,589889
2002-06-11,9.882638,9.882638,9.628150,9.653599,6.270116,555821
2002-06-12,9.882638,9.882638,9.679048,9.840224,6.391331,609929
2002-06-13,9.882638,9.891121,9.543320,9.551803,6.204000,1240134
2002-06-14,8.907099,8.991928,8.406605,8.822269,5.730160,2725820
2002-06-17,8.822269,9.034343,8.779855,9.025860,5.862392,533659
2002-06-18,8.898616,8.966480,8.745923,8.745923,5.680573,1049045
2002-06-19,8.482951,8.482951,7.906111,7.965491,5.173673,2991412
2002-06-20,7.965491,8.016389,7.235958,7.464997,4.848596,2790656
2002-06-21,7.677071,7.855213,7.549827,7.677071,4.986341,2334329
2002-06-24,7.473480,7.677071,7.337753,7.634656,4.958792,849822
2002-06-25,7.736452,7.846730,7.575276,7.609207,4.942262,1412362
2002-06-26,7.210509,7.558310,7.100230,7.286855,4.732892,1341161
2002-06-27,7.660105,7.660105,7.498929,7.541344,4.898185,1465410
2002-06-28,7.227475,7.278372,7.006918,7.049333,4.578618,1086768
2002-07-01,6.786361,6.794844,6.362214,6.438560,4.181914,825774
2002-07-02,6.251935,6.251935,5.819305,5.938066,3.856838,807502
2002-07-03,6.574287,7.040850,6.150140,7.040850,4.573108,4192880
2002-07-05,7.380168,7.931560,7.380168,7.855213,5.102046,1352949
2002-07-08,8.058804,8.058804,7.744935,7.744935,5.030419,570202
2002-07-09,8.186048,8.211497,7.914594,7.948525,5.162653,955092
2002-07-10,7.940042,7.940042,7.558310,7.558310,4.909204,581166
2002-07-11,7.558310,7.846730,7.549827,7.821281,5.080007,1631626
2002-07-12,8.313292,8.839235,8.270878,8.788338,5.708120,1543684
2002-07-15,8.567781,8.864684,8.440537,8.864684,5.757709,559947
2002-07-16,8.270878,8.813786,8.270878,8.652610,5.619963,670050
2002-07-17,8.907099,8.932548,8.567781,8.695025,5.647513,347638
2002-07-18,8.711991,8.711991,8.398122,8.440537,5.482220,438409
2002-07-19,8.355707,8.355707,7.778866,7.778866,5.052457,447722
2002-07-22,7.609207,7.643139,7.464997,7.634656,4.958792,289050
2002-07-23,7.753418,7.753418,7.431065,7.558310,4.909204,369683
2002-07-24,7.193543,7.464997,7.074781,7.422582,4.821046,628319
2002-07-25,7.210509,7.210509,6.574287,6.786361,4.407816,693744
2002-07-26,6.616702,6.701532,6.404628,6.701532,4.352718,1018985
2002-07-29,6.777878,7.040850,6.777878,7.040850,4.573108,359663
2002-07-30,7.380168,7.380168,7.142645,7.210509,4.683303,470002
2002-07-31,7.083264,7.083264,6.837259,6.871191,4.462913,413653
2002-08-01,6.871191,6.871191,6.752429,6.777878,4.402305,433693
2002-08-02,6.777878,6.777878,6.285867,6.294350,4.088249,1127438
2002-08-05,6.150140,6.150140,5.666612,5.725992,3.719095,1118832
2002-08-06,5.768407,6.192555,5.768407,6.124691,3.978054,1669820
2002-08-07,6.073793,6.107725,5.471504,5.547850,3.603388,3547704
2002-08-08,5.556333,5.853236,5.556333,5.785373,3.757663,2578466
2002-08-09,5.853236,5.921100,5.700543,5.921100,3.845819,1484743
2002-08-12,5.683577,5.895651,5.683577,5.895651,3.829289,666749
2002-08-13,5.938066,6.065310,5.938066,5.938066,3.856838,869509
2002-08-14,6.090759,6.192555,6.022895,6.184072,4.016622,1857726
2002-08-15,6.531873,6.659117,6.489458,6.625185,4.303129,1871990
2002-08-16,6.625185,6.820293,6.616702,6.786361,4.407816,1309686
2002-08-19,6.701532,6.743946,6.684566,6.743946,4.380266,649420
2002-08-20,6.574287,6.574287,6.362214,6.362214,4.132327,405283
2002-08-21,6.489458,6.608219,6.455526,6.455526,4.192934,259108
2002-08-22,6.659117,6.777878,6.616702,6.633668,4.308639,1046334
2002-08-23,6.659117,6.786361,6.608219,6.667600,4.330678,417661
2002-08-26,6.743946,6.752429,6.667600,6.684566,4.341698,1182961
2002-08-27,6.786361,6.786361,6.591253,6.616702,4.297619,1376879
2002-08-28,6.489458,6.489458,6.277384,6.277384,4.077229,884126
2002-08-29,6.277384,6.489458,6.277384,6.421594,4.170895,2329378
2002-08-30,6.404628,6.531873,6.404628,6.497941,4.220483,241072
2002-09-03,6.150140,6.184072,5.895651,5.938066,3.856838,109632
2002-09-04,5.912617,5.912617,5.734475,5.810822,3.774192,119062
2002-09-05,5.725992,5.725992,5.471504,5.530884,3.592369,206886
2002-09-06,5.810822,5.853236,5.725992,5.768407,3.746642,389959
2002-09-09,5.853236,5.853236,5.768407,5.793856,3.763172,337147
2002-09-10,5.980481,6.022895,5.938066,5.980481,3.884387,273961
2002-09-11,5.980481,5.980481,5.785373,5.810822,3.774192,181541
2002-09-12,5.810822,5.819305,5.683577,5.751441,3.735623,282095
2002-09-13,5.734475,5.938066,5.734475,5.895651,3.829289,407287
2002-09-16,5.556333,5.658129,5.530884,5.564816,3.614408,243076
2002-09-17,5.513918,5.513918,5.496952,5.505435,3.575840,14618
2002-09-18,5.284879,5.284879,5.089771,5.157634,3.349939,108571
2002-09-19,5.174600,5.174600,5.047356,5.047356,3.278312,193565
2002-09-20,5.132186,5.174600,5.132186,5.174600,3.360959,446896
2002-09-23,5.098254,5.098254,4.920112,4.920112,3.195666,181187
2002-09-24,4.843765,4.987975,4.835282,4.920112,3.195666,133326
2002-09-25,4.546862,4.758936,4.546862,4.758936,3.090981,496643
2002-09-26,4.750453,4.920112,4.665623,4.708038,3.057922,336322
2002-09-27,4.665623,4.665623,4.631691,4.657140,3.024863,160204
2002-09-30,4.665623,4.750453,4.665623,4.708038,3.057922,268656
2002-10-01,4.708038,4.750453,4.674106,4.750453,3.085470,138867
2002-10-02,4.631691,4.631691,4.470515,4.478998,2.909158,151834
2002-10-03,4.411135,4.478998,4.131197,4.199061,2.727336,1119657
2002-10-04,4.173612,4.283890,4.122714,4.182095,2.716316,1144649
2002-10-07,4.097266,4.097266,4.020919,4.097266,2.661218,23341
2002-10-08,4.114231,4.156646,4.097266,4.148163,2.694277,769543
2002-10-09,3.995470,4.071817,3.995470,4.037885,2.622650,182719
2002-10-10,3.953055,3.986987,3.774913,3.936089,2.556532,4386091
2002-10-11,3.851260,3.944572,3.817328,3.910641,2.540004,994347
2002-10-14,3.774913,3.825811,3.774913,3.825811,2.484906,263705
2002-10-15,4.249959,4.402652,4.249959,4.402652,2.859570,799486
2002-10-16,4.317822,4.343271,4.266925,4.292373,2.787942,249441
2002-10-17,4.750453,4.792868,4.623209,4.792868,3.113020,1780512
2002-10-18,4.792868,4.877697,4.792868,4.860731,3.157098,438645
2002-10-21,4.945561,5.098254,4.945561,5.098254,3.311371,296123
2002-10-22,4.826799,4.826799,4.725004,4.741970,3.079961,299896
2002-10-23,4.852248,5.047356,4.852248,5.047356,3.278312,461514
2002-10-24,5.004941,5.030390,4.971010,4.979492,3.234234,30296
2002-10-25,4.920112,5.089771,4.920112,5.004941,3.250763,455973
2002-10-28,5.004941,5.004941,4.962527,4.962527,3.223215,195922
2002-10-29,5.047356,5.123703,5.004941,5.123703,3.327901,264648
2002-10-30,5.047356,5.089771,5.021907,5.081288,3.300352,312391
2002-10-31,5.725992,5.725992,5.598748,5.683577,3.691545,614880
2002-11-01,5.615714,5.759924,5.513918,5.683577,3.691545,587413
2002-11-04,5.768407,5.980481,5.768407,5.938066,3.856838,626669
2002-11-05,5.836271,5.836271,5.725992,5.793856,3.763172,382060
2002-11-06,6.192555,6.345248,6.150140,6.336765,4.115798,562658
2002-11-07,6.150140,6.175589,6.031378,6.031378,3.917445,40670
2002-11-08,6.167106,6.277384,6.158623,6.201037,4.027641,321233
2002-11-11,5.768407,5.870202,5.725992,5.742958,3.730114,427917
2002-11-12,5.827788,6.005930,5.827788,5.938066,3.856838,167395
2002-11-13,5.768407,5.776890,5.734475,5.759924,3.741133,253567
2002-11-14,5.938066,6.099242,5.895651,6.056827,3.933974,272193
2002-11-15,6.319799,6.413111,6.243452,6.404628,4.159875,334318
2002-11-18,6.489458,6.659117,6.404628,6.404628,4.159875,243312
2002-11-19,6.277384,6.285867,6.234969,6.277384,4.077229,191089
2002-11-20,6.192555,6.192555,6.022895,6.150140,3.994583,195687
2002-11-21,6.192555,6.285867,6.150140,6.243452,4.055190,312863
2002-11-22,6.022895,6.353731,6.022895,6.268901,4.071719,303786
2002-11-25,6.659117,6.659117,6.277384,6.472492,4.203954,389016
2002-11-26,6.150140,6.150140,5.938066,5.938066,3.856838,280681
2002-11-27,5.938066,6.065310,5.853236,6.048344,3.928465,471416
2002-11-29,6.065310,6.065310,5.810822,5.819305,3.779701,144997
2002-12-02,5.904134,6.107725,5.904134,6.039861,3.922956,528354
2002-12-03,6.107725,6.141657,5.988964,6.056827,3.933974,89356
2002-12-04,5.938066,5.938066,5.725992,5.853236,3.801741,114819
2002-12-05,5.768407,5.810822,5.709026,5.725992,3.719095,77449
2002-12-06,5.641163,5.725992,5.607231,5.658129,3.675016,168927
2002-12-09,5.725992,5.836271,5.725992,5.734475,3.724603,23930
2002-12-10,5.683577,5.827788,5.641163,5.827788,3.785212,77685
2002-12-11,5.793856,5.802339,5.607231,5.675094,3.686036,23812
2002-12-12,5.301845,5.327293,5.013424,5.098254,3.311371,420373
2002-12-13,4.920112,4.920112,4.809833,4.920112,3.195666,270189
2002-12-16,4.962527,5.174600,4.945561,5.064322,3.289332,61653
2002-12-17,5.047356,5.047356,4.801350,4.801350,3.118528,224568
2002-12-18,4.801350,4.801350,4.674106,4.758936,3.090981,162443
2002-12-19,4.792868,4.962527,4.792868,4.809833,3.124039,75799
2002-12-20,4.818316,4.894663,4.818316,4.860731,3.157098,135802
2002-12-23,4.784385,4.784385,4.674106,4.682589,3.041392,24520
2002-12-24,4.996458,5.004941,4.945561,4.945561,3.212195,51044
2002-12-26,5.217015,5.301845,5.123703,5.259430,3.416057,89356
2002-12-27,5.259430,5.259430,4.928595,4.971010,3.228725,30414
2002-12-30,4.945561,4.962527,4.835282,4.920112,3.195666,82283
2002-12-31,4.835282,4.928595,4.835282,4.886180,3.173626,21219
2003-01-02,5.132186,5.301845,5.089771,5.301845,3.443605,54816
2003-01-03,5.386674,5.437572,5.386674,5.437572,3.531762,14500
2003-01-06,5.471504,5.675094,5.471504,5.675094,3.686036,81457
2003-01-07,5.641163,5.683577,5.624197,5.658129,3.675016,274551
2003-01-08,5.717509,5.725992,5.649646,5.649646,3.669506,25345
2003-01-09,5.895651,6.065310,5.895651,6.065310,3.939484,782393
2003-01-10,6.065310,6.065310,5.853236,5.904134,3.834799,61182
2003-01-13,6.234969,6.268901,6.124691,6.251935,4.060699,432868
2003-01-14,6.251935,6.277384,6.141657,6.260418,4.066210,57527
2003-01-15,6.175589,6.192555,6.022895,6.073793,3.944994,190736
2003-01-16,5.988964,6.031378,5.853236,5.895651,3.829289,97136
2003-01-17,5.861719,5.861719,5.624197,5.624197,3.652977,163504
2003-01-21,5.615714,5.658129,5.590265,5.598748,3.636447,301900
2003-01-22,5.539367,5.539367,5.403640,5.403640,3.509722,6601
2003-01-23,5.446055,5.658129,5.429089,5.615714,3.647467,122717
2003-01-24,5.301845,5.437572,5.301845,5.352742,3.476664,74384
