Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,0.498000,0.538000,0.475000,0.538000,0.538000,5100
2021-01-11,0.540000,0.540000,0.384000,0.539000,0.539000,5300
2021-01-12,0.540000,0.540000,0.530000,0.530000,0.530000,1200
2021-01-13,0.540000,0.540000,0.530000,0.530000,0.530000,5500
2021-01-14,0.540000,0.540000,0.500000,0.530000,0.530000,2000
2021-01-15,0.530000,0.530000,0.384000,0.457000,0.457000,1800
2021-01-19,0.530000,0.540000,0.400000,0.457000,0.457000,11300
2021-01-20,0.451000,0.500000,0.384000,0.442000,0.442000,1700
2021-01-21,0.442000,0.450000,0.442000,0.450000,0.450000,900
2021-01-22,0.500000,0.540000,0.384000,0.510000,0.510000,11500
2021-01-25,0.410000,0.879000,0.410000,0.690000,0.690000,13400
2021-01-26,0.690000,0.980000,0.680000,0.980000,0.980000,11900
2021-01-27,0.980000,1.000000,0.780000,0.879000,0.879000,11200
2021-01-28,0.980000,1.760000,0.980000,1.760000,1.760000,16500
2021-01-29,2.360000,2.360000,1.720000,1.880000,1.880000,30500
2021-02-01,1.010000,1.880000,0.625000,1.150000,1.150000,20100
2021-02-02,1.250000,1.250000,0.689000,1.160000,1.160000,40300
2021-02-03,1.100000,1.100000,0.701000,0.770000,0.770000,9800
2021-02-04,0.710000,1.160000,0.710000,1.160000,1.160000,10400
2021-02-05,1.170000,1.240000,0.910000,1.100000,1.100000,9200
2021-02-08,1.050000,1.050000,0.850000,0.860000,0.860000,15000
2021-02-09,0.860000,1.150000,0.860000,1.020000,1.020000,4300
2021-02-10,1.090000,1.090000,0.980000,1.020000,1.020000,6400
2021-02-11,1.030000,1.150000,1.030000,1.140000,1.140000,4300
2021-02-12,1.140000,1.140000,1.090000,1.140000,1.140000,1100
2021-02-16,0.990000,1.140000,0.870000,1.130000,1.130000,3000
2021-02-17,1.130000,1.130000,0.920000,1.120000,1.120000,10500
2021-02-18,1.000000,1.130000,0.945000,1.120000,1.120000,8900
2021-02-19,1.120000,1.120000,0.990000,0.990000,0.990000,300
2021-02-22,1.110000,1.140000,0.990000,0.990000,0.990000,5600
2021-02-23,0.701000,0.980000,0.701000,0.740000,0.740000,4400
2021-02-24,0.998000,1.020000,0.760000,1.020000,1.020000,3300
2021-02-25,0.752000,0.990000,0.752000,0.897000,0.897000,2400
2021-02-26,1.110000,1.110000,0.765000,1.070000,1.070000,1700
2021-03-01,1.070000,1.070000,1.070000,1.070000,1.070000,0
2021-03-02,1.000000,1.080000,0.780000,1.000000,1.000000,4100
2021-03-03,1.010000,1.060000,1.010000,1.060000,1.060000,800
2021-03-04,1.060000,1.060000,1.060000,1.060000,1.060000,0
2021-03-05,1.030000,1.030000,0.771000,1.010000,1.010000,3100
