Date,Open,High,Low,Close,Adj Close,Volume
2005-05-24,5.000000,40.000000,5.000000,40.000000,40.000000,3005
2005-05-25,25.000000,25.000000,25.000000,25.000000,25.000000,110
2005-05-26,25.000000,25.000000,25.000000,25.000000,25.000000,150
2005-05-27,34.000000,34.000000,27.000000,27.000000,27.000000,25
2005-05-31,null,null,null,null,null,null
2005-06-01,27.799999,30.000000,27.799999,29.799999,29.799999,3375
2005-06-02,null,null,null,null,null,null
2005-06-03,34.000000,35.000000,34.000000,35.000000,35.000000,250
2005-06-06,38.000000,38.000000,38.000000,38.000000,38.000000,115
2005-06-07,null,null,null,null,null,null
2005-06-08,null,null,null,null,null,null
2005-06-09,null,null,null,null,null,null
2005-06-10,null,null,null,null,null,null
2005-06-13,null,null,null,null,null,null
2005-06-14,42.000000,42.000000,41.799999,41.799999,41.799999,750
2005-06-15,null,null,null,null,null,null
2005-06-16,null,null,null,null,null,null
2005-06-17,null,null,null,null,null,null
2005-06-20,null,null,null,null,null,null
2005-06-21,null,null,null,null,null,null
2005-06-22,40.000000,40.020000,40.000000,40.020000,40.020000,15000
2005-06-23,null,null,null,null,null,null
2005-06-24,null,null,null,null,null,null
2005-06-27,null,null,null,null,null,null
2005-06-28,null,null,null,null,null,null
2005-06-29,null,null,null,null,null,null
2005-06-30,null,null,null,null,null,null
2005-07-01,null,null,null,null,null,null
2005-07-05,43.000000,45.000000,43.000000,45.000000,45.000000,18050
2005-07-06,45.000000,45.000000,45.000000,45.000000,45.000000,500
2005-07-07,null,null,null,null,null,null
2005-07-08,null,null,null,null,null,null
2005-07-11,null,null,null,null,null,null
2005-07-12,null,null,null,null,null,null
2005-07-13,null,null,null,null,null,null
2005-07-14,null,null,null,null,null,null
2005-07-15,null,null,null,null,null,null
2005-07-18,null,null,null,null,null,null
2005-07-19,45.000000,45.200001,45.000000,45.200001,45.200001,1000
2005-07-20,null,null,null,null,null,null
2005-07-21,null,null,null,null,null,null
2005-07-22,null,null,null,null,null,null
2005-07-25,null,null,null,null,null,null
2005-07-26,null,null,null,null,null,null
2005-07-27,null,null,null,null,null,null
2005-07-28,null,null,null,null,null,null
2005-07-29,null,null,null,null,null,null
2005-08-01,null,null,null,null,null,null
2005-08-02,45.000000,45.020000,45.000000,45.020000,45.020000,5000
2005-08-03,null,null,null,null,null,null
2005-08-04,null,null,null,null,null,null
2005-08-05,null,null,null,null,null,null
2005-08-08,null,null,null,null,null,null
2005-08-09,null,null,null,null,null,null
2005-08-10,null,null,null,null,null,null
2005-08-11,null,null,null,null,null,null
2005-08-12,null,null,null,null,null,null
2005-08-15,45.000000,45.000000,44.799999,44.950001,44.950001,5500
