Date,Open,High,Low,Close,Adj Close,Volume
1998-12-02,6.746063,6.746063,6.578250,6.578250,2.707115,24767
1998-12-03,6.578250,6.611813,6.511125,6.511125,2.679492,6331
1998-12-04,6.578250,6.746063,6.544688,6.712500,2.762362,14525
1998-12-07,6.712500,6.712500,6.578250,6.611813,2.720928,2793
1998-12-08,6.611813,6.611813,6.578250,6.578250,2.707115,11359
1998-12-09,6.511125,6.511125,6.511125,6.511125,2.679492,2607
1998-12-10,6.444000,6.444000,6.242625,6.242625,2.568997,40223
1998-12-11,6.309750,6.343313,6.242625,6.242625,2.568997,14153
1998-12-14,5.974125,6.041250,5.907000,5.907000,2.430879,16015
1998-12-15,6.041250,6.376875,6.041250,6.309750,2.596621,84730
1998-12-16,6.242625,6.242625,6.175500,6.175500,2.541373,13594
1998-12-17,6.309750,6.611813,6.309750,6.477563,2.665680,15084
1998-12-18,6.477563,6.779625,6.444000,6.678938,2.748551,25326
1998-12-21,6.578250,6.645375,6.444000,6.511125,2.679492,22905
1998-12-22,6.309750,6.309750,6.175500,6.242625,2.568997,10987
1998-12-23,6.276188,6.276188,6.242625,6.276188,2.582810,6145
1998-12-24,6.444000,6.444000,6.175500,6.309750,2.596621,11359
1998-12-28,6.242625,6.242625,6.175500,6.175500,2.541373,5028
1998-12-29,6.209063,6.242625,6.175500,6.209063,2.555186,22533
1998-12-30,6.276188,6.276188,6.175500,6.175500,2.541373,6890
1998-12-31,6.209063,6.544688,6.209063,6.444000,2.651869,8566
1999-01-04,6.511125,6.578250,6.444000,6.444000,2.651869,1304
1999-01-05,6.309750,6.444000,6.309750,6.444000,2.651869,11173
1999-01-06,6.309750,6.309750,6.309750,6.309750,2.596621,372
1999-01-07,6.309750,6.376875,6.175500,6.175500,2.541373,12477
1999-01-08,6.175500,6.444000,6.175500,6.444000,2.651869,92179
1999-01-11,6.712500,6.913875,6.712500,6.913875,2.845233,14339
1999-01-12,7.115250,7.182375,7.048125,7.081688,2.914292,5400
1999-01-13,7.014563,7.182375,7.014563,7.182375,2.955728,5214
1999-01-14,7.048125,7.048125,6.981000,6.981000,2.872856,931
1999-01-15,6.981000,7.014563,6.947438,6.947438,2.859046,5959
1999-01-19,6.846750,6.947438,6.813188,6.813188,2.803797,10242
1999-01-20,6.813188,6.813188,6.813188,6.813188,2.803797,745
1999-01-21,6.746063,6.746063,6.712500,6.746063,2.776174,5028
1999-01-22,6.678938,6.678938,6.645375,6.678938,2.748551,10801
1999-01-25,6.544688,6.578250,6.511125,6.578250,2.707115,8194
1999-01-26,6.511125,6.511125,6.477563,6.477563,2.665680,4655
1999-01-27,6.544688,6.578250,6.410438,6.578250,2.707115,8752
1999-01-28,6.477563,6.511125,6.444000,6.511125,2.679492,3724
1999-01-29,6.444000,6.444000,6.410438,6.410438,2.638057,4283
1999-02-01,6.410438,6.410438,6.309750,6.376875,2.624244,10242
1999-02-02,6.410438,6.444000,6.309750,6.444000,2.651869,30168
1999-02-03,6.477563,6.611813,6.477563,6.611813,2.720928,17318
1999-02-04,6.578250,6.846750,6.578250,6.746063,2.776174,20857
1999-02-05,6.846750,6.947438,6.846750,6.880313,2.831421,8566
1999-02-08,7.048125,7.182375,7.048125,7.182375,2.955728,17691
1999-02-09,7.148813,7.215938,7.081688,7.081688,2.914292,2235
1999-02-10,7.081688,7.081688,6.846750,6.846750,2.817610,2980
1999-02-11,6.981000,6.981000,6.846750,6.981000,2.872856,20298
1999-02-12,7.081688,7.081688,7.014563,7.014563,2.886669,1490
1999-02-16,6.981000,6.981000,6.981000,6.981000,2.872856,3166
1999-02-17,6.947438,6.947438,6.779625,6.779625,2.789986,9870
1999-02-18,6.947438,7.048125,6.913875,6.981000,2.872856,20298
1999-02-19,6.981000,7.048125,6.981000,7.048125,2.900481,6331
1999-02-22,6.947438,6.981000,6.913875,6.981000,2.872856,21043
1999-02-23,6.947438,6.981000,6.947438,6.981000,2.872856,4655
1999-02-24,6.913875,6.913875,6.913875,6.913875,2.845233,1862
1999-02-25,6.779625,6.813188,6.712500,6.813188,2.803797,8380
1999-02-26,6.578250,6.678938,6.578250,6.678938,2.748551,12849
1999-03-01,6.578250,6.578250,6.544688,6.578250,2.707115,10242
1999-03-02,6.645375,6.645375,6.578250,6.578250,2.707115,8007
1999-03-03,6.511125,6.611813,6.511125,6.511125,2.679492,4283
1999-03-04,6.544688,6.779625,6.544688,6.779625,2.789986,12104
1999-03-05,6.913875,6.913875,6.712500,6.846750,2.817610,5400
1999-03-08,6.779625,6.880313,6.779625,6.880313,2.847502,14525
1999-03-09,6.846750,6.846750,6.645375,6.645375,2.750270,7263
1999-03-10,6.746063,6.913875,6.746063,6.779625,2.805830,26629
1999-03-11,6.880313,6.880313,6.880313,6.880313,2.847502,931
1999-03-12,6.846750,6.846750,6.746063,6.779625,2.805830,37058
1999-03-15,6.846750,6.981000,6.846750,6.981000,2.889172,4469
1999-03-16,6.981000,6.981000,6.913875,6.981000,2.889172,1304
1999-03-17,6.981000,6.981000,6.947438,6.981000,2.889172,3724
1999-03-18,6.981000,6.981000,6.846750,6.913875,2.861392,6704
1999-03-19,6.981000,6.981000,6.947438,6.947438,2.875283,13594
1999-03-22,6.947438,7.081688,6.947438,7.081688,2.930843,6145
1999-03-23,7.148813,7.249500,7.081688,7.249500,3.000295,25698
1999-03-24,7.182375,7.283063,7.182375,7.249500,3.000295,8380
1999-03-25,7.215938,7.249500,7.215938,7.249500,3.000295,14898
1999-03-26,7.215938,7.249500,7.215938,7.249500,3.000295,2421
1999-03-29,7.182375,7.249500,7.182375,7.215938,2.986404,1862
1999-03-30,7.115250,7.115250,6.981000,6.981000,2.889172,3352
1999-03-31,6.846750,6.947438,6.813188,6.913875,2.861392,2980
1999-04-01,6.913875,6.913875,6.846750,6.846750,2.833611,1304
1999-04-05,6.913875,6.913875,6.712500,6.712500,2.778050,13408
1999-04-06,6.712500,6.779625,6.712500,6.746063,2.791940,13966
1999-04-07,6.746063,6.746063,6.746063,6.746063,2.791940,372
1999-04-08,6.746063,6.779625,6.746063,6.779625,2.805830,1862
1999-04-09,6.746063,6.846750,6.746063,6.846750,2.833611,14898
1999-04-12,6.712500,6.712500,6.645375,6.645375,2.750270,2793
1999-04-13,6.712500,6.846750,6.712500,6.779625,2.805830,6704
1999-04-14,6.712500,6.712500,6.712500,6.712500,2.778050,3352
1999-04-15,7.048125,7.316625,7.048125,7.316625,3.028076,10242
1999-04-16,8.390625,8.860500,8.390625,8.860500,3.667027,15829
1999-04-19,8.860500,9.464625,8.860500,9.129000,3.778149,43575
1999-04-20,8.860500,8.860500,8.625563,8.692688,3.597576,11546
1999-04-21,8.189250,8.189250,7.920750,8.055000,3.333660,6331
1999-04-22,8.189250,8.323500,8.155688,8.323500,3.444782,31844
1999-04-23,8.256375,8.524875,8.256375,8.524875,3.528124,28678
1999-04-26,8.491313,8.524875,8.222813,8.222813,3.403111,8194
1999-04-27,8.256375,8.457750,8.256375,8.390625,3.472563,15456
1999-04-28,8.491313,8.625563,8.491313,8.592000,3.555903,14898
1999-04-29,8.927625,9.196125,8.927625,9.196125,3.805930,27561
1999-04-30,9.330375,9.397500,9.196125,9.196125,3.805930,26257
1999-05-03,9.330375,9.598875,9.330375,9.598875,3.972612,22905
1999-05-04,9.833813,9.934500,9.733125,9.766688,4.042063,127561
1999-05-05,9.733125,9.733125,9.531750,9.598875,3.972612,4283
1999-05-06,9.900938,10.068750,9.900938,10.001625,4.139296,28305
1999-05-07,9.833813,9.833813,9.531750,9.531750,3.944832,9311
1999-05-10,9.632438,9.632438,9.598875,9.598875,3.972612,4469
1999-05-11,9.397500,9.565313,9.397500,9.531750,3.944832,20484
1999-05-12,9.397500,9.464625,9.061875,9.229688,3.819819,16574
1999-05-13,9.196125,9.263250,9.129000,9.229688,3.819819,6145
1999-05-14,9.330375,9.330375,9.095438,9.095438,3.764258,15829
1999-05-17,9.196125,9.397500,9.162563,9.330375,3.861490,27188
1999-05-18,9.363938,9.363938,9.363938,9.363938,3.875381,745
1999-05-19,9.129000,9.129000,8.994750,9.129000,3.778149,2980
1999-05-20,8.592000,8.692688,8.592000,8.625563,3.569796,7076
1999-05-21,8.592000,8.592000,8.524875,8.524875,3.528124,4097
1999-05-24,8.558438,8.558438,8.524875,8.558438,3.542016,2793
1999-05-25,8.592000,8.592000,8.424188,8.457750,3.500343,8194
1999-05-26,8.524875,8.524875,8.457750,8.457750,3.500343,1117
1999-05-27,8.323500,8.323500,8.189250,8.256375,3.417002,9683
1999-05-28,8.189250,8.189250,8.055000,8.055000,3.333660,20670
1999-06-01,7.987875,7.987875,7.820063,7.887188,3.264210,26816
1999-06-02,7.920750,8.189250,7.920750,8.189250,3.389221,3538
1999-06-03,8.256375,8.357063,8.256375,8.289938,3.430893,3166
1999-06-04,8.357063,8.457750,8.357063,8.457750,3.500343,2048
1999-06-07,8.491313,8.726250,8.491313,8.592000,3.555903,4469
1999-06-08,8.323500,8.457750,8.323500,8.323500,3.444782,3911
1999-06-09,8.457750,8.457750,8.323500,8.357063,3.458673,2607
1999-06-10,8.625563,8.759813,8.625563,8.759813,3.625357,3352
1999-06-11,9.129000,9.330375,9.129000,9.196125,3.805930,106704
1999-06-14,9.129000,9.330375,9.129000,9.296813,3.847600,10615
1999-06-15,9.330375,9.363938,9.330375,9.363938,3.875381,14153
1999-06-16,9.397500,9.397500,9.263250,9.330375,3.861490,7635
1999-06-17,9.196125,9.196125,9.129000,9.129000,3.778149,3166
1999-06-18,9.028313,9.028313,8.994750,8.994750,3.722587,2793
1999-06-21,8.860500,8.860500,8.860500,8.860500,3.667027,4283
1999-06-22,8.592000,8.659125,8.558438,8.558438,3.542016,8566
1999-06-23,8.491313,8.491313,8.457750,8.491313,3.514234,2421
1999-06-24,8.491313,8.625563,8.491313,8.524875,3.528124,6518
1999-06-25,8.994750,9.129000,8.961188,8.961188,3.708697,24209
1999-06-28,9.263250,9.431063,9.263250,9.296813,3.847600,26629
1999-06-29,9.263250,9.263250,9.095438,9.129000,3.778149,4283
1999-06-30,9.129000,9.397500,9.129000,9.397500,3.889270,9311
1999-07-01,9.531750,9.598875,9.464625,9.531750,3.944832,16201
1999-07-02,9.666000,9.800250,9.666000,9.800250,4.055953,15456
1999-07-06,9.833813,9.968063,9.833813,9.934500,4.111514,23464
1999-07-07,9.900938,10.001625,9.800250,9.934500,4.111514,2235
1999-07-08,10.303688,10.437938,10.303688,10.437938,4.319868,29236
1999-07-09,10.203000,10.203000,10.203000,10.203000,4.222637,7635
1999-07-12,10.135875,10.270125,10.068750,10.270125,4.250417,10987
1999-07-13,10.135875,10.135875,10.001625,10.001625,4.139296,3166
1999-07-14,10.135875,10.337250,10.102313,10.236563,4.236527,10615
1999-07-15,10.471500,10.471500,10.437938,10.437938,4.319868,100931
1999-07-16,10.337250,10.337250,10.337250,10.337250,4.278199,9683
1999-07-19,10.270125,10.270125,10.102313,10.135875,4.194857,9125
1999-07-20,10.135875,10.135875,10.068750,10.068750,4.167075,3166
1999-07-21,10.001625,10.001625,9.934500,9.934500,4.111514,16574
1999-07-22,9.699563,9.699563,9.598875,9.699563,4.014283,15270
1999-07-23,9.666000,9.666000,9.565313,9.632438,3.986502,5028
1999-07-26,9.498188,9.498188,9.330375,9.330375,3.861490,7263
1999-07-27,9.330375,9.565313,9.330375,9.565313,3.958722,8752
1999-07-28,9.531750,9.598875,9.531750,9.598875,3.972612,2980
1999-07-29,9.464625,9.565313,9.431063,9.565313,3.958722,3352
1999-07-30,9.531750,9.531750,9.330375,9.330375,3.861490,4097
