Date,Open,High,Low,Close,Adj Close,Volume
1998-12-02,9.000000,9.000000,9.000000,9.000000,9.000000,75
1998-12-03,9.000000,9.000000,9.000000,9.000000,9.000000,0
1998-12-04,9.000000,9.000000,9.000000,9.000000,9.000000,0
1998-12-07,9.000000,9.000000,9.000000,9.000000,9.000000,0
1998-12-08,8.200000,8.200000,8.200000,8.200000,8.200000,50
1998-12-09,8.200000,8.200000,8.200000,8.200000,8.200000,0
1998-12-10,8.200000,8.200000,8.200000,8.200000,8.200000,0
1998-12-11,8.200000,8.200000,8.200000,8.200000,8.200000,0
1998-12-14,8.400000,8.400000,8.400000,8.400000,8.400000,175
1998-12-15,8.400000,8.400000,8.400000,8.400000,8.400000,0
1998-12-16,8.400000,8.400000,8.400000,8.400000,8.400000,0
1998-12-17,8.400000,8.400000,8.400000,8.400000,8.400000,0
1998-12-18,8.600000,8.600000,8.400000,8.600000,8.600000,550
1998-12-21,8.000000,8.400000,8.000000,8.000000,8.000000,1250
1998-12-22,8.000000,8.000000,8.000000,8.000000,8.000000,0
1998-12-23,8.000000,8.000000,8.000000,8.000000,8.000000,0
1998-12-24,8.000000,8.000000,8.000000,8.000000,8.000000,75
1998-12-28,8.000000,8.600000,8.000000,8.000000,8.000000,200
1998-12-29,8.000000,8.000000,8.000000,8.000000,8.000000,0
1998-12-30,8.400000,8.400000,8.400000,8.400000,8.400000,350
1998-12-31,8.000000,8.000000,8.000000,8.000000,8.000000,75
1999-01-04,8.400000,8.800000,8.400000,8.400000,8.400000,350
1999-01-05,8.400000,8.400000,8.400000,8.400000,8.400000,0
1999-01-06,8.600000,8.600000,8.400000,8.600000,8.600000,1620
1999-01-07,8.600000,8.600000,8.600000,8.600000,8.600000,0
1999-01-08,8.600000,8.600000,8.600000,8.600000,8.600000,0
1999-01-11,9.000000,10.600000,9.000000,9.000000,9.000000,285
1999-01-12,9.000000,9.000000,9.000000,9.000000,9.000000,25
1999-01-13,10.600000,10.600000,10.600000,10.600000,10.600000,125
1999-01-14,9.600000,10.600000,9.600000,9.600000,9.600000,700
1999-01-15,9.600000,9.600000,9.600000,9.600000,9.600000,0
1999-01-19,10.000000,10.800000,9.800000,10.000000,10.000000,1200
1999-01-20,10.800000,10.800000,9.800000,10.800000,10.800000,125
1999-01-21,10.800000,10.800000,10.800000,10.800000,10.800000,10
1999-01-22,9.800000,9.800000,9.800000,9.800000,9.800000,250
1999-01-25,9.800000,10.800000,9.800000,9.800000,9.800000,315
1999-01-26,9.800000,9.800000,9.800000,9.800000,9.800000,0
1999-01-27,10.400000,11.600000,10.200000,10.400000,10.400000,1980
