Date,Open,High,Low,Close,Adj Close,Volume
2015-02-09,1.910000,1.910000,1.910000,1.910000,1.149014,10770
2015-02-10,1.880000,1.880000,1.880000,1.880000,1.130967,1380
2015-02-11,1.880000,1.880000,1.880000,1.880000,1.130967,0
2015-02-12,1.860000,1.860000,1.860000,1.860000,1.118935,9080
2015-02-13,1.860000,1.860000,1.860000,1.860000,1.118935,0
2015-02-17,1.910000,1.910000,1.870000,1.870000,1.124951,4040
2015-02-18,1.870000,1.870000,1.870000,1.870000,1.124951,0
2015-02-19,1.870000,1.870000,1.870000,1.870000,1.124951,0
2015-02-20,1.870000,1.870000,1.870000,1.870000,1.124951,0
2015-02-23,1.860000,1.860000,1.860000,1.860000,1.118935,26080
2015-02-24,2.000000,2.000000,2.000000,2.000000,1.203156,12150
2015-02-25,2.000000,2.000000,2.000000,2.000000,1.203156,0
2015-02-26,2.000000,2.000000,2.000000,2.000000,1.203156,0
2015-02-27,2.000000,2.000000,2.000000,2.000000,1.203156,0
2015-03-02,2.000000,2.000000,2.000000,2.000000,1.203156,0
2015-03-03,2.000000,2.000000,2.000000,2.000000,1.203156,0
2015-03-04,2.000000,2.000000,2.000000,2.000000,1.203156,0
2015-03-05,1.990000,1.990000,1.990000,1.990000,1.197140,900
2015-03-06,1.990000,1.990000,1.990000,1.990000,1.197140,0
2015-03-09,1.990000,1.990000,1.990000,1.990000,1.197140,0
2015-03-10,1.990000,1.990000,1.990000,1.990000,1.197140,0
2015-03-11,1.990000,1.990000,1.990000,1.990000,1.197140,0
2015-03-12,1.990000,1.990000,1.990000,1.990000,1.197140,0
2015-03-13,1.990000,1.990000,1.990000,1.990000,1.197140,0
2015-03-16,1.990000,1.990000,1.990000,1.990000,1.197140,0
2015-03-17,1.990000,1.990000,1.990000,1.990000,1.197140,0
2015-03-18,1.990000,1.990000,1.990000,1.990000,1.197140,0
2015-03-19,1.990000,1.990000,1.990000,1.990000,1.197140,0
2015-03-20,1.990000,1.990000,1.990000,1.990000,1.197140,0
2015-03-23,1.990000,1.990000,1.990000,1.990000,1.197140,0
2015-03-24,1.990000,1.990000,1.990000,1.990000,1.197140,0
2015-03-25,1.990000,1.990000,1.990000,1.990000,1.197140,0
2015-03-26,2.030000,2.030000,2.030000,2.030000,1.221203,600
2015-03-27,2.030000,2.030000,2.030000,2.030000,1.221203,0
2015-03-30,2.030000,2.030000,2.030000,2.030000,1.221203,0
2015-03-31,2.030000,2.030000,2.030000,2.030000,1.221203,0
2015-04-01,2.030000,2.030000,2.030000,2.030000,1.221203,0
2015-04-02,2.030000,2.030000,2.030000,2.030000,1.221203,0
2015-04-06,2.030000,2.030000,2.030000,2.030000,1.221203,0
2015-04-07,2.030000,2.030000,2.030000,2.030000,1.221203,0
2015-04-08,2.030000,2.030000,2.030000,2.030000,1.221203,0
2015-04-09,1.980000,1.980000,1.900000,1.900000,1.142998,2700
2015-04-10,1.900000,1.900000,1.900000,1.900000,1.142998,0
2015-04-13,1.900000,1.900000,1.900000,1.900000,1.142998,0
2015-04-14,1.900000,1.900000,1.900000,1.900000,1.142998,0
2015-04-15,1.900000,1.900000,1.900000,1.900000,1.142998,0
2015-04-16,1.900000,1.900000,1.900000,1.900000,1.142998,0
2015-04-17,1.880000,1.880000,1.880000,1.880000,1.130967,1810
2015-04-20,1.880000,1.880000,1.880000,1.880000,1.130967,0
