Date,Open,High,Low,Close,Adj Close,Volume
2021-01-05,27.940001,30.080000,27.940001,30.080000,30.080000,15100
2021-01-06,29.665001,30.290001,28.469999,28.510000,28.510000,4500
2021-01-07,28.270000,28.500000,27.510000,28.170000,28.170000,12000
2021-01-08,29.290001,29.770000,28.650000,29.424999,29.424999,7800
2021-01-11,28.365000,29.360001,28.365000,28.549999,28.549999,6300
2021-01-12,28.299999,28.930000,27.709999,28.700001,28.700001,10600
2021-01-13,27.500000,29.775000,27.500000,29.730000,29.730000,8800
2021-01-14,31.190001,31.190001,30.299999,30.500000,30.500000,9100
2021-01-15,31.250000,31.250000,30.049999,30.799999,30.799999,2900
2021-01-19,31.000000,31.570000,30.900000,31.150000,31.150000,7300
2021-01-20,34.500000,34.500000,32.410000,33.174999,33.174999,31400
2021-01-21,33.271999,33.334999,32.330002,32.419998,32.419998,6000
2021-01-22,32.200001,32.700001,31.290001,32.700001,32.700001,3000
2021-01-25,32.665001,33.250000,32.279999,32.900002,32.900002,4200
2021-01-26,33.445000,33.790001,32.259998,32.799999,32.799999,4200
2021-01-27,32.480000,32.865002,32.189999,32.189999,32.189999,2000
2021-01-28,31.719999,32.889999,31.719999,32.700001,32.700001,900
2021-01-29,32.709999,32.889999,31.230000,32.889999,32.889999,10300
2021-02-01,32.000000,32.950001,32.000000,32.950001,32.950001,1500
2021-02-02,33.099998,33.099998,31.500000,32.000000,32.000000,3000
2021-02-03,32.020000,33.779999,32.020000,32.959999,32.959999,37300
2021-02-04,33.243000,34.490002,33.040001,33.799999,33.799999,17000
2021-02-05,33.314999,34.189999,33.285000,33.395000,33.395000,1100
2021-02-08,33.599998,33.900002,32.360001,33.000000,33.000000,5600
2021-02-09,33.000000,33.450001,32.099998,32.099998,32.099998,2700
2021-02-10,32.509998,33.630001,32.509998,33.630001,33.630001,1300
2021-02-11,34.333000,34.549999,32.759998,32.759998,32.759998,3000
2021-02-12,33.750000,34.180000,33.750000,33.750000,33.750000,1900
2021-02-16,33.959999,34.820000,33.009998,34.342999,34.342999,20800
2021-02-17,34.215000,35.070000,33.360001,35.070000,35.070000,44900
2021-02-18,34.310001,34.310001,32.189999,33.099998,33.099998,3300
2021-02-19,33.099998,34.099998,32.250000,32.250000,32.250000,8800
2021-02-22,32.250000,32.950001,31.770000,32.400002,32.400002,34500
2021-02-23,30.750000,31.740000,30.730000,31.334999,31.334999,1800
2021-02-24,32.195000,32.200001,30.850000,30.850000,30.850000,1200
2021-02-25,30.730000,31.959999,30.730000,31.959999,31.959999,4500
2021-02-26,30.725000,30.990000,28.360001,30.000000,30.000000,7400
2021-03-01,30.000000,31.110001,30.000000,30.680000,30.680000,37400
2021-03-02,30.809999,30.809999,29.520000,29.520000,29.520000,1500
2021-03-03,29.990000,29.990000,29.400000,29.750000,29.750000,9200
2021-03-04,29.209999,29.209999,28.562000,28.920000,28.920000,1200
2021-03-05,29.959999,29.959999,28.500000,29.930000,29.930000,5400
