Date,Open,High,Low,Close,Adj Close,Volume
2008-06-24,7.750000,7.750000,7.666667,7.750000,6.969097,7800
2008-06-25,7.750000,7.750000,7.750000,7.750000,6.969097,0
2008-06-26,7.746667,7.746667,7.710000,7.746667,6.966103,3300
2008-06-27,7.700000,7.700000,7.700000,7.700000,6.924136,6900
2008-06-30,7.726667,7.726667,7.696667,7.726667,6.948117,2400
2008-07-01,7.726667,7.726667,7.726667,7.726667,6.948117,0
2008-07-02,7.753333,7.753333,7.753333,7.753333,6.972095,900
2008-07-03,7.753333,7.753333,7.753333,7.753333,6.972095,0
2008-07-07,7.610000,7.610000,7.610000,7.610000,6.843204,1800
2008-07-08,7.610000,7.610000,7.610000,7.610000,6.843204,0
2008-07-09,7.610000,7.610000,7.610000,7.610000,6.843204,0
2008-07-10,7.343333,7.343333,7.343333,7.343333,6.603409,300
2008-07-11,7.343333,7.343333,7.343333,7.343333,6.603409,0
2008-07-14,7.353333,7.636667,7.353333,7.353333,6.612401,8400
2008-07-15,7.443333,7.443333,7.443333,7.443333,6.693332,600
2008-07-16,7.443333,7.443333,7.443333,7.443333,6.693332,0
2008-07-17,7.443333,7.443333,7.443333,7.443333,6.693332,0
2008-07-18,7.293333,7.293333,7.293333,7.293333,6.558445,600
2008-07-21,7.293333,7.293333,7.293333,7.293333,6.558445,0
2008-07-22,7.256667,7.256667,7.156667,7.256667,6.525473,900
2008-07-23,7.256667,7.256667,7.256667,7.256667,6.525473,0
2008-07-24,7.256667,7.256667,7.256667,7.256667,6.525473,0
2008-07-25,7.080000,7.080000,7.080000,7.080000,6.366610,600
2008-07-28,7.080000,7.080000,7.080000,7.080000,6.366610,0
2008-07-29,6.973333,6.973333,6.973333,6.973333,6.270689,600
2008-07-30,7.050000,7.050000,7.050000,7.050000,6.339633,600
2008-07-31,7.050000,7.050000,7.050000,7.050000,6.339633,0
2008-08-01,7.050000,7.050000,7.050000,7.050000,6.339633,0
2008-08-04,7.050000,7.050000,7.050000,7.050000,6.339633,0
2008-08-05,7.050000,7.050000,7.050000,7.050000,6.339633,0
2008-08-06,6.806667,6.806667,6.790000,6.806667,6.120815,600
2008-08-07,6.566667,6.646667,6.566667,6.566667,5.904999,2700
2008-08-08,6.423333,6.423333,6.380000,6.423333,5.776108,1500
2008-08-11,6.863333,6.863333,6.713333,6.863333,6.171772,2400
2008-08-12,6.863333,6.863333,6.863333,6.863333,6.171772,0
2008-08-13,6.863333,6.863333,6.863333,6.863333,6.171772,0
2008-08-14,6.863333,6.863333,6.863333,6.863333,6.171772,0
2008-08-15,7.143333,7.143333,7.143333,7.143333,6.423560,2700
2008-08-18,7.143333,7.143333,7.143333,7.143333,6.423560,0
2008-08-19,7.376667,7.376667,7.336667,7.376667,6.633384,1800
2008-08-20,7.376667,7.376667,7.376667,7.376667,6.633384,0
2008-08-21,7.433333,7.433333,7.433333,7.433333,6.684338,300
2008-08-22,7.433333,7.433333,7.433333,7.433333,6.684338,0
2008-08-25,7.433333,7.433333,7.433333,7.433333,6.684338,0
2008-08-26,7.433333,7.433333,7.433333,7.433333,6.684338,0
2008-08-27,7.433333,7.433333,7.433333,7.433333,6.684338,0
2008-08-28,7.426667,7.426667,7.426667,7.426667,6.678344,300
2008-08-29,7.426667,7.426667,7.426667,7.426667,6.678344,0
2008-09-02,7.426667,7.426667,7.426667,7.426667,6.678344,0
2008-09-03,7.426667,7.426667,7.426667,7.426667,6.678344,0
2008-09-04,7.086667,7.086667,7.086667,7.086667,6.372603,2400
2008-09-05,6.906667,7.056667,6.906667,6.906667,6.210742,8700
2008-09-08,6.990000,6.990000,6.726667,6.990000,6.285677,10800
2008-09-09,6.376667,6.733333,5.960000,6.376667,5.734144,27900
2008-09-10,6.380000,6.423333,6.246667,6.380000,5.737143,14700
2008-09-11,6.380000,6.380000,6.380000,6.380000,5.737143,0
2008-09-12,6.380000,6.380000,6.380000,6.380000,5.737143,0
2008-09-15,6.816667,6.816667,6.643333,6.816667,6.129808,5400
2008-09-16,6.816667,6.816667,6.816667,6.816667,6.129808,0
2008-09-17,6.790000,6.790000,6.790000,6.790000,6.105827,300
2008-09-18,6.790000,6.790000,6.790000,6.790000,6.105827,0
2008-09-19,6.466667,6.466667,6.426667,6.466667,5.815074,1500
2008-09-22,7.183333,7.183333,7.030000,7.183333,6.459528,4800
2008-09-23,7.166667,7.166667,7.166667,7.166667,6.444541,600
2008-09-24,7.166667,7.166667,7.166667,7.166667,6.444541,0
2008-09-25,6.770000,6.770000,6.770000,6.770000,6.087845,300
2008-09-26,6.493333,6.746667,6.493333,6.493333,5.839053,1500
2008-09-29,6.330000,6.353333,6.240000,6.330000,5.692178,1500
2008-09-30,5.913333,6.193333,5.913333,5.913333,5.317496,1800
2008-10-01,5.913333,5.913333,5.913333,5.913333,5.317496,0
2008-10-02,5.833333,5.836667,5.833333,5.833333,5.245557,6000
2008-10-03,5.293333,5.703333,5.293333,5.293333,4.759967,3000
2008-10-06,4.923333,5.316667,4.846667,4.923333,4.427251,7500
2008-10-07,4.910000,5.070000,4.910000,4.910000,4.415262,19500
2008-10-08,4.443333,4.550000,4.443333,4.443333,3.995616,6900
2008-10-09,4.370000,4.370000,4.253333,4.370000,3.929672,6600
2008-10-10,3.830000,3.830000,3.830000,3.830000,3.444082,1500
2008-10-13,3.830000,3.830000,3.830000,3.830000,3.444082,0
2008-10-14,4.483333,4.483333,4.366667,4.483333,4.031585,16800
2008-10-15,4.126667,4.343333,4.013333,4.126667,3.710858,15000
2008-10-16,4.190000,4.190000,3.896667,4.190000,3.767808,43200
2008-10-17,4.190000,4.190000,4.190000,4.190000,3.767808,0
2008-10-20,4.330000,4.563333,4.330000,4.330000,3.893703,19200
2008-10-21,4.430000,4.430000,4.430000,4.430000,3.983626,1500
2008-10-22,4.273333,4.276667,4.213333,4.273333,3.842746,6300
2008-10-23,4.273333,4.273333,4.273333,4.273333,3.842746,0
2008-10-24,3.660000,3.860000,3.660000,3.660000,3.291214,20700
2008-10-27,4.116667,4.133333,4.116667,4.133333,3.716852,1500
2008-10-28,3.903333,3.903333,3.880000,3.880000,3.489045,1500
2008-10-29,4.276667,4.276667,4.273333,4.273333,3.842746,7500
2008-10-30,4.330000,4.330000,4.326667,4.326667,3.890703,3000
2008-10-31,4.450000,4.450000,4.450000,4.450000,4.001610,600
2008-11-03,4.503333,4.503333,4.503333,4.503333,4.049569,900
2008-11-04,4.503333,4.503333,4.503333,4.503333,4.049569,0
2008-11-05,4.503333,4.503333,4.503333,4.503333,4.049569,0
2008-11-06,4.503333,4.503333,4.503333,4.503333,4.049569,0
2008-11-07,4.230000,4.233333,4.230000,4.233333,3.806775,1500
2008-11-10,4.246667,4.246667,4.246667,4.246667,3.818766,300
2008-11-11,4.133333,4.133333,4.036667,4.036667,3.629926,7800
2008-11-12,4.036667,4.036667,4.033333,4.033333,3.626929,2400
2008-11-13,4.133333,4.186667,4.066667,4.186667,3.764813,6900
2008-11-14,4.246667,4.246667,4.246667,4.246667,3.818766,18000
2008-11-17,4.416667,4.556667,4.416667,4.556667,4.097529,15600
2008-11-18,4.406667,4.510000,4.390000,4.510000,4.055566,5700
2008-11-19,4.416667,4.416667,4.413333,4.413333,3.968637,2100
2008-11-20,4.303333,4.303333,4.113333,4.163333,3.743829,21300
2008-11-21,4.220000,4.220000,4.220000,4.220000,3.794786,9900
2008-11-24,4.410000,4.410000,4.410000,4.410000,3.965641,9000
2008-11-25,4.533333,4.770000,4.533333,4.770000,4.289368,6300
2008-11-26,4.613333,4.616667,4.613333,4.616667,4.151487,2400
2008-11-28,4.550000,4.553333,4.550000,4.553333,4.094532,1200
2008-12-01,4.426667,4.433333,4.426667,4.433333,3.986624,13500
2008-12-02,4.433333,4.433333,4.433333,4.433333,3.986624,0
2008-12-03,3.986667,3.986667,3.986667,3.986667,3.584964,600
2008-12-04,3.903333,3.916667,3.776667,3.776667,3.396124,6300
2008-12-05,3.776667,3.776667,3.776667,3.776667,3.396124,0
2008-12-08,3.986667,3.986667,3.986667,3.986667,3.584964,2100
2008-12-09,3.986667,3.986667,3.986667,3.986667,3.584964,0
2008-12-10,3.986667,3.986667,3.986667,3.986667,3.584964,0
2008-12-11,3.986667,3.986667,3.986667,3.986667,3.584964,0
2008-12-12,3.986667,3.986667,3.986667,3.986667,3.584964,0
2008-12-15,3.986667,3.986667,3.986667,3.986667,3.584964,0
2008-12-16,3.986667,3.986667,3.986667,3.986667,3.584964,0
2008-12-17,3.986667,3.986667,3.986667,3.986667,3.584964,0
2008-12-18,3.986667,3.986667,3.986667,3.986667,3.584964,0
2008-12-19,4.040000,4.040000,4.040000,4.040000,3.632922,1200
2008-12-22,4.040000,4.040000,4.040000,4.040000,3.632922,0
2008-12-23,4.236667,4.236667,4.236667,4.236667,3.809774,1800
2008-12-24,4.236667,4.236667,4.236667,4.236667,3.809774,0
2008-12-26,4.236667,4.236667,4.236667,4.236667,3.809774,0
2008-12-29,4.323333,4.323333,4.320000,4.320000,3.884709,1500
2008-12-30,4.320000,4.320000,4.320000,4.320000,3.884709,0
2008-12-31,4.533333,4.533333,4.513333,4.513333,4.058561,4800
2009-01-02,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-01-05,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-01-06,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-01-07,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-01-08,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-01-09,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-01-12,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-01-13,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-01-14,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-01-15,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-01-16,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-01-20,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-01-21,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-01-22,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-01-23,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-01-26,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-01-27,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-01-28,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-01-29,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-01-30,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-02-02,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-02-03,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-02-04,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-02-05,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-02-06,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-02-09,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-02-10,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-02-11,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-02-12,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-02-13,4.513333,4.513333,4.513333,4.513333,4.058561,0
2009-02-17,3.533333,3.533333,3.533333,3.533333,3.177310,1500
2009-02-18,3.600000,3.603333,3.600000,3.603333,3.240256,3000
2009-02-19,3.603333,3.603333,3.603333,3.603333,3.240256,0
2009-02-20,3.383333,3.383333,3.333333,3.333333,2.997461,3000
2009-02-23,3.333333,3.333333,3.333333,3.333333,2.997461,0
