Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,0.198000,0.206000,0.198000,0.200000,0.200000,20800
2021-01-11,0.207000,0.207000,0.198000,0.198000,0.198000,18500
2021-01-12,0.204000,0.204000,0.202000,0.202000,0.202000,5000
2021-01-13,0.191000,0.191000,0.187000,0.187000,0.187000,10300
2021-01-14,0.187000,0.187000,0.187000,0.187000,0.187000,0
2021-01-15,0.187000,0.187000,0.187000,0.187000,0.187000,0
2021-01-19,0.220000,0.229000,0.210000,0.229000,0.229000,22800
2021-01-20,0.222000,0.259000,0.220000,0.259000,0.259000,188600
2021-01-21,0.260000,0.263000,0.228000,0.243000,0.243000,71600
2021-01-22,0.251000,0.261000,0.236000,0.244000,0.244000,128900
2021-01-25,0.235000,0.242000,0.228000,0.228000,0.228000,15700
2021-01-26,0.230000,0.230000,0.208000,0.218000,0.218000,10000
2021-01-27,0.205000,0.210000,0.200000,0.200000,0.200000,41800
2021-01-28,0.201000,0.203000,0.191000,0.196000,0.196000,43800
2021-01-29,0.206000,0.210000,0.206000,0.210000,0.210000,11500
2021-02-01,0.207000,0.208000,0.200000,0.200000,0.200000,63200
2021-02-02,0.203000,0.209000,0.200000,0.202000,0.202000,24400
2021-02-03,0.198000,0.237000,0.198000,0.233000,0.233000,213000
2021-02-04,0.220000,0.223000,0.210000,0.214000,0.214000,117600
2021-02-05,0.224000,0.228000,0.223000,0.228000,0.228000,131100
2021-02-08,0.222000,0.225000,0.215000,0.225000,0.225000,13800
2021-02-09,0.230000,0.230000,0.226000,0.226000,0.226000,1100
2021-02-10,0.226000,0.226000,0.212000,0.222000,0.222000,100300
2021-02-11,0.213000,0.227000,0.211000,0.219000,0.219000,88200
2021-02-12,0.214000,0.222000,0.208000,0.216000,0.216000,67300
2021-02-16,0.227000,0.227000,0.207000,0.207000,0.207000,82300
2021-02-17,0.216000,0.217000,0.205000,0.206000,0.206000,36200
2021-02-18,0.206000,0.206000,0.177000,0.187000,0.187000,46900
2021-02-19,0.193000,0.193000,0.177000,0.184000,0.184000,43100
2021-02-22,0.190000,0.193000,0.168000,0.176000,0.176000,76600
2021-02-23,0.181000,0.181000,0.160000,0.160000,0.160000,67100
2021-02-24,0.170000,0.201000,0.165000,0.192000,0.192000,102300
2021-02-25,0.200000,0.200000,0.183000,0.191000,0.191000,164600
2021-02-26,0.187000,0.194000,0.175000,0.194000,0.194000,259400
2021-03-01,0.200000,0.213000,0.200000,0.213000,0.213000,76500
2021-03-02,0.215000,0.240000,0.212000,0.239000,0.239000,484400
2021-03-03,0.242000,0.245000,0.228000,0.231000,0.231000,196000
2021-03-04,0.219000,0.231000,0.213000,0.218000,0.218000,79500
2021-03-05,0.223000,0.226000,0.208000,0.226000,0.226000,112400
