Date,Open,High,Low,Close,Adj Close,Volume
2014-07-09,0.010000,0.010000,0.010000,0.010000,0.010000,700
2014-07-10,1.790000,6.000000,1.790000,3.650000,3.650000,91500
2014-07-11,3.800000,7.050000,3.750000,4.600000,4.600000,99100
2014-07-14,4.900000,5.000000,2.760000,3.710000,3.710000,55100
2014-07-15,3.500000,4.230000,3.010000,3.250000,3.250000,49900
2014-07-16,3.000000,3.030000,2.190000,2.300000,2.300000,36700
2014-07-17,2.000000,2.250000,2.000000,2.070000,2.070000,12700
2014-07-18,2.080000,2.280000,1.200000,1.500000,1.500000,28600
2014-07-21,1.500000,2.290000,1.500000,2.150000,2.150000,10500
2014-07-22,2.150000,3.050000,2.150000,2.510000,2.510000,32000
2014-07-23,2.750000,3.710000,2.750000,3.680000,3.680000,36400
2014-07-24,4.000000,4.450000,3.500000,4.060000,4.060000,51900
2014-07-25,4.000000,5.050000,4.000000,4.990000,4.990000,33800
2014-07-28,5.000000,5.750000,4.720000,5.250000,5.250000,23300
2014-07-29,5.000000,5.760000,5.000000,5.500000,5.500000,29600
2014-07-30,5.000000,5.640000,3.700000,4.970000,4.970000,49500
2014-07-31,3.000000,4.490000,3.000000,3.800000,3.800000,15500
2014-08-01,3.800000,4.400000,3.600000,4.200000,4.200000,13900
2014-08-04,3.800000,4.500000,3.700000,4.500000,4.500000,8300
2014-08-05,4.500000,4.500000,4.010000,4.060000,4.060000,11500
2014-08-06,4.000000,4.100000,4.000000,4.030000,4.030000,9800
2014-08-07,4.500000,4.500000,3.700000,3.900000,3.900000,19100
2014-08-08,3.710000,3.800000,3.710000,3.800000,3.800000,3200
2014-08-11,3.800000,3.800000,3.520000,3.520000,3.520000,4700
2014-08-12,3.500000,3.500000,3.060000,3.200000,3.200000,7500
2014-08-13,3.150000,3.900000,2.800000,3.400000,3.400000,20100
2014-08-14,3.510000,3.990000,3.510000,3.930000,3.930000,6400
2014-08-15,3.400000,3.990000,3.400000,3.500000,3.500000,3900
2014-08-18,3.450000,3.450000,3.250000,3.350000,3.350000,3400
2014-08-19,4.000000,4.000000,3.200000,3.270000,3.270000,3800
2014-08-20,3.250000,3.280000,3.100000,3.280000,3.280000,4000
2014-08-21,3.990000,3.990000,3.160000,3.290000,3.290000,3100
2014-08-22,3.250000,3.300000,3.250000,3.300000,3.300000,1000
2014-08-25,3.110000,3.250000,3.110000,3.190000,3.190000,3600
2014-08-26,3.100000,3.160000,3.100000,3.100000,3.100000,5000
2014-08-27,3.100000,3.100000,3.100000,3.100000,3.100000,2200
2014-08-28,3.100000,3.100000,3.000000,3.090000,3.090000,5100
2014-08-29,3.090000,3.090000,2.900000,2.900000,2.900000,7200
2014-09-02,2.890000,3.000000,2.500000,2.700000,2.700000,6700
2014-09-03,2.640000,2.700000,2.230000,2.700000,2.700000,13900
2014-09-04,2.010000,2.740000,2.010000,2.400000,2.400000,7600
2014-09-05,2.390000,2.390000,1.850000,2.300000,2.300000,11700
2014-09-08,2.000000,2.270000,2.000000,2.240000,2.240000,4800
2014-09-09,2.200000,2.490000,2.050000,2.350000,2.350000,9400
2014-09-10,2.140000,2.140000,2.000000,2.000000,2.000000,3100
2014-09-11,1.950000,1.950000,1.800000,1.940000,1.940000,9800
2014-09-12,1.790000,1.940000,1.790000,1.800000,1.800000,7800
2014-09-15,1.750000,1.750000,1.600000,1.610000,1.610000,5500
2014-09-16,1.600000,1.770000,1.600000,1.740000,1.740000,2000
2014-09-17,1.740000,1.740000,1.740000,1.740000,1.740000,900
2014-09-18,1.630000,1.640000,1.620000,1.620000,1.620000,6500
2014-09-19,1.600000,1.600000,1.600000,1.600000,1.600000,3200
2014-09-22,1.720000,1.720000,1.500000,1.500000,1.500000,3800
2014-09-23,1.500000,1.690000,1.500000,1.500000,1.500000,2000
2014-09-24,1.500000,1.500000,1.330000,1.500000,1.500000,1500
2014-09-25,1.750000,1.750000,1.350000,1.400000,1.400000,8500
2014-09-26,1.200000,1.250000,1.140000,1.150000,1.150000,7400
2014-09-29,1.140000,1.380000,1.080000,1.150000,1.150000,4700
