Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,0.949000,0.954000,0.836000,0.920000,0.920000,144600
2021-01-11,0.881000,0.881000,0.849000,0.849000,0.849000,29200
2021-01-12,0.893000,0.893000,0.820000,0.830000,0.830000,65600
2021-01-13,0.977000,0.977000,0.846000,0.950000,0.950000,224000
2021-01-14,0.955000,0.955000,0.950000,0.955000,0.955000,19100
2021-01-15,0.955000,0.971000,0.924000,0.926000,0.926000,25900
2021-01-19,0.948000,0.948000,0.893000,0.921000,0.921000,200300
2021-01-20,0.951000,0.963000,0.941000,0.963000,0.963000,99700
2021-01-21,0.940000,0.940000,0.905000,0.924000,0.924000,8000
2021-01-22,0.970000,0.970000,0.924000,0.960000,0.960000,41900
2021-01-25,0.970000,0.970000,0.902000,0.930000,0.930000,15500
2021-01-26,0.950000,0.950000,0.919000,0.927000,0.927000,71300
2021-01-27,0.926000,0.926000,0.863000,0.863000,0.863000,21800
2021-01-28,0.920000,0.920000,0.894000,0.902000,0.902000,23700
2021-01-29,0.904000,0.920000,0.850000,0.850000,0.850000,78100
2021-02-01,0.950000,0.950000,0.950000,0.950000,0.950000,3400
2021-02-02,0.950000,0.950000,0.916000,0.934000,0.934000,25100
2021-02-03,0.942000,0.942000,0.900000,0.906000,0.906000,107000
2021-02-04,0.911000,0.920000,0.887000,0.887000,0.887000,73200
2021-02-05,0.915000,0.917000,0.905000,0.906000,0.906000,101000
2021-02-08,0.906000,0.939000,0.890000,0.907000,0.907000,59900
2021-02-09,0.917000,0.921000,0.915000,0.915000,0.915000,5000
2021-02-10,0.926000,0.926000,0.903000,0.903000,0.903000,11100
2021-02-11,0.930000,0.930000,0.864000,0.864000,0.864000,73800
2021-02-12,0.844000,0.860000,0.720000,0.793000,0.793000,73800
2021-02-16,0.790000,0.792000,0.699000,0.699000,0.699000,5800
2021-02-17,0.710000,0.710000,0.670000,0.681000,0.681000,4000
2021-02-18,0.750000,0.750000,0.730000,0.743000,0.743000,24400
2021-02-19,0.721000,0.721000,0.721000,0.721000,0.721000,10100
2021-02-22,0.719000,0.744000,0.708000,0.744000,0.744000,12200
2021-02-23,0.772000,0.783000,0.734000,0.748000,0.748000,3600
2021-02-24,0.717000,0.717000,0.700000,0.701000,0.701000,1900
2021-02-25,0.725000,0.725000,0.689000,0.689000,0.689000,2500
2021-02-26,0.670000,0.673000,0.663000,0.667000,0.667000,13800
2021-03-01,0.658000,0.658000,0.636000,0.636000,0.636000,1100
2021-03-02,0.637000,0.654000,0.617000,0.617000,0.617000,25000
2021-03-03,0.598000,0.598000,0.577000,0.577000,0.577000,600
2021-03-04,0.581000,0.671000,0.581000,0.670000,0.670000,4700
2021-03-05,0.628000,0.640000,0.600000,0.600000,0.600000,11100
