Date,Open,High,Low,Close,Adj Close,Volume
2009-12-29,7.450000,7.450000,7.360000,7.360000,3.270484,48100
2009-12-30,7.320000,7.380000,7.270000,7.330000,3.257154,64100
2009-12-31,7.240000,7.430000,7.240000,7.350000,3.266041,36700
2010-01-04,7.600000,7.650000,7.550000,7.630000,3.390462,30800
2010-01-05,7.620000,7.700000,7.600000,7.650000,3.399349,37900
2010-01-06,7.600000,7.670000,7.600000,7.650000,3.399349,33800
2010-01-07,7.460000,7.500000,7.390000,7.450000,3.310477,93500
2010-01-08,7.450000,7.490000,7.380000,7.470000,3.319364,67100
2010-01-11,7.540000,7.600000,7.500000,7.600000,3.377131,50400
2010-01-12,7.510000,7.590000,7.500000,7.570000,3.363800,148200
2010-01-13,7.550000,7.630000,7.460000,7.620000,3.386018,48900
2010-01-14,7.620000,7.700000,7.600000,7.700000,3.421566,18000
2010-01-15,7.500000,7.500000,7.400000,7.470000,3.319364,54000
2010-01-19,7.420000,7.530000,7.420000,7.530000,3.346026,47000
2010-01-20,7.450000,7.470000,7.340000,7.430000,3.301589,73600
2010-01-21,7.430000,7.430000,7.280000,7.380000,3.279372,33200
2010-01-22,7.390000,7.430000,7.300000,7.370000,3.274928,83400
2010-01-25,7.440000,7.480000,7.380000,7.450000,3.310477,44100
2010-01-26,7.340000,7.440000,7.300000,7.340000,3.261597,50200
2010-01-27,7.300000,7.410000,7.300000,7.410000,3.292702,55100
2010-01-28,7.400000,7.410000,7.200000,7.380000,3.279372,117600
2010-01-29,7.300000,7.410000,7.300000,7.360000,3.270484,151200
2010-02-01,7.350000,7.430000,7.350000,7.400000,3.288259,29800
2010-02-02,7.110000,7.280000,7.110000,7.230000,3.212718,33500
2010-02-03,7.150000,7.170000,7.100000,7.170000,3.186055,119900
2010-02-04,7.030000,7.070000,6.920000,6.980000,3.101628,97200
2010-02-05,6.950000,7.000000,6.850000,6.950000,3.088297,102100
2010-02-08,6.950000,6.970000,6.890000,6.930000,3.079410,31400
2010-02-09,6.960000,7.100000,6.950000,7.030000,3.123846,41600
2010-02-10,6.960000,7.060000,6.900000,6.990000,3.106071,50300
2010-02-11,6.920000,7.040000,6.920000,7.010000,3.114959,42700
2010-02-12,6.940000,7.050000,6.940000,7.020000,3.119402,43300
2010-02-16,7.040000,7.250000,7.040000,7.200000,3.199387,20300
2010-02-17,7.100000,7.190000,7.100000,7.180000,3.190500,51800
2010-02-18,7.060000,7.200000,7.060000,7.150000,3.177169,36100
2010-02-19,7.050000,7.170000,7.050000,7.150000,3.177169,20500
2010-02-22,7.120000,7.190000,7.100000,7.170000,3.186055,34900
2010-02-23,7.130000,7.130000,7.020000,7.100000,3.154951,43800
2010-02-24,7.100000,7.200000,7.100000,7.180000,3.190500,29600
2010-02-25,7.170000,7.340000,7.150000,7.300000,3.243823,41000
2010-02-26,7.340000,7.560000,7.340000,7.560000,3.359356,35900
2010-03-01,7.360000,7.550000,7.360000,7.500000,3.332695,41800
2010-03-02,7.460000,7.520000,7.380000,7.480000,3.323807,91000
2010-03-03,7.580000,7.680000,7.580000,7.660000,3.403792,40600
2010-03-04,7.600000,7.640000,7.550000,7.620000,3.386018,28600
2010-03-05,7.570000,7.750000,7.570000,7.740000,3.439341,150300
