Date,Open,High,Low,Close,Adj Close,Volume
2021-01-05,1.980000,1.990000,1.980000,1.990000,1.990000,800
2021-01-06,1.750000,1.750000,1.750000,1.750000,1.750000,600
2021-01-07,1.700000,1.990000,1.700000,1.700000,1.700000,900
2021-01-08,2.390000,2.390000,1.750000,1.750000,1.750000,5900
2021-01-11,1.870000,1.870000,1.750000,1.750000,1.750000,300
2021-01-12,1.995000,1.995000,1.990000,1.990000,1.990000,600
2021-01-13,1.990000,1.990000,1.990000,1.990000,1.990000,0
2021-01-14,2.000000,3.470000,2.000000,3.000000,3.000000,22700
2021-01-15,2.500000,2.500000,1.510000,1.750000,1.750000,7600
2021-01-19,1.750000,1.940000,1.750000,1.940000,1.940000,1100
2021-01-20,1.950000,2.990000,1.950000,2.400000,2.400000,4000
2021-01-21,2.575000,2.750000,2.250000,2.750000,2.750000,900
2021-01-22,1.750000,2.250000,1.750000,2.250000,2.250000,1000
2021-01-25,2.700000,2.700000,2.700000,2.700000,2.700000,200
2021-01-26,2.700000,2.700000,2.700000,2.700000,2.700000,0
2021-01-27,1.760000,1.850000,1.650000,1.850000,1.850000,2100
2021-01-28,2.500000,2.500000,2.500000,2.500000,2.500000,100
2021-01-29,1.850000,2.000000,1.830000,2.000000,2.000000,1300
2021-02-01,2.000000,2.000000,2.000000,2.000000,2.000000,0
2021-02-02,2.000000,2.000000,2.000000,2.000000,2.000000,0
2021-02-03,2.000000,2.000000,2.000000,2.000000,2.000000,0
2021-02-04,2.000000,2.000000,2.000000,2.000000,2.000000,0
2021-02-05,2.000000,2.250000,2.000000,2.000000,2.000000,1400
2021-02-08,2.000000,2.000000,2.000000,2.000000,2.000000,0
2021-02-09,1.980000,2.750000,1.980000,2.000000,2.000000,1500
2021-02-10,2.000000,2.000000,2.000000,2.000000,2.000000,3300
2021-02-11,2.510000,2.510000,1.020000,2.000000,2.000000,16600
2021-02-12,2.100000,2.310000,2.100000,2.300000,2.300000,6400
2021-02-16,2.300000,2.300000,2.300000,2.300000,2.300000,0
2021-02-17,2.350000,2.460000,2.350000,2.460000,2.460000,2100
2021-02-18,2.460000,2.460000,2.460000,2.460000,2.460000,0
2021-02-19,2.400000,3.000000,2.400000,2.400000,2.400000,900
2021-02-22,2.070000,2.300000,2.070000,2.200000,2.200000,700
2021-02-23,2.070000,2.070000,1.750000,1.910000,1.910000,2000
2021-02-24,2.050000,2.050000,1.770000,2.050000,2.050000,1400
2021-02-25,2.050000,2.050000,2.050000,2.050000,2.050000,0
2021-02-26,2.070000,3.150000,2.070000,2.900000,2.900000,7400
2021-03-01,2.810000,2.810000,2.700000,2.700000,2.700000,3200
2021-03-02,2.700000,2.700000,2.700000,2.700000,2.700000,0
2021-03-03,2.700000,2.700000,2.700000,2.700000,2.700000,0
2021-03-04,2.080000,2.080000,2.080000,2.080000,2.080000,100
2021-03-05,1.850000,2.020000,1.850000,2.020000,2.020000,1100
