Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,0.550000,0.600000,0.548000,0.600000,0.600000,11300
2021-01-11,0.581000,0.581000,0.537000,0.537000,0.537000,2500
2021-01-12,0.590000,0.648000,0.590000,0.631000,0.631000,49600
2021-01-13,0.632000,0.660000,0.631000,0.660000,0.660000,4400
2021-01-14,0.666000,0.676000,0.660000,0.667000,0.667000,32500
2021-01-15,0.741000,0.743000,0.726000,0.726000,0.726000,6800
2021-01-19,0.700000,0.704000,0.631000,0.680000,0.680000,65700
2021-01-20,0.727000,0.727000,0.651000,0.702000,0.702000,10200
2021-01-21,0.710000,0.710000,0.630000,0.710000,0.710000,500
2021-01-22,0.681000,0.725000,0.650000,0.725000,0.725000,8400
2021-01-25,0.700000,0.700000,0.650000,0.686000,0.686000,15400
2021-01-26,0.666000,0.675000,0.650000,0.650000,0.650000,7400
2021-01-27,0.653000,0.656000,0.600000,0.653000,0.653000,2100
2021-01-28,0.580000,0.651000,0.580000,0.630000,0.630000,18900
2021-01-29,0.686000,0.700000,0.615000,0.700000,0.700000,400
2021-02-01,0.530000,0.700000,0.530000,0.700000,0.700000,5500
2021-02-02,0.673000,0.700000,0.650000,0.677000,0.677000,1800
2021-02-03,0.700000,0.705000,0.580000,0.690000,0.690000,18300
2021-02-04,0.700000,0.700000,0.700000,0.700000,0.700000,3500
2021-02-05,0.980000,0.980000,0.720000,0.820000,0.820000,23100
2021-02-08,0.790000,0.980000,0.790000,0.979000,0.979000,33800
2021-02-09,0.976000,0.980000,0.590000,0.980000,0.980000,2200
2021-02-10,0.950000,1.050000,0.950000,1.010000,1.010000,9900
2021-02-11,1.041000,1.100000,1.010000,1.037000,1.037000,12300
2021-02-12,1.000000,1.137000,1.000000,1.100000,1.100000,23000
2021-02-16,1.090000,1.150000,0.700000,1.099000,1.099000,26600
2021-02-17,1.150000,1.150000,1.051000,1.080000,1.080000,38800
2021-02-18,1.100000,1.100000,1.070000,1.089000,1.089000,1300
2021-02-19,1.090000,1.170000,0.950000,1.150000,1.150000,15900
2021-02-22,1.150000,1.330000,1.099000,1.318000,1.318000,18300
2021-02-23,1.250000,1.420000,1.250000,1.392000,1.392000,20500
2021-02-24,1.390000,1.600000,1.390000,1.570000,1.570000,34000
2021-02-25,1.500000,1.533000,1.400000,1.438000,1.438000,54400
2021-02-26,1.433000,1.433000,1.010000,1.333000,1.333000,57100
2021-03-01,1.345000,1.370000,1.301000,1.344000,1.344000,13200
2021-03-02,1.294000,1.340000,1.294000,1.310000,1.310000,8100
2021-03-03,1.323000,1.380000,1.323000,1.380000,1.380000,11500
2021-03-04,1.250000,1.400000,1.250000,1.369000,1.369000,13500
2021-03-05,1.416000,1.472000,1.416000,1.472000,1.472000,11300
