Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,0.230000,0.242000,0.169000,0.230000,0.230000,131000
2021-01-11,0.227000,0.227000,0.215000,0.221000,0.221000,22700
2021-01-12,0.229000,0.232000,0.229000,0.229000,0.229000,46100
2021-01-13,0.229000,0.253000,0.229000,0.246000,0.246000,11600
2021-01-14,0.259000,0.262000,0.256000,0.262000,0.262000,25600
2021-01-15,0.258000,0.263000,0.247000,0.247000,0.247000,63300
2021-01-19,0.324000,0.346000,0.308000,0.308000,0.308000,51000
2021-01-20,0.324000,0.324000,0.294000,0.298000,0.298000,25900
2021-01-21,0.300000,0.302000,0.264000,0.264000,0.264000,43400
2021-01-22,0.291000,0.300000,0.268000,0.268000,0.268000,62500
2021-01-25,0.278000,0.278000,0.262000,0.272000,0.272000,59300
2021-01-26,0.295000,0.295000,0.276000,0.280000,0.280000,52700
2021-01-27,0.273000,0.290000,0.252000,0.252000,0.252000,89700
2021-01-28,0.245000,0.266000,0.245000,0.255000,0.255000,64300
2021-01-29,0.257000,0.260000,0.250000,0.253000,0.253000,54300
2021-02-01,0.249000,0.262000,0.249000,0.262000,0.262000,266000
2021-02-02,0.265000,0.265000,0.263000,0.263000,0.263000,4700
2021-02-03,0.267000,0.267000,0.253000,0.260000,0.260000,75200
2021-02-04,0.260000,0.260000,0.260000,0.260000,0.260000,0
2021-02-05,0.273000,0.273000,0.253000,0.267000,0.267000,171900
2021-02-08,0.261000,0.270000,0.261000,0.268000,0.268000,10500
2021-02-09,0.267000,0.267000,0.250000,0.250000,0.250000,11500
2021-02-10,0.253000,0.261000,0.243000,0.260000,0.260000,62000
2021-02-11,0.264000,0.273000,0.264000,0.270000,0.270000,51500
2021-02-12,0.269000,0.276000,0.269000,0.276000,0.276000,50200
2021-02-16,0.280000,0.306000,0.274000,0.289000,0.289000,23500
2021-02-17,0.281000,0.298000,0.279000,0.298000,0.298000,7300
2021-02-18,0.298000,0.300000,0.293000,0.295000,0.295000,10900
2021-02-19,0.304000,0.304000,0.297000,0.297000,0.297000,22800
2021-02-22,0.296000,0.296000,0.273000,0.289000,0.289000,39800
2021-02-23,0.278000,0.290000,0.270000,0.286000,0.286000,103000
2021-02-24,0.295000,0.308000,0.291000,0.308000,0.308000,27600
2021-02-25,0.299000,0.300000,0.284000,0.297000,0.297000,36900
2021-02-26,0.293000,0.293000,0.286000,0.290000,0.290000,9000
2021-03-01,0.295000,0.350000,0.295000,0.349000,0.349000,195900
2021-03-02,0.348000,0.376000,0.347000,0.373000,0.373000,27500
2021-03-03,0.364000,0.364000,0.339000,0.340000,0.340000,34100
2021-03-04,0.312000,0.353000,0.312000,0.330000,0.330000,73800
2021-03-05,0.345000,0.345000,0.300000,0.324000,0.324000,12700
