Date,Open,High,Low,Close,Adj Close,Volume
2020-12-15,0.710000,0.800000,0.700000,0.764000,0.764000,478500
2020-12-16,0.800000,0.800000,0.743000,0.760000,0.760000,333000
2020-12-17,0.782000,0.782000,0.740000,0.775000,0.775000,495600
2020-12-18,0.721000,0.800000,0.721000,0.742000,0.742000,336400
2020-12-21,0.760000,0.760000,0.660000,0.710000,0.710000,462000
2020-12-22,0.698000,0.699000,0.625000,0.650000,0.650000,631700
2020-12-23,0.659000,0.700000,0.627000,0.700000,0.700000,289800
2020-12-24,0.740000,0.740000,0.699000,0.719000,0.719000,168100
2020-12-28,0.725000,0.730000,0.673000,0.716000,0.716000,219800
2020-12-29,0.671000,0.713000,0.660000,0.700000,0.700000,300400
2020-12-30,0.695000,0.695000,0.650000,0.670000,0.670000,349700
2020-12-31,0.652000,0.720000,0.650000,0.698000,0.698000,182500
2021-01-04,0.648000,0.700000,0.640000,0.661000,0.661000,253900
2021-01-05,0.706000,0.706000,0.648000,0.660000,0.660000,124900
2021-01-06,0.694000,0.720000,0.668000,0.709000,0.709000,344100
2021-01-07,0.714000,0.772000,0.705000,0.735000,0.735000,417000
2021-01-08,0.700000,0.768000,0.700000,0.718000,0.718000,272200
2021-01-11,0.741000,0.752000,0.715000,0.730000,0.730000,196800
2021-01-12,0.790000,1.250000,0.750000,1.148000,1.148000,4111500
2021-01-13,1.180000,1.190000,1.030000,1.050000,1.050000,1412600
2021-01-14,1.020000,1.030000,0.852000,0.987000,0.987000,1472400
2021-01-15,0.950000,0.990000,0.899000,0.940000,0.940000,523300
2021-01-19,0.900000,0.943000,0.880000,0.943000,0.943000,551900
2021-01-20,0.930000,1.060000,0.930000,1.050000,1.050000,564600
2021-01-21,1.000000,1.140000,1.000000,1.075000,1.075000,428500
2021-01-22,1.080000,1.200000,1.010000,1.177000,1.177000,1000900
2021-01-25,1.185000,1.360000,1.175000,1.275000,1.275000,1317100
2021-01-26,1.257000,1.420000,1.257000,1.410000,1.410000,1120800
2021-01-27,1.420000,1.430000,1.250000,1.320000,1.320000,971100
2021-01-28,1.340000,1.550000,1.320000,1.500000,1.500000,1510000
2021-01-29,1.570000,1.960000,1.440000,1.790000,1.790000,2516900
2021-02-01,1.750000,1.910000,1.330000,1.480000,1.480000,2429100
2021-02-02,1.480000,1.559000,1.170000,1.220000,1.220000,2203700
2021-02-03,1.260000,1.382000,1.170000,1.340000,1.340000,892200
2021-02-04,1.340000,1.500000,1.320000,1.350000,1.350000,735200
2021-02-05,1.490000,1.490000,1.360000,1.410000,1.410000,341300
2021-02-08,1.428000,1.490000,1.415000,1.440000,1.440000,542800
2021-02-09,1.450000,1.580000,1.420000,1.530000,1.530000,862600
2021-02-10,1.570000,1.740000,1.535000,1.700000,1.700000,1340900
2021-02-11,1.733000,1.750000,1.488000,1.510000,1.510000,1113300
2021-02-12,1.590000,1.590000,1.320000,1.480000,1.480000,791500
2021-02-16,1.500000,1.560000,1.480000,1.520000,1.520000,385200
2021-02-17,1.500000,1.550000,1.370000,1.409000,1.409000,519300
2021-02-18,1.410000,1.420000,1.280000,1.320000,1.320000,803600
2021-02-19,1.330000,1.357000,1.270000,1.320000,1.320000,297400
2021-02-22,1.320000,1.500000,1.315000,1.380000,1.380000,367000
2021-02-23,1.470000,1.470000,1.260000,1.370000,1.370000,382800
2021-02-24,1.390000,1.415000,1.320000,1.380000,1.380000,200100
2021-02-25,1.400000,1.520000,1.380000,1.430000,1.430000,667500
2021-02-26,1.480000,1.480000,1.310000,1.350000,1.350000,416000
2021-03-01,1.370000,1.420000,1.320000,1.340000,1.340000,336900
2021-03-02,1.250000,1.370000,1.250000,1.320000,1.320000,188800
2021-03-03,1.320000,1.350000,1.250000,1.280000,1.280000,333400
2021-03-04,1.370000,1.370000,1.060000,1.180000,1.180000,769400
2021-03-05,1.172000,1.180000,0.950000,1.100000,1.100000,1110000
