Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,0.768000,0.810000,0.520000,0.750000,0.750000,536600
2016-03-02,0.738000,0.750000,0.660000,0.750000,0.750000,89000
2016-03-03,0.700000,0.950000,0.700000,0.950000,0.950000,165500
2016-03-04,0.950000,1.170000,0.860000,0.900000,0.900000,327500
2016-03-07,0.980000,1.070000,0.861000,0.940000,0.940000,264100
2016-03-08,0.960000,0.960000,0.820000,0.850000,0.850000,189700
2016-03-09,0.880000,0.900000,0.810000,0.815000,0.815000,67500
2016-03-10,0.830000,0.830000,0.645000,0.700000,0.700000,133600
2016-03-11,0.700000,0.758000,0.660000,0.670000,0.670000,81500
2016-03-14,0.651000,0.670000,0.640000,0.640000,0.640000,62100
2016-03-15,0.700000,0.700000,0.573000,0.600000,0.600000,59200
2016-03-16,0.520000,0.620000,0.457000,0.500000,0.500000,161200
2016-03-17,0.500000,0.500000,0.370000,0.440000,0.440000,188700
2016-03-18,0.370000,0.440000,0.370000,0.440000,0.440000,30500
2016-03-21,0.426000,0.428000,0.380000,0.385000,0.385000,34900
2016-03-22,0.390000,0.410000,0.300000,0.310000,0.310000,60500
2016-03-23,0.300000,0.320000,0.260000,0.270000,0.270000,43200
2016-03-24,0.270000,0.378000,0.270000,0.360000,0.360000,27300
2016-03-28,0.360000,0.360000,0.300000,0.360000,0.360000,22700
2016-03-29,0.400000,0.499000,0.300000,0.450000,0.450000,17900
2016-03-30,0.450000,0.450000,0.400000,0.400000,0.400000,16900
2016-03-31,0.400000,0.490000,0.400000,0.490000,0.490000,24300
2016-04-01,0.490000,0.490000,0.330000,0.367000,0.367000,27700
2016-04-04,0.440000,0.440000,0.280000,0.387000,0.387000,8900
2016-04-05,0.310000,0.410000,0.310000,0.400000,0.400000,3000
2016-04-06,0.400000,0.400000,0.280000,0.350000,0.350000,22500
2016-04-07,0.350000,0.400000,0.280000,0.280000,0.280000,5900
2016-04-08,0.280000,0.350000,0.280000,0.340000,0.340000,3500
2016-04-11,0.300000,0.340000,0.300000,0.300000,0.300000,21300
2016-04-12,0.340000,0.340000,0.280000,0.280000,0.280000,5800
2016-04-13,0.280000,0.400000,0.280000,0.316000,0.316000,9900
2016-04-14,0.300000,0.300000,0.300000,0.300000,0.300000,1300
2016-04-15,0.400000,0.400000,0.310000,0.310000,0.310000,1500
2016-04-18,0.350000,0.350000,0.350000,0.350000,0.350000,800
2016-04-19,0.338000,0.340000,0.335000,0.340000,0.340000,6500
2016-04-20,0.290000,0.310000,0.290000,0.310000,0.310000,22700
2016-04-21,0.330000,0.330000,0.310000,0.310000,0.310000,800
2016-04-22,0.320000,0.365000,0.320000,0.365000,0.365000,10800
2016-04-25,0.360000,0.365000,0.310000,0.310000,0.310000,33000
2016-04-26,0.310000,0.320000,0.270000,0.320000,0.320000,34400
2016-04-27,0.282000,0.320000,0.282000,0.320000,0.320000,9900
2016-04-28,0.282000,0.301000,0.282000,0.301000,0.301000,3300
2016-04-29,0.280000,0.300000,0.280000,0.280000,0.280000,18300
2016-05-02,0.280000,0.290000,0.250000,0.290000,0.290000,10800
2016-05-03,0.300000,0.300000,0.300000,0.300000,0.300000,3000
2016-05-04,0.260000,0.280000,0.230000,0.230000,0.230000,13700
2016-05-05,0.230000,0.250000,0.230000,0.230000,0.230000,49600
2016-05-06,0.230000,0.230000,0.215000,0.230000,0.230000,8100
2016-05-09,0.240000,0.255000,0.240000,0.255000,0.255000,6200
2016-05-10,0.190000,0.245000,0.190000,0.240000,0.240000,6000
2016-05-11,0.215000,0.225000,0.200000,0.200000,0.200000,18300
2016-05-12,0.240000,0.240000,0.160000,0.198000,0.198000,18200
2016-05-13,0.190000,0.190000,0.151000,0.151000,0.151000,19800
2016-05-16,0.151000,0.180000,0.095000,0.110000,0.110000,88400
2016-05-17,0.110000,0.110000,0.110000,0.110000,0.110000,5000
2016-05-18,0.119000,0.119000,0.119000,0.119000,0.119000,200
2016-05-19,0.119000,0.119000,0.095000,0.100000,0.100000,58300
2016-05-20,0.098000,0.100000,0.090000,0.100000,0.100000,27200
2016-05-23,0.100000,0.100000,0.100000,0.100000,0.100000,0
2016-05-24,0.100000,0.100000,0.090000,0.100000,0.100000,25400
2016-05-25,0.123000,0.130000,0.123000,0.128000,0.128000,30100
2016-05-26,0.130000,0.130000,0.112000,0.112000,0.112000,11500
2016-05-27,0.112000,0.112000,0.112000,0.112000,0.112000,0
2016-05-31,0.110000,0.110000,0.110000,0.110000,0.110000,1500
2016-06-01,0.110000,0.110000,0.110000,0.110000,0.110000,100
2016-06-02,0.112000,0.112000,0.112000,0.112000,0.112000,9000
2016-06-03,0.112000,0.112000,0.112000,0.112000,0.112000,0
2016-06-06,0.140000,0.140000,0.140000,0.140000,0.140000,500
2016-06-07,0.125000,0.125000,0.125000,0.125000,0.125000,200
2016-06-08,0.110000,0.125000,0.100000,0.100000,0.100000,15200
2016-06-09,0.120000,0.120000,0.120000,0.120000,0.120000,1000
2016-06-10,0.120000,0.120000,0.120000,0.120000,0.120000,0
2016-06-13,0.100000,0.125000,0.100000,0.100000,0.100000,3400
2016-06-14,0.100000,0.100000,0.100000,0.100000,0.100000,5800
2016-06-15,0.100000,0.100000,0.100000,0.100000,0.100000,600
2016-06-16,0.080000,0.080000,0.070000,0.070000,0.070000,2000
2016-06-17,0.085000,0.085000,0.070000,0.070000,0.070000,20600
2016-06-20,0.070000,0.070000,0.070000,0.070000,0.070000,0
2016-06-21,0.098000,0.098000,0.070000,0.070000,0.070000,1100
2016-06-22,0.103000,0.125000,0.100000,0.110000,0.110000,38800
2016-06-23,0.110000,0.120000,0.108000,0.108000,0.108000,18000
2016-06-24,0.120000,0.125000,0.120000,0.125000,0.125000,12000
