Date,Open,High,Low,Close,Adj Close,Volume
2018-03-27,1.100000,1.100000,1.100000,1.100000,1.100000,0
2018-03-28,1.100000,1.100000,1.100000,1.100000,1.100000,0
2018-03-29,1.100000,1.100000,1.100000,1.100000,1.100000,0
2018-04-02,1.060000,1.060000,1.060000,1.060000,1.060000,500
2018-04-03,1.060000,1.060000,1.060000,1.060000,1.060000,0
2018-04-04,1.057000,1.057000,1.052000,1.052000,1.052000,200
2018-04-05,1.052000,1.052000,1.052000,1.052000,1.052000,0
2018-04-06,1.071000,1.071000,1.063000,1.063000,1.063000,2100
2018-04-09,1.063000,1.063000,1.063000,1.063000,1.063000,0
2018-04-10,1.063000,1.063000,1.063000,1.063000,1.063000,0
2018-04-11,1.064000,1.064000,1.064000,1.064000,1.064000,200
2018-04-12,1.064000,1.064000,1.064000,1.064000,1.064000,0
2018-04-13,1.064000,1.064000,1.064000,1.064000,1.064000,0
2018-04-16,0.993000,0.993000,0.960000,0.960000,0.960000,40600
2018-04-17,0.960000,0.960000,0.960000,0.960000,0.960000,0
2018-04-18,0.968000,0.968000,0.907000,0.908000,0.908000,37000
2018-04-19,0.908000,0.908000,0.908000,0.908000,0.908000,0
2018-04-20,1.080000,1.080000,1.030000,1.035000,1.035000,1100
2018-04-23,1.035000,1.035000,1.035000,1.035000,1.035000,0
2018-04-24,1.035000,1.035000,1.035000,1.035000,1.035000,0
2018-04-25,1.035000,1.035000,1.035000,1.035000,1.035000,0
2018-04-26,1.035000,1.035000,1.035000,1.035000,1.035000,0
2018-04-27,1.035000,1.035000,1.035000,1.035000,1.035000,0
2018-04-30,0.961000,0.961000,0.961000,0.961000,0.961000,1000
2018-05-01,0.903000,0.903000,0.903000,0.903000,0.903000,1000
2018-05-02,0.903000,0.903000,0.903000,0.903000,0.903000,0
2018-05-03,0.872000,0.872000,0.872000,0.872000,0.872000,300
2018-05-04,0.872000,0.872000,0.872000,0.872000,0.872000,0
2018-05-07,0.872000,0.872000,0.872000,0.872000,0.872000,0
2018-05-08,0.872000,0.872000,0.872000,0.872000,0.872000,0
2018-05-09,0.872000,0.872000,0.872000,0.872000,0.872000,0
2018-05-10,0.877000,0.877000,0.847000,0.847000,0.847000,3400
2018-05-11,0.847000,0.847000,0.847000,0.847000,0.847000,0
2018-05-14,0.847000,0.847000,0.847000,0.847000,0.847000,0
2018-05-15,1.037000,1.037000,1.037000,1.037000,1.037000,200
2018-05-16,0.966000,0.978000,0.966000,0.978000,0.978000,1000
2018-05-17,0.991000,0.991000,0.991000,0.991000,0.991000,500
2018-05-18,0.991000,0.991000,0.991000,0.991000,0.991000,0
2018-05-21,0.991000,0.991000,0.991000,0.991000,0.991000,0
2018-05-22,0.991000,0.991000,0.991000,0.991000,0.991000,0
2018-05-23,0.850000,0.850000,0.811000,0.811000,0.811000,7600
2018-05-24,0.840000,0.840000,0.809000,0.820000,0.820000,8100
2018-05-25,0.848000,0.848000,0.812000,0.839000,0.839000,2100
2018-05-29,0.839000,0.839000,0.839000,0.839000,0.839000,0
2018-05-30,0.839000,0.839000,0.839000,0.839000,0.839000,0
2018-05-31,0.839000,0.839000,0.839000,0.839000,0.839000,0
2018-06-01,0.839000,0.839000,0.839000,0.839000,0.839000,0
2018-06-04,0.907000,0.907000,0.854000,0.854000,0.854000,2300
2018-06-05,0.854000,0.854000,0.854000,0.854000,0.854000,0
2018-06-06,0.810000,0.810000,0.793000,0.793000,0.793000,1500
2018-06-07,0.807000,0.807000,0.807000,0.807000,0.807000,200
2018-06-08,0.800000,0.817000,0.800000,0.809000,0.809000,3800
2018-06-11,0.841000,0.841000,0.841000,0.841000,0.841000,400
2018-06-12,0.811000,0.811000,0.781000,0.781000,0.781000,3500
2018-06-13,0.791000,0.791000,0.791000,0.791000,0.791000,300
2018-06-14,0.775000,0.807000,0.775000,0.807000,0.807000,1500
2018-06-15,0.800000,0.802000,0.800000,0.802000,0.802000,1200
2018-06-18,0.778000,0.786000,0.778000,0.786000,0.786000,1600
2018-06-19,0.721000,0.721000,0.710000,0.710000,0.710000,1700
2018-06-20,0.705000,0.710000,0.705000,0.710000,0.710000,5700
2018-06-21,0.615000,0.615000,0.615000,0.615000,0.615000,3000
2018-06-22,0.760000,0.816000,0.760000,0.800000,0.800000,2800
2018-06-25,0.770000,0.770000,0.749000,0.749000,0.749000,700
2018-06-26,0.749000,0.749000,0.749000,0.749000,0.749000,0
2018-06-27,0.749000,0.749000,0.749000,0.749000,0.749000,0
2018-06-28,0.749000,0.749000,0.749000,0.749000,0.749000,0
2018-06-29,0.614000,0.614000,0.555000,0.582000,0.582000,2000
2018-07-02,0.582000,0.582000,0.582000,0.582000,0.582000,0
2018-07-03,0.537000,0.537000,0.537000,0.537000,0.537000,2000
2018-07-05,0.537000,0.537000,0.537000,0.537000,0.537000,0
