Date,Open,High,Low,Close,Adj Close,Volume
2000-01-10,3.300000,3.300000,3.000000,3.300000,3.300000,56900
2000-01-11,6.000000,7.750000,3.500000,6.000000,6.000000,291100
2000-01-12,6.000000,6.500000,4.937000,6.000000,6.000000,22900
2000-01-13,5.250000,6.000000,5.000000,5.250000,5.250000,28000
2000-01-14,5.125000,6.000000,4.625000,5.125000,5.125000,17800
2000-01-18,5.000000,6.000000,5.000000,5.000000,5.000000,42500
2000-01-19,3.000000,5.000000,3.000000,3.000000,3.000000,76900
2000-01-20,4.980000,6.000000,4.980000,4.980000,4.980000,67400
2000-01-21,5.000000,6.000000,4.000000,5.000000,5.000000,32700
2000-01-24,5.000000,5.500000,5.000000,5.000000,5.000000,41100
2000-01-25,5.000000,5.000000,4.750000,5.000000,5.000000,6800
2000-01-26,5.500000,5.500000,5.500000,5.500000,5.500000,2000
2000-01-27,4.437000,5.250000,4.000000,4.437000,4.437000,14800
2000-01-28,4.000000,5.000000,2.750000,4.000000,4.000000,72700
2000-01-31,4.500000,5.500000,3.750000,4.500000,4.500000,4200
2000-02-01,4.000000,4.500000,4.000000,4.000000,4.000000,11700
2000-02-02,3.750000,3.750000,3.000000,3.750000,3.750000,5000
2000-02-03,4.000000,5.000000,4.000000,4.000000,4.000000,31500
2000-02-04,3.875000,4.000000,3.250000,3.875000,3.875000,522700
2000-02-07,4.000000,5.000000,3.500000,4.000000,4.000000,424800
2000-02-08,4.187000,4.500000,4.000000,4.187000,4.187000,146300
2000-02-09,4.125000,4.250000,4.000000,4.125000,4.125000,67400
2000-02-10,3.812000,4.312000,3.812000,3.812000,3.812000,77900
2000-02-11,4.375000,4.625000,4.250000,4.375000,4.375000,73200
2000-02-14,4.625000,4.687000,4.000000,4.625000,4.625000,108200
2000-02-15,4.500000,4.750000,4.000000,4.500000,4.500000,69700
2000-02-16,6.000000,7.750000,4.625000,6.000000,6.000000,334900
2000-02-17,5.937000,6.500000,5.250000,5.937000,5.937000,158800
2000-02-18,6.000000,6.125000,5.687000,6.000000,6.000000,191800
2000-02-22,5.500000,6.125000,5.375000,5.500000,5.500000,150700
2000-02-23,5.500000,5.875000,5.437000,5.500000,5.500000,87200
2000-02-24,5.500000,5.500000,5.500000,5.500000,5.500000,0
2000-02-25,5.375000,5.870000,5.000000,5.375000,5.375000,109400
2000-02-28,5.218000,5.875000,5.000000,5.218000,5.218000,41600
2000-02-29,6.000000,6.000000,5.312000,6.000000,6.000000,33500
2000-03-01,5.875000,6.000000,5.625000,5.875000,5.875000,73500
2000-03-02,6.480000,6.750000,5.875000,6.480000,6.480000,222400
2000-03-03,8.562000,9.750000,6.625000,8.562000,8.562000,555800
2000-03-06,8.562000,8.562000,8.562000,8.562000,8.562000,0
2000-03-07,7.625000,9.125000,7.625000,7.625000,7.625000,277300
2000-03-08,8.000000,8.500000,7.750000,8.000000,8.000000,189200
2000-03-09,8.125000,8.500000,7.750000,8.125000,8.125000,144800
2000-03-10,7.937000,8.250000,7.437000,7.937000,7.937000,119700
2000-03-13,8.000000,8.062000,7.812000,8.000000,8.000000,124200
2000-03-14,7.500000,8.500000,7.375000,7.500000,7.500000,143300
2000-03-15,6.687000,7.250000,6.000000,6.687000,6.687000,142200
2000-03-16,6.625000,7.500000,5.251000,6.625000,6.625000,144500
2000-03-17,6.250000,7.000000,5.500000,6.250000,6.250000,57900
2000-03-20,5.875000,6.250000,5.625000,5.875000,5.875000,131300
2000-03-21,6.000000,6.375000,5.500000,6.000000,6.000000,126300
2000-03-22,5.375000,6.062000,5.250000,5.375000,5.375000,85100
2000-03-23,6.000000,6.500000,5.312000,6.000000,6.000000,88500
2000-03-24,6.000000,6.250000,5.125000,6.000000,6.000000,124500
2000-03-27,6.000000,6.625000,5.740000,6.000000,6.000000,119000
2000-03-28,5.750000,6.125000,5.375000,5.750000,5.750000,66000
2000-03-29,5.750000,6.250000,5.562000,5.750000,5.750000,183700
2000-03-30,5.250000,5.937000,5.062000,5.250000,5.250000,126000
2000-03-31,5.625000,5.750000,5.250000,5.625000,5.625000,121800
2000-04-03,5.062000,5.750000,4.937000,5.062000,5.062000,142900
2000-04-04,4.812000,5.125000,4.375000,4.812000,4.812000,81600
2000-04-05,5.000000,5.250000,4.510000,5.000000,5.000000,77000
2000-04-06,4.875000,5.187000,4.750000,4.875000,4.875000,112600
2000-04-07,5.500000,5.500000,4.875000,5.500000,5.500000,60800
2000-04-10,5.437000,5.875000,5.000000,5.437000,5.437000,51600
2000-04-11,5.500000,5.625000,5.010000,5.500000,5.500000,70300
2000-04-12,5.000000,5.375000,4.625000,5.000000,5.000000,80200
2000-04-13,4.500000,5.062000,4.375000,4.500000,4.500000,31500
2000-04-14,3.937000,4.500000,3.500000,3.937000,3.937000,122900
2000-04-17,3.875000,4.000000,3.375000,3.875000,3.875000,128000
2000-04-18,4.625000,4.625000,3.625000,4.625000,4.625000,47400
2000-04-19,4.375000,4.750000,4.250000,4.375000,4.375000,61600
2000-04-20,4.500000,4.625000,4.375000,4.500000,4.500000,74800
2000-04-24,4.031000,4.437000,3.937000,4.031000,4.031000,22200
2000-04-25,4.375000,4.375000,4.000000,4.375000,4.375000,41300
2000-04-26,4.000000,4.562000,4.000000,4.000000,4.000000,40800
2000-04-27,4.062000,4.062000,3.875000,4.062000,4.062000,22800
2000-04-28,4.062000,4.062000,4.062000,4.062000,4.062000,0
2000-05-01,4.062000,4.062000,3.875000,4.062000,4.062000,24900
2000-05-02,3.937000,4.062000,3.937000,3.937000,3.937000,12600
2000-05-03,3.875000,4.125000,3.875000,3.875000,3.875000,41800
2000-05-04,4.375000,4.375000,4.000000,4.375000,4.375000,29500
2000-05-05,4.062000,4.468000,4.062000,4.062000,4.062000,66500
2000-05-08,4.000000,4.125000,3.906000,4.000000,4.000000,24100
2000-05-09,3.687000,3.937000,3.500000,3.687000,3.687000,23900
2000-05-10,3.687000,3.750000,3.625000,3.687000,3.687000,32100
2000-05-11,3.750000,3.875000,3.531000,3.750000,3.750000,46100
2000-05-12,3.875000,4.000000,3.625000,3.875000,3.875000,63300
2000-05-15,3.625000,3.875000,3.500000,3.625000,3.625000,19300
2000-05-16,3.510000,3.875000,3.500000,3.510000,3.510000,27500
2000-05-17,3.812000,3.937000,3.500000,3.812000,3.812000,39300
2000-05-18,4.031000,4.031000,3.687000,4.031000,4.031000,59300
2000-05-19,3.812000,3.937000,3.375000,3.812000,3.812000,62900
2000-05-22,3.250000,3.625000,3.250000,3.250000,3.250000,31000
2000-05-23,3.062000,3.375000,3.000000,3.062000,3.062000,57200
2000-05-24,3.812000,3.812000,2.875000,3.812000,3.812000,138700
2000-05-25,3.562000,4.031000,3.437000,3.562000,3.562000,196900
2000-05-26,3.250000,3.500000,3.250000,3.250000,3.250000,14200
2000-05-30,3.500000,3.562000,3.375000,3.500000,3.500000,31900
2000-05-31,3.187000,3.531000,3.187000,3.187000,3.187000,25600
2000-06-01,3.437000,3.562000,3.312000,3.437000,3.437000,22600
2000-06-02,3.656000,3.718000,3.500000,3.656000,3.656000,44800
2000-06-05,3.625000,3.875000,3.500000,3.625000,3.625000,19800
2000-06-06,3.562000,3.687000,3.468000,3.562000,3.562000,58700
2000-06-07,3.375000,3.562000,3.375000,3.375000,3.375000,49600
2000-06-08,3.343000,3.468000,3.312000,3.343000,3.343000,31000
2000-06-09,3.250000,3.437000,3.250000,3.250000,3.250000,34300
2000-06-12,3.312000,3.312000,3.218000,3.312000,3.312000,13500
2000-06-13,3.312000,3.312000,3.187000,3.312000,3.312000,15900
2000-06-14,3.156000,3.250000,3.031000,3.156000,3.156000,21300
2000-06-15,3.250000,3.375000,3.218000,3.250000,3.250000,60900
2000-06-16,3.093000,3.281000,3.000000,3.093000,3.093000,52300
2000-06-19,3.281000,3.406000,3.000000,3.281000,3.281000,69400
2000-06-20,3.250000,3.312000,3.187000,3.250000,3.250000,110100
2000-06-21,3.250000,3.312000,3.250000,3.250000,3.250000,57100
2000-06-22,3.906000,3.968000,3.250000,3.906000,3.906000,47600
2000-06-23,3.562000,4.062000,3.531000,3.562000,3.562000,95200
2000-06-26,3.125000,3.562000,3.125000,3.125000,3.125000,23400
2000-06-27,3.000000,3.187000,3.000000,3.000000,3.000000,52800
2000-06-28,3.125000,3.156000,3.000000,3.125000,3.125000,27300
2000-06-29,3.250000,3.250000,2.937000,3.250000,3.250000,36800
2000-06-30,3.062000,3.250000,3.010000,3.062000,3.062000,16300
2000-07-03,2.968000,2.968000,2.968000,2.968000,2.968000,100
2000-07-05,3.000000,3.125000,2.968000,3.000000,3.000000,55900
2000-07-06,3.000000,3.093000,3.000000,3.000000,3.000000,16900
2000-07-07,3.062000,3.093000,3.000000,3.062000,3.062000,22600
2000-07-10,3.562000,3.687000,3.062000,3.562000,3.562000,132100
2000-07-11,3.687000,3.937000,3.500000,3.687000,3.687000,103900
2000-07-12,3.750000,3.812000,3.656000,3.750000,3.750000,104900
2000-07-13,3.750000,3.812000,3.562000,3.750000,3.750000,72700
2000-07-14,3.718000,3.812000,3.625000,3.718000,3.718000,92300
2000-07-17,4.000000,4.000000,3.687000,4.000000,4.000000,117600
2000-07-18,5.000000,5.010000,4.031000,5.000000,5.000000,267200
2000-07-19,4.500000,5.370000,4.437000,4.500000,4.500000,334200
2000-07-20,4.750000,4.750000,4.490000,4.750000,4.750000,151800
2000-07-21,4.437000,4.750000,4.437000,4.437000,4.437000,59500
2000-07-24,4.625000,4.687000,4.000000,4.625000,4.625000,48700
2000-07-25,4.375000,4.625000,4.312000,4.375000,4.375000,16100
2000-07-26,4.500000,4.500000,4.250000,4.500000,4.500000,6500
2000-07-27,4.250000,4.500000,4.240000,4.250000,4.250000,15500
2000-07-28,3.750000,4.312000,3.625000,3.750000,3.750000,35600
2000-07-31,4.062000,4.187000,3.750000,4.062000,4.062000,7300
2000-08-01,4.062000,4.062000,4.062000,4.062000,4.062000,1000
2000-08-02,4.000000,4.125000,4.000000,4.000000,4.000000,22300
2000-08-03,3.510000,3.875000,3.510000,3.510000,3.510000,17200
2000-08-04,3.750000,3.875000,3.510000,3.750000,3.750000,19400
2000-08-07,3.380000,3.750000,3.380000,3.380000,3.380000,19300
2000-08-08,3.375000,3.875000,3.370000,3.375000,3.375000,39800
2000-08-09,3.500000,3.500000,3.250000,3.500000,3.500000,18200
2000-08-10,3.375000,3.500000,3.375000,3.375000,3.375000,22500
2000-08-11,3.375000,3.500000,3.375000,3.375000,3.375000,19300
2000-08-14,3.250000,3.375000,3.250000,3.250000,3.250000,41100
2000-08-15,3.406000,3.406000,3.125000,3.406000,3.406000,14700
