Date,Open,High,Low,Close,Adj Close,Volume
2012-12-03,0.108000,0.109000,0.101000,0.104000,0.104000,1575000
2012-12-04,0.106000,0.115000,0.099000,0.111000,0.111000,2051000
2012-12-05,0.111000,0.113000,0.100000,0.106000,0.106000,2377000
2012-12-06,0.103000,0.105000,0.095000,0.103000,0.103000,1319000
2012-12-07,0.103000,0.109000,0.100000,0.102000,0.102000,862000
2012-12-10,0.102000,0.103000,0.082000,0.083000,0.083000,1597000
2012-12-11,0.080000,0.080000,0.045000,0.066500,0.066500,3294000
2012-12-12,0.074000,0.092000,0.060000,0.090000,0.090000,893000
2012-12-13,0.090000,0.090000,0.080000,0.090000,0.090000,229000
2012-12-14,0.081000,0.085000,0.064000,0.069000,0.069000,636000
2012-12-17,0.069000,0.069000,0.055000,0.062000,0.062000,170000
2012-12-18,0.060000,0.067000,0.060000,0.062000,0.062000,129000
2012-12-19,0.062000,0.062000,0.060000,0.062000,0.062000,218000
2012-12-20,0.063000,0.064000,0.057000,0.058000,0.058000,343000
2012-12-21,0.055000,0.058500,0.055000,0.058000,0.058000,204000
2012-12-24,0.058000,0.058500,0.049500,0.050000,0.050000,292000
2012-12-26,0.050000,0.058000,0.050000,0.058000,0.058000,117000
2012-12-27,0.060000,0.065000,0.054000,0.054000,0.054000,144000
2012-12-28,0.054000,0.065000,0.054000,0.056000,0.056000,101000
2012-12-31,0.054000,0.054000,0.050000,0.050000,0.050000,170000
2013-01-02,0.055000,0.058000,0.054000,0.055000,0.055000,501000
2013-01-03,0.050000,0.053000,0.046000,0.052000,0.052000,119000
2013-01-04,0.052000,0.052000,0.047500,0.048500,0.048500,104000
2013-01-07,0.044000,0.051000,0.044000,0.045000,0.045000,85000
2013-01-08,0.043000,0.043000,0.043000,0.043000,0.043000,48000
2013-01-09,0.051000,0.051000,0.045000,0.046000,0.046000,139000
2013-01-10,0.046000,0.048000,0.045000,0.045000,0.045000,122000
2013-01-11,0.040000,0.048000,0.040000,0.041000,0.041000,33000
2013-01-14,0.041000,0.041000,0.031000,0.038000,0.038000,141000
2013-01-15,0.038000,0.038000,0.031000,0.031000,0.031000,126000
2013-01-16,0.036000,0.036000,0.031100,0.031100,0.031100,39000
2013-01-17,0.031100,0.031100,0.031100,0.031100,0.031100,27000
2013-01-18,0.031000,0.032000,0.031000,0.032000,0.032000,30000
2013-01-22,0.032000,0.034500,0.025000,0.034500,0.034500,120000
2013-01-23,0.034500,0.037000,0.029500,0.037000,0.037000,73000
2013-01-24,0.031000,0.043100,0.031000,0.035100,0.035100,74000
2013-01-25,0.032400,0.033000,0.032400,0.033000,0.033000,24000
2013-01-28,0.034000,0.048000,0.034000,0.048000,0.048000,200000
2013-01-29,0.047000,0.048000,0.047000,0.048000,0.048000,182000
2013-01-30,0.050000,0.050000,0.042000,0.042200,0.042200,15000
2013-01-31,0.043500,0.050000,0.043500,0.050000,0.050000,84000
2013-02-01,0.047500,0.047500,0.043600,0.043600,0.043600,120000
2013-02-04,0.043600,0.043600,0.040100,0.040100,0.040100,21000
2013-02-05,0.040300,0.040300,0.040000,0.040000,0.040000,66000
2013-02-06,0.048700,0.048700,0.026800,0.045000,0.045000,23000
2013-02-07,0.045000,0.045000,0.045000,0.045000,0.045000,5000
2013-02-08,0.042000,0.042000,0.042000,0.042000,0.042000,5000
2013-02-11,0.042000,0.042000,0.042000,0.042000,0.042000,0
2013-02-12,0.027200,0.030000,0.027200,0.030000,0.030000,7000
2013-02-13,0.042000,0.042000,0.027300,0.027500,0.027500,40000
2013-02-14,0.027500,0.027700,0.027500,0.027700,0.027700,9000
2013-02-15,0.027700,0.029000,0.027700,0.028100,0.028100,20000
2013-02-19,0.028100,0.028200,0.028100,0.028200,0.028200,7000
2013-02-20,0.028300,0.028300,0.028300,0.028300,0.028300,30000
2013-02-21,0.028300,0.038000,0.028300,0.038000,0.038000,21000
2013-02-22,0.038000,0.038000,0.028300,0.028300,0.028300,62000
2013-02-25,0.030000,0.030000,0.028600,0.028600,0.028600,33000
2013-02-26,0.028600,0.028600,0.028600,0.028600,0.028600,0
2013-02-27,0.028600,0.028600,0.027000,0.027000,0.027000,40000
2013-02-28,0.028000,0.028000,0.021000,0.026500,0.026500,35000
2013-03-01,0.023000,0.024000,0.023000,0.024000,0.024000,34000
2013-03-04,0.028000,0.028000,0.023000,0.023000,0.023000,58000
2013-03-05,0.023000,0.028000,0.023000,0.028000,0.028000,30000
2013-03-06,0.023000,0.023000,0.023000,0.023000,0.023000,10000
2013-03-07,0.023000,0.026000,0.023000,0.024000,0.024000,50000
2013-03-08,0.024000,0.024000,0.023000,0.023000,0.023000,30000
2013-03-11,0.024000,0.024000,0.024000,0.024000,0.024000,27000
2013-03-12,0.020000,0.023000,0.020000,0.020000,0.020000,54000
2013-03-13,0.020000,0.020000,0.020000,0.020000,0.020000,12000
2013-03-14,0.020000,0.020000,0.020000,0.020000,0.020000,17000
2013-03-15,0.020000,0.020000,0.020000,0.020000,0.020000,0
2013-03-18,0.020000,0.020000,0.020000,0.020000,0.020000,3000
2013-03-19,0.020500,0.020500,0.020500,0.020500,0.020500,2000
2013-03-20,0.020500,0.020500,0.020500,0.020500,0.020500,0
2013-03-21,0.024000,0.024000,0.013000,0.019000,0.019000,4323000
2013-03-22,0.019000,0.020000,0.015000,0.015000,0.015000,76000
2013-03-25,0.017000,0.017000,0.017000,0.017000,0.017000,25000
2013-03-26,0.020000,0.023000,0.020000,0.023000,0.023000,71000
2013-03-27,0.018000,0.018000,0.012000,0.012400,0.012400,4139000
