Date,Open,High,Low,Close,Adj Close,Volume
1998-12-02,0.625000,0.625000,0.531250,0.531250,0.531250,18000
1998-12-03,0.500000,0.531250,0.500000,0.531250,0.531250,7200
1998-12-04,0.500000,0.500000,0.437500,0.500000,0.500000,21300
1998-12-07,0.500000,0.500000,0.437500,0.500000,0.500000,17500
1998-12-08,0.500000,0.500000,0.468750,0.468750,0.468750,14500
1998-12-09,0.500000,0.500000,0.500000,0.500000,0.500000,200
1998-12-10,0.437500,0.500000,0.437500,0.468750,0.468750,57800
1998-12-11,0.437500,0.468750,0.375000,0.437500,0.437500,18500
1998-12-14,0.437500,0.437500,0.375000,0.406250,0.406250,39800
1998-12-15,0.375000,0.406250,0.375000,0.375000,0.375000,6300
1998-12-16,0.375000,0.500000,0.375000,0.375000,0.375000,39900
1998-12-17,0.437500,0.500000,0.375000,0.375000,0.375000,26000
1998-12-18,0.406250,0.468750,0.390625,0.468750,0.468750,8600
1998-12-21,0.375000,0.468750,0.375000,0.406250,0.406250,5400
1998-12-22,0.406250,0.406250,0.406250,0.406250,0.406250,3700
1998-12-23,0.406250,0.406250,0.375000,0.406250,0.406250,18500
1998-12-24,0.406250,0.406250,0.375000,0.375000,0.375000,22100
1998-12-28,0.406250,0.437500,0.406250,0.406250,0.406250,34800
1998-12-29,0.406250,0.437500,0.375000,0.437500,0.437500,32600
1998-12-30,0.375000,0.375000,0.375000,0.375000,0.375000,14300
1998-12-31,0.375000,0.406250,0.375000,0.406250,0.406250,79100
1999-01-04,0.375000,0.375000,0.281250,0.343750,0.343750,18800
1999-01-05,0.406250,0.531250,0.375000,0.500000,0.500000,58300
1999-01-06,0.468750,0.500000,0.468750,0.500000,0.500000,15200
1999-01-07,0.437500,0.437500,0.312500,0.406250,0.406250,14100
1999-01-08,0.406250,0.437500,0.406250,0.437500,0.437500,2100
1999-01-11,0.437500,0.468750,0.312500,0.406250,0.406250,25400
1999-01-12,0.468750,0.500000,0.468750,0.500000,0.500000,25400
1999-01-13,0.437500,0.500000,0.437500,0.500000,0.500000,17200
1999-01-14,0.500000,0.625000,0.500000,0.625000,0.625000,107200
1999-01-15,0.625000,0.875000,0.625000,0.843750,0.843750,151300
