Date,Open,High,Low,Close,Adj Close,Volume
2008-07-22,6.726415,6.726415,6.726415,6.726415,6.726415,5
2008-07-23,6.698113,6.745283,6.698113,6.745283,6.745283,3111
2008-07-24,6.745283,6.745283,6.679245,6.679245,6.679245,131
2008-07-25,6.679245,6.707547,6.679245,6.707547,6.707547,74
2008-07-28,6.698113,6.707547,6.688679,6.688679,6.688679,87
2008-07-29,6.679245,6.716981,6.650943,6.716981,6.716981,841
2008-07-30,6.679245,6.679245,6.679245,6.679245,6.679245,212
2008-07-31,6.679245,6.679245,6.679245,6.679245,6.679245,10
2008-08-01,6.679245,6.707547,6.679245,6.707547,6.707547,127
2008-08-04,6.707547,6.707547,6.707547,6.707547,6.707547,0
2008-08-05,6.707547,6.707547,6.707547,6.707547,6.707547,0
2008-08-06,6.716981,6.716981,6.698113,6.698113,6.698113,74
2008-08-07,6.716981,6.716981,6.716981,6.716981,6.716981,9
2008-08-08,6.716981,6.716981,6.707547,6.716981,6.716981,201
2008-08-11,6.726415,6.745283,6.726415,6.745283,6.745283,106
2008-08-12,6.745283,6.745283,6.745283,6.745283,6.745283,0
2008-08-13,6.735849,6.745283,6.735849,6.745283,6.745283,185
2008-08-14,6.745283,6.745283,6.745283,6.745283,6.745283,0
2008-08-15,6.745283,6.745283,6.745283,6.745283,6.745283,0
2008-08-18,6.745283,6.745283,6.745283,6.745283,6.745283,0
2008-08-19,6.745283,6.745283,6.745283,6.745283,6.745283,53
2008-08-20,6.745283,6.745283,6.745283,6.745283,6.745283,0
2008-08-21,6.745283,6.745283,6.745283,6.745283,6.745283,0
2008-08-22,6.764150,6.783018,6.764150,6.783018,6.783018,111
2008-08-25,6.801886,6.858490,6.801886,6.858490,6.858490,588
2008-08-26,6.858490,6.858490,6.858490,6.858490,6.858490,0
2008-08-27,6.858490,6.858490,6.858490,6.858490,6.858490,0
2008-08-28,6.858490,6.858490,6.858490,6.858490,6.858490,10
2008-08-29,6.905660,6.905660,6.905660,6.905660,6.905660,5
2008-09-02,6.905660,6.981132,6.905660,6.981132,6.981132,201
2008-09-03,7.028301,7.028301,6.952830,6.952830,6.952830,271
2008-09-04,6.952830,6.952830,6.952830,6.952830,6.952830,0
2008-09-05,6.952830,6.952830,6.952830,6.952830,6.952830,0
2008-09-08,6.952830,6.952830,6.952830,6.952830,6.952830,0
2008-09-09,7.066037,7.066037,7.066037,7.066037,7.066037,7
2008-09-10,6.952830,6.952830,6.952830,6.952830,6.952830,5
2008-09-11,6.933962,6.933962,6.754716,6.754716,6.754716,174
2008-09-12,6.754716,6.754716,6.754716,6.754716,6.754716,0
2008-09-15,6.773584,6.773584,6.773584,6.773584,6.773584,19
2008-09-16,6.754716,6.754716,6.754716,6.754716,6.754716,10
2008-09-17,6.754716,6.754716,6.754716,6.754716,6.754716,0
2008-09-18,6.745283,6.745283,6.745283,6.745283,6.745283,135
2008-09-19,6.745283,6.745283,6.745283,6.745283,6.745283,0
2008-09-22,6.698113,6.745283,6.698113,6.745283,6.745283,21
2008-09-23,6.698113,6.698113,6.698113,6.698113,6.698113,10
2008-09-24,6.650943,6.688679,6.650943,6.650943,6.650943,15
2008-09-25,6.622641,6.622641,6.603773,6.603773,6.603773,15
2008-09-26,6.603773,6.603773,6.603773,6.603773,6.603773,0
2008-09-29,6.556603,6.556603,6.556603,6.556603,6.556603,5
2008-09-30,6.556603,6.556603,6.556603,6.556603,6.556603,0
2008-10-01,6.509433,6.509433,6.509433,6.509433,6.509433,21
2008-10-02,6.509433,6.509433,6.509433,6.509433,6.509433,0
2008-10-03,6.509433,6.509433,6.509433,6.509433,6.509433,557
2008-10-06,6.415094,6.415094,6.037735,6.037735,6.037735,49
2008-10-07,6.037735,6.037735,6.037735,6.037735,6.037735,0
2008-10-08,6.084905,6.084905,6.084905,6.084905,6.084905,5
2008-10-09,6.084905,6.084905,6.084905,6.084905,6.084905,0
2008-10-10,5.990566,6.084905,5.896226,5.896226,5.896226,137
2008-10-13,5.896226,5.896226,5.877358,5.877358,5.877358,1751
2008-10-14,6.037735,6.037735,5.896226,5.896226,5.896226,315
2008-10-15,5.896226,5.896226,5.896226,5.896226,5.896226,0
2008-10-16,5.896226,5.896226,5.896226,5.896226,5.896226,0
2008-10-17,5.990566,5.990566,5.990566,5.990566,5.990566,31
2008-10-20,5.990566,5.990566,5.990566,5.990566,5.990566,0
2008-10-21,5.990566,5.990566,5.990566,5.990566,5.990566,0
2008-10-22,5.990566,5.990566,5.990566,5.990566,5.990566,0
2008-10-23,5.990566,5.990566,5.990566,5.990566,5.990566,0
2008-10-24,5.990566,5.990566,5.990566,5.990566,5.990566,0
2008-10-27,5.990566,5.990566,5.990566,5.990566,5.990566,1060
2008-10-28,6.179245,6.179245,6.037735,6.037735,6.037735,43
2008-10-29,6.037735,6.037735,6.037735,6.037735,6.037735,0
2008-10-30,6.084905,6.084905,6.084905,6.084905,6.084905,95
2008-10-31,6.103773,6.103773,6.103773,6.103773,6.103773,1
2008-11-03,6.179245,6.179245,6.179245,6.179245,6.179245,1
2008-11-04,6.179245,6.179245,6.179245,6.179245,6.179245,0
2008-11-05,6.179245,6.179245,6.179245,6.179245,6.179245,10
2008-11-06,6.179245,6.179245,6.179245,6.179245,6.179245,0
2008-11-07,6.179245,6.179245,6.179245,6.179245,6.179245,0
2008-11-10,6.179245,6.179245,6.179245,6.179245,6.179245,0
2008-11-11,6.179245,6.179245,6.132075,6.132075,6.132075,6
2008-11-12,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-11-13,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-11-14,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-11-17,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-11-18,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-11-19,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-11-20,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-11-21,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-11-24,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-11-25,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-11-26,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-11-28,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-12-01,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-12-02,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-12-03,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-12-04,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-12-05,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-12-08,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-12-09,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-12-10,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-12-11,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-12-12,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-12-15,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-12-16,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-12-17,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-12-18,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-12-19,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-12-22,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-12-23,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-12-24,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-12-26,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-12-29,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-12-30,6.132075,6.132075,6.132075,6.132075,6.132075,0
2008-12-31,6.132075,6.132075,6.132075,6.132075,6.132075,0
2009-01-02,6.132075,6.132075,6.132075,6.132075,6.132075,0
2009-01-05,6.132075,6.132075,6.132075,6.132075,6.132075,0
2009-01-06,6.132075,6.132075,6.132075,6.132075,6.132075,0
2009-01-07,6.132075,6.132075,6.132075,6.132075,6.132075,0
2009-01-08,6.132075,6.132075,6.132075,6.132075,6.132075,0
2009-01-09,6.132075,6.132075,6.132075,6.132075,6.132075,0
2009-01-12,6.132075,6.132075,6.132075,6.132075,6.132075,0
2009-01-13,6.132075,6.132075,6.132075,6.132075,6.132075,0
2009-01-14,6.132075,6.132075,6.132075,6.132075,6.132075,0
2009-01-15,6.132075,6.132075,6.132075,6.132075,6.132075,0
2009-01-16,6.132075,6.132075,6.132075,6.132075,6.132075,0
2009-01-20,6.132075,6.132075,6.132075,6.132075,6.132075,0
2009-01-21,6.132075,6.132075,6.132075,6.132075,6.132075,0
2009-01-22,6.132075,6.132075,6.132075,6.132075,6.132075,0
2009-01-23,6.132075,6.132075,6.132075,6.132075,6.132075,0
2009-01-26,6.132075,6.132075,6.132075,6.132075,6.132075,0
2009-01-27,6.132075,6.132075,6.132075,6.132075,6.132075,0
