Date,Open,High,Low,Close,Adj Close,Volume
1998-12-02,0.180000,0.180000,0.180000,0.180000,0.180000,37000
1998-12-03,0.200000,0.200000,0.170000,0.200000,0.200000,8700
1998-12-04,0.160000,0.187000,0.140000,0.160000,0.160000,53500
1998-12-07,0.170000,0.180000,0.150000,0.170000,0.170000,59500
1998-12-08,0.180000,0.180000,0.170000,0.180000,0.180000,12400
1998-12-09,0.170000,0.170000,0.160000,0.170000,0.170000,27800
1998-12-10,0.160000,0.160000,0.130000,0.160000,0.160000,46000
1998-12-11,0.130000,0.130000,0.130000,0.130000,0.130000,3500
1998-12-14,0.130000,0.130000,0.130000,0.130000,0.130000,0
1998-12-15,0.170000,0.170000,0.170000,0.170000,0.170000,16000
1998-12-16,0.150000,0.150000,0.150000,0.150000,0.150000,25500
1998-12-17,0.160000,0.170000,0.150000,0.160000,0.160000,78000
1998-12-18,0.160000,0.160000,0.160000,0.160000,0.160000,0
1998-12-21,0.155000,0.160000,0.155000,0.155000,0.155000,14000
1998-12-22,0.140000,0.160000,0.140000,0.140000,0.140000,14500
1998-12-23,0.140000,0.140000,0.140000,0.140000,0.140000,500
1998-12-24,0.140000,0.140000,0.140000,0.140000,0.140000,1800
1998-12-28,0.140000,0.140000,0.140000,0.140000,0.140000,13000
1998-12-29,0.140000,0.140000,0.140000,0.140000,0.140000,10000
1998-12-30,0.170000,0.170000,0.130000,0.170000,0.170000,115000
1998-12-31,0.170000,0.170000,0.170000,0.170000,0.170000,0
1999-01-04,0.200000,0.200000,0.200000,0.200000,0.200000,50000
1999-01-05,0.140000,0.200000,0.140000,0.140000,0.140000,16200
1999-01-06,0.190000,0.190000,0.140000,0.190000,0.190000,9500
1999-01-07,0.190000,0.190000,0.190000,0.190000,0.190000,0
1999-01-08,0.190000,0.190000,0.190000,0.190000,0.190000,0
1999-01-11,0.180000,0.180000,0.180000,0.180000,0.180000,6000
1999-01-12,0.140000,0.140000,0.140000,0.140000,0.140000,3500
1999-01-13,0.140000,0.140000,0.140000,0.140000,0.140000,1600
1999-01-14,0.140000,0.140000,0.140000,0.140000,0.140000,0
1999-01-15,0.140000,0.140000,0.140000,0.140000,0.140000,0
1999-01-19,0.160000,0.180000,0.140000,0.160000,0.160000,122500
1999-01-20,0.140000,0.170000,0.140000,0.140000,0.140000,7500
1999-01-21,0.150000,0.180000,0.150000,0.150000,0.150000,75000
1999-01-22,0.150000,0.150000,0.150000,0.150000,0.150000,0
1999-01-25,0.150000,0.150000,0.150000,0.150000,0.150000,11500
1999-01-26,0.140000,0.150000,0.140000,0.140000,0.140000,17500
1999-01-27,0.170000,0.180000,0.170000,0.170000,0.170000,23500
1999-01-28,0.180000,0.180000,0.140000,0.180000,0.180000,16900
1999-01-29,0.180000,0.180000,0.140000,0.180000,0.180000,36000
1999-02-01,0.180000,0.180000,0.180000,0.180000,0.180000,0
1999-02-02,0.180000,0.180000,0.180000,0.180000,0.180000,0
1999-02-03,0.180000,0.180000,0.140000,0.180000,0.180000,35000
1999-02-04,0.180000,0.180000,0.180000,0.180000,0.180000,0
1999-02-05,0.150000,0.150000,0.150000,0.150000,0.150000,1000
1999-02-08,0.190000,0.220000,0.150000,0.190000,0.190000,73500
1999-02-09,0.190000,0.190000,0.190000,0.190000,0.190000,0
1999-02-10,0.180000,0.240000,0.180000,0.180000,0.180000,16300
1999-02-11,0.180000,0.180000,0.180000,0.180000,0.180000,0
1999-02-12,0.160000,0.180000,0.160000,0.160000,0.160000,15500
1999-02-16,0.170000,0.170000,0.170000,0.170000,0.170000,5000
1999-02-17,0.170000,0.170000,0.170000,0.170000,0.170000,7500
1999-02-18,0.150000,0.150000,0.150000,0.150000,0.150000,10000
1999-02-19,0.170000,0.170000,0.160000,0.170000,0.170000,33100
1999-02-22,0.170000,0.170000,0.170000,0.170000,0.170000,0
1999-02-23,0.170000,0.170000,0.170000,0.170000,0.170000,0
1999-02-24,0.187000,0.200000,0.187000,0.187000,0.187000,5500
1999-02-25,0.160000,0.160000,0.160000,0.160000,0.160000,400
1999-02-26,0.160000,0.160000,0.160000,0.160000,0.160000,0
1999-03-01,0.187000,0.200000,0.187000,0.187000,0.187000,20000
1999-03-02,0.200000,0.200000,0.150000,0.200000,0.200000,17000
1999-03-03,0.160000,0.200000,0.160000,0.160000,0.160000,6000
1999-03-04,0.160000,0.160000,0.160000,0.160000,0.160000,10000
1999-03-05,0.160000,0.160000,0.160000,0.160000,0.160000,0
1999-03-08,0.190000,0.190000,0.160000,0.190000,0.190000,2000
1999-03-09,0.190000,0.190000,0.190000,0.190000,0.190000,0
1999-03-10,0.190000,0.190000,0.190000,0.190000,0.190000,2500
