Date,Open,High,Low,Close,Adj Close,Volume
2020-09-11,0.215300,0.215300,0.215300,0.215300,0.215300,506
2020-09-14,0.220000,0.220000,0.213000,0.220000,0.220000,28112
2020-09-15,0.257700,0.299290,0.257700,0.299290,0.299290,89695
2020-09-16,0.298500,0.362300,0.220000,0.350000,0.350000,132487
2020-09-17,0.339020,0.345700,0.312010,0.315820,0.315820,52335
2020-09-18,0.315800,0.355800,0.290000,0.298220,0.298220,22688
2020-09-21,0.280000,0.303500,0.260000,0.292290,0.292290,22013
2020-09-22,0.286100,0.288400,0.259320,0.259320,0.259320,18282
2020-09-23,0.249720,0.250000,0.227100,0.227100,0.227100,31332
2020-09-24,0.225530,0.270000,0.225530,0.250000,0.250000,75415
2020-09-25,0.250000,0.250000,0.243340,0.250000,0.250000,33101
2020-09-28,0.231130,0.271600,0.230300,0.264430,0.264430,26160
2020-09-29,0.264490,0.289190,0.256400,0.256400,0.256400,27991
2020-09-30,0.268600,0.269000,0.238490,0.269000,0.269000,1496
2020-10-01,0.254450,0.259500,0.227900,0.253400,0.253400,67503
2020-10-02,0.247980,0.247980,0.227800,0.239300,0.239300,24453
2020-10-05,0.223300,0.231100,0.202100,0.202100,0.202100,45139
2020-10-06,0.207100,0.237430,0.207100,0.230000,0.230000,20083
2020-10-07,0.201380,0.206580,0.200000,0.202300,0.202300,49020
2020-10-08,0.203700,0.220000,0.191900,0.200240,0.200240,54619
2020-10-09,0.221000,0.236100,0.201300,0.221000,0.221000,18581
2020-10-12,0.250000,0.250000,0.250000,0.250000,0.250000,518
2020-10-13,0.250000,0.250000,0.211900,0.211900,0.211900,19627
2020-10-14,0.238500,0.238500,0.230000,0.230000,0.230000,31353
2020-10-15,0.222450,0.238000,0.222450,0.230000,0.230000,4263
2020-10-16,0.160000,2.000000,0.160000,0.241400,0.241400,1152
2020-10-19,0.238000,0.240000,0.235600,0.235700,0.235700,8046
2020-10-20,0.235700,0.235700,0.235700,0.235700,0.235700,0
2020-10-21,0.229800,0.229800,0.202200,0.220600,0.220600,19213
2020-10-22,0.215500,0.240000,0.196000,0.196000,0.196000,30520
2020-10-23,0.240250,0.240250,0.234800,0.234800,0.234800,2656
2020-10-26,0.219500,0.219500,0.219500,0.219500,0.219500,5000
2020-10-27,0.217500,0.219660,0.211350,0.211350,0.211350,12634
2020-10-28,0.215300,0.215300,0.195300,0.195300,0.195300,1958
2020-10-29,0.200000,0.200000,0.191500,0.195750,0.195750,10995
2020-10-30,0.206900,0.215000,0.200000,0.215000,0.215000,12365
2020-11-02,0.231740,0.231740,0.217700,0.219000,0.219000,10591
2020-11-03,0.203000,0.219850,0.203000,0.208110,0.208110,3194
2020-11-04,0.209000,0.209000,0.209000,0.209000,0.209000,1000
2020-11-05,0.208000,0.236570,0.208000,0.226300,0.226300,35418
2020-11-06,0.226100,0.226100,0.226100,0.226100,0.226100,1146
2020-11-09,0.219100,0.228800,0.200000,0.207800,0.207800,30669
2020-11-10,0.227800,0.232530,0.219900,0.219900,0.219900,20305
2020-11-11,0.220000,0.220000,0.220000,0.220000,0.220000,2500
2020-11-12,0.226930,0.226930,0.200000,0.200000,0.200000,13593
2020-11-13,0.210000,0.210000,0.200000,0.200300,0.200300,11000
2020-11-16,0.200000,0.210000,0.200000,0.200000,0.200000,10664
2020-11-17,0.201000,0.202300,0.195000,0.202300,0.202300,16620
2020-11-18,0.231250,0.250000,0.190700,0.216600,0.216600,94987
2020-11-19,0.230000,0.230000,0.210200,0.227650,0.227650,20551
2020-11-20,0.222110,0.222110,0.160000,0.215000,0.215000,28706
2020-11-23,0.205000,0.205000,0.190000,0.194900,0.194900,4297
2020-11-24,0.194900,0.194900,0.160000,0.160000,0.160000,13830
2020-11-25,0.250000,0.250000,0.160000,0.189350,0.189350,6317
2020-11-27,0.200000,0.209900,0.200000,0.200000,0.200000,6737
2020-11-30,0.210000,0.210000,0.192700,0.192700,0.192700,5186
2020-12-01,0.193030,0.216400,0.180000,0.195210,0.195210,162910
2020-12-02,0.203700,0.203700,0.180550,0.200000,0.200000,14113
2020-12-03,0.210000,0.210000,0.182700,0.182700,0.182700,16330
2020-12-04,0.183520,0.195000,0.183520,0.189900,0.189900,51140
2020-12-07,0.185000,0.197500,0.178700,0.178700,0.178700,13240
2020-12-08,0.190000,0.199900,0.175600,0.190000,0.190000,9173
