Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,0.690000,0.690000,0.620000,0.660000,0.660000,148000
2021-01-11,0.606000,0.640000,0.580000,0.610000,0.610000,56200
2021-01-12,0.614000,0.639000,0.590000,0.622000,0.622000,15500
2021-01-13,0.640000,0.673000,0.620000,0.653000,0.653000,54800
2021-01-14,0.641000,0.680000,0.641000,0.669000,0.669000,33800
2021-01-15,0.649000,0.649000,0.608000,0.631000,0.631000,66000
2021-01-19,0.648000,0.670000,0.620000,0.620000,0.620000,24800
2021-01-20,0.630000,0.630000,0.610000,0.621000,0.621000,46300
2021-01-21,0.622000,0.622000,0.589000,0.612000,0.612000,20300
2021-01-22,0.575000,0.636000,0.550000,0.611000,0.611000,88300
2021-01-25,0.593000,0.602000,0.545000,0.565000,0.565000,47700
2021-01-26,0.550000,0.550000,0.500000,0.520000,0.520000,42000
2021-01-27,0.497000,0.540000,0.490000,0.526000,0.526000,50300
2021-01-28,0.510000,0.537000,0.500000,0.500000,0.500000,12700
2021-01-29,0.528000,0.545000,0.504000,0.511000,0.511000,78400
2021-02-01,0.521000,0.527000,0.450000,0.520000,0.520000,69100
2021-02-02,0.517000,0.550000,0.510000,0.510000,0.510000,3500
2021-02-03,0.550000,0.550000,0.479000,0.506000,0.506000,22800
2021-02-04,0.480000,0.505000,0.439000,0.471000,0.471000,27600
2021-02-05,0.481000,0.550000,0.430000,0.550000,0.550000,56100
2021-02-08,0.550000,0.592000,0.520000,0.547000,0.547000,46200
2021-02-09,0.550000,0.580000,0.537000,0.580000,0.580000,27800
2021-02-10,0.580000,0.600000,0.579000,0.580000,0.580000,39500
2021-02-11,0.561000,0.600000,0.533000,0.545000,0.545000,50300
2021-02-12,0.550000,0.600000,0.530000,0.532000,0.532000,11300
2021-02-16,0.550000,0.550000,0.500000,0.530000,0.530000,103400
2021-02-17,0.518000,0.518000,0.484000,0.500000,0.500000,18900
2021-02-18,0.510000,0.510000,0.440000,0.475000,0.475000,10800
2021-02-19,0.475000,0.485000,0.470000,0.485000,0.485000,10300
2021-02-22,0.488000,0.520000,0.488000,0.520000,0.520000,20200
2021-02-23,0.496000,0.520000,0.460000,0.460000,0.460000,25200
2021-02-24,0.440000,0.500000,0.440000,0.500000,0.500000,5600
2021-02-25,0.520000,0.530000,0.401000,0.484000,0.484000,12600
2021-02-26,0.445000,0.480000,0.405000,0.470000,0.470000,44400
2021-03-01,0.500000,0.500000,0.462000,0.486000,0.486000,44200
2021-03-02,0.495000,0.503000,0.481000,0.503000,0.503000,30300
2021-03-03,0.500000,0.500000,0.410000,0.480000,0.480000,11800
2021-03-04,0.480000,0.480000,0.438000,0.438000,0.438000,22500
2021-03-05,0.429000,0.445000,0.401000,0.440000,0.440000,22200
