Date,Open,High,Low,Close,Adj Close,Volume
2008-06-24,5.200000,5.200000,5.200000,5.200000,5.200000,0
2008-06-25,5.200000,5.200000,5.200000,5.200000,5.200000,0
2008-06-26,5.200000,5.200000,5.200000,5.200000,5.200000,0
2008-06-27,5.200000,5.200000,5.200000,5.200000,5.200000,0
2008-06-30,5.200000,5.200000,5.200000,5.200000,5.200000,0
2008-07-01,5.200000,5.200000,5.200000,5.200000,5.200000,0
2008-07-02,5.200000,5.200000,5.200000,5.200000,5.200000,0
2008-07-03,5.200000,5.200000,5.200000,5.200000,5.200000,0
2008-07-07,5.200000,5.200000,5.200000,5.200000,5.200000,0
2008-07-08,5.200000,5.200000,5.200000,5.200000,5.200000,0
2008-07-09,5.200000,5.200000,5.200000,5.200000,5.200000,0
2008-07-10,4.500000,4.500000,4.500000,4.500000,4.500000,500
2008-07-11,4.500000,4.500000,4.500000,4.500000,4.500000,0
2008-07-14,4.500000,4.500000,4.500000,4.500000,4.500000,0
2008-07-15,4.000000,4.000000,4.000000,4.000000,4.000000,500
2008-07-16,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-07-17,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-07-18,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-07-21,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-07-22,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-07-23,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-07-24,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-07-25,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-07-28,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-07-29,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-07-30,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-07-31,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-08-01,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-08-04,2.750000,2.750000,2.250000,2.250000,2.250000,500
2008-08-05,3.990000,4.000000,3.990000,4.000000,4.000000,1000
2008-08-06,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-08-07,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-08-08,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-08-11,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-08-12,4.250000,4.250000,4.150000,4.250000,4.250000,1500
2008-08-13,4.000000,4.000000,4.000000,4.000000,4.000000,1000
2008-08-14,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-08-15,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-08-18,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-08-19,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-08-20,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-08-21,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-08-22,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-08-25,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-08-26,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-08-27,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-08-28,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-08-29,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-09-02,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-09-03,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-09-04,4.100000,4.250000,4.100000,4.250000,4.250000,2400
2008-09-05,4.100000,4.250000,3.750000,4.000000,4.000000,2600
2008-09-08,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-09-09,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-09-10,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-09-11,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-09-12,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-09-15,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-09-16,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-09-17,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-09-18,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-09-19,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-09-22,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-09-23,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-09-24,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-09-25,4.000000,4.000000,4.000000,4.000000,4.000000,0
2008-09-26,3.800000,4.000000,3.800000,4.000000,4.000000,2100
2008-09-29,3.800000,4.000000,3.800000,4.000000,4.000000,3800
