Date,Open,High,Low,Close,Adj Close,Volume
2019-05-06,6.436000,6.510000,6.429000,6.508000,6.508000,11100
2019-05-07,6.340000,6.494000,6.340000,6.494000,6.494000,1400
2019-05-08,6.497000,6.497000,6.495000,6.495000,6.495000,2000
2019-05-09,6.747000,6.791000,6.743000,6.743000,6.743000,2200
2019-05-10,6.714000,6.740000,6.714000,6.740000,6.740000,2000
2019-05-13,6.818000,6.818000,6.769000,6.769000,6.769000,1400
2019-05-14,6.837000,6.837000,6.598000,6.598000,6.598000,3500
2019-05-15,6.524000,6.588000,6.524000,6.588000,6.588000,900
2019-05-16,6.708000,6.708000,6.708000,6.708000,6.708000,400
2019-05-17,6.748000,6.800000,6.609000,6.610000,6.610000,4300
2019-05-20,6.610000,6.610000,6.610000,6.610000,6.610000,0
2019-05-21,6.649000,6.649000,6.627000,6.627000,6.627000,600
2019-05-22,6.624000,6.624000,6.586000,6.610000,6.610000,4200
2019-05-23,6.610000,6.610000,6.610000,6.610000,6.610000,100
2019-05-24,6.500000,6.550000,6.500000,6.550000,6.550000,3400
2019-05-28,6.433000,6.618000,6.416000,6.416000,6.416000,900
2019-05-29,6.410000,6.410000,6.410000,6.410000,6.410000,1300
2019-05-30,6.399000,6.400000,6.227000,6.227000,6.227000,700
2019-05-31,6.298000,6.298000,6.108000,6.108000,6.108000,500
2019-06-03,6.108000,6.108000,6.108000,6.108000,6.108000,100
2019-06-04,5.990000,5.990000,5.574000,5.574000,5.574000,1000
2019-06-05,5.582000,5.582000,5.250000,5.250000,5.250000,2000
2019-06-06,5.302000,5.302000,5.240000,5.240000,5.240000,200
2019-06-07,5.193000,5.193000,5.193000,5.193000,5.193000,100
2019-06-10,5.190000,5.414000,5.190000,5.324000,5.324000,12400
2019-06-11,5.260000,5.300000,5.260000,5.300000,5.300000,21400
2019-06-12,6.100000,6.100000,5.638000,5.900000,5.900000,15900
2019-06-13,5.880000,5.910000,5.520000,5.824000,5.824000,5400
2019-06-14,5.879000,5.879000,5.780000,5.780000,5.780000,6200
2019-06-17,5.963000,5.978000,5.750000,5.750000,5.750000,3800
2019-06-18,5.781000,5.781000,5.781000,5.781000,5.781000,100
2019-06-19,5.950000,5.950000,5.761000,5.780000,5.780000,7900
2019-06-20,5.850000,5.850000,5.850000,5.850000,5.850000,12200
2019-06-21,5.850000,5.909000,5.850000,5.900000,5.900000,20000
2019-06-24,6.047000,6.047000,5.850000,5.850000,5.850000,3200
2019-06-25,5.850000,5.860000,5.310000,5.750000,5.750000,75100
2019-06-26,5.703000,5.703000,5.240000,5.568000,5.568000,14300
2019-06-27,5.484000,5.600000,5.250000,5.264000,5.264000,3900
2019-06-28,5.278000,5.320000,5.230000,5.250000,5.250000,17600
2019-07-01,7.000000,7.000000,5.250000,6.600000,6.600000,11100
2019-07-02,5.303000,6.000000,5.093000,5.950000,5.950000,38400
2019-07-03,5.263000,5.270000,5.094000,5.094000,5.094000,2800
2019-07-05,5.150000,5.150000,4.910000,4.910000,4.910000,4900
2019-07-08,4.928000,4.930000,4.543000,4.543000,4.543000,7000
2019-07-09,4.660000,4.700000,4.457000,4.457000,4.457000,13300
2019-07-10,4.493000,4.550000,4.467000,4.490000,4.490000,15400
2019-07-11,4.482000,4.482000,3.788000,3.788000,3.788000,5100
2019-07-12,4.581000,4.581000,3.650000,3.750000,3.750000,72000
2019-07-15,3.841000,3.842000,3.600000,3.670000,3.670000,60800
2019-07-16,3.726000,4.323000,3.726000,4.170000,4.170000,7000
2019-07-17,4.636000,5.044000,4.636000,4.940000,4.940000,15100
2019-07-18,4.930000,4.935000,4.850000,4.900000,4.900000,2300
2019-07-19,4.940000,5.050000,4.790000,4.790000,4.790000,27200
2019-07-22,4.784000,4.980000,4.450000,4.450000,4.450000,26000
2019-07-23,4.496000,4.575000,4.202000,4.500000,4.500000,14000
2019-07-24,4.500000,4.500000,4.500000,4.500000,4.500000,0
2019-07-25,4.200000,4.789000,4.200000,4.495000,4.495000,4400
2019-07-26,4.500000,4.515000,4.500000,4.515000,4.515000,300
2019-07-29,4.510000,4.520000,4.170000,4.390000,4.390000,16700
2019-07-30,4.527000,4.550000,4.180000,4.550000,4.550000,1900
