Date,Open,High,Low,Close,Adj Close,Volume
2021-02-08,10.300000,10.500000,10.200000,10.200000,10.200000,1200
2021-02-09,10.200000,10.200000,10.200000,10.200000,10.200000,0
2021-02-10,10.500000,10.500000,10.200000,10.200000,10.200000,5068
2021-02-11,10.058000,10.058000,10.058000,10.058000,10.058000,500
2021-02-12,10.240000,11.000000,10.240000,10.390000,10.390000,24060
2021-02-16,10.360000,10.360000,10.260000,10.360000,10.360000,4725
2021-02-17,10.408000,10.410000,10.300000,10.300000,10.300000,9242
2021-02-18,10.300000,10.500000,10.300000,10.500000,10.500000,26458
2021-02-19,10.450000,12.000000,10.400000,10.510000,10.510000,37062
2021-02-22,13.500000,15.000000,11.080000,11.450000,11.450000,859200
2021-02-23,11.650000,12.087500,11.250000,11.512000,11.512000,876909
2021-02-24,11.645000,11.950000,11.548500,11.720000,11.720000,457578
2021-02-25,10.250000,12.181500,11.500000,11.700000,11.700000,614403
2021-02-26,11.700000,11.700000,11.000000,11.080000,11.080000,137407
2021-03-01,11.988500,11.988500,10.750000,10.952000,10.952000,193429
2021-03-02,11.493990,11.570000,10.998500,11.130000,11.130000,295691
2021-03-03,11.920000,11.920000,10.810000,10.949990,10.949990,84593
2021-03-04,11.095000,11.201500,10.350000,10.370000,10.370000,262426
2021-03-05,11.400000,11.400000,10.400000,10.600000,10.600000,168075
