Date,Open,High,Low,Close,Adj Close,Volume
2000-10-05,0.375000,0.875000,0.375000,0.750000,0.750000,61800
2000-10-06,0.750000,0.850000,0.550000,0.750000,0.750000,19500
2000-10-09,0.875000,0.875000,0.375000,0.375000,0.375000,3400
2000-10-10,0.875000,0.875000,0.625000,0.750000,0.750000,26300
2000-10-11,0.750000,0.750000,0.750000,0.750000,0.750000,0
2000-10-12,0.875000,0.875000,0.625000,0.750000,0.750000,48700
2000-10-13,0.750000,0.750000,0.500000,0.750000,0.750000,71000
2000-10-16,0.500000,0.760000,0.500000,0.563000,0.563000,31600
2000-10-17,0.550000,0.600000,0.450000,0.455000,0.455000,56700
2000-10-18,0.500000,0.500000,0.400000,0.400000,0.400000,12400
2000-10-19,0.375000,0.375000,0.375000,0.375000,0.375000,1000
2000-10-20,0.500000,0.550000,0.450000,0.450000,0.450000,49700
2000-10-23,0.550000,0.600000,0.500000,0.600000,0.600000,58600
2000-10-24,0.650000,0.650000,0.470000,0.560000,0.560000,23500
2000-10-25,0.550000,0.600000,0.450000,0.600000,0.600000,67000
2000-10-26,0.600000,0.600000,0.400000,0.500000,0.500000,21000
2000-10-27,0.450000,0.450000,0.300000,0.450000,0.450000,33000
2000-10-30,0.300000,0.550000,0.300000,0.550000,0.550000,103600
2000-10-31,0.620000,0.875000,0.530000,0.700000,0.700000,165700
2000-11-01,0.750000,0.850000,0.650000,0.750000,0.750000,197400
2000-11-02,0.770000,0.800000,0.650000,0.700000,0.700000,97600
2000-11-03,0.700000,0.750000,0.625000,0.670000,0.670000,137900
2000-11-06,0.813000,0.938000,0.625000,0.750000,0.750000,379600
2000-11-07,0.781000,0.813000,0.625000,0.688000,0.688000,186100
2000-11-08,0.750000,0.750000,0.563000,0.563000,0.563000,265300
2000-11-09,0.531000,0.625000,0.500000,0.625000,0.625000,23600
2000-11-10,0.625000,0.750000,0.563000,0.688000,0.688000,329900
2000-11-13,0.640000,0.688000,0.531000,0.531000,0.531000,65800
2000-11-14,0.656000,0.656000,0.510000,0.563000,0.563000,1025400
2000-11-15,0.580000,0.590000,0.480000,0.520000,0.520000,310500
2000-11-16,0.530000,0.530000,0.380000,0.420000,0.420000,208100
2000-11-17,0.410000,0.410000,0.330000,0.344000,0.344000,291300
2000-11-20,0.390000,0.400000,0.310000,0.340000,0.340000,121300
2000-11-21,0.360000,0.360000,0.300000,0.330000,0.330000,61600
2000-11-22,0.320000,0.350000,0.270000,0.340000,0.340000,88900
2000-11-24,0.350000,0.350000,0.300000,0.300000,0.300000,57600
2000-11-27,0.290000,0.290000,0.280000,0.285000,0.285000,43300
2000-11-28,0.290000,0.290000,0.150000,0.150000,0.150000,150500
2000-11-29,0.150000,0.160000,0.094000,0.150000,0.150000,200800
2000-11-30,0.150000,0.180000,0.120000,0.180000,0.180000,96500
2000-12-01,0.200000,0.240000,0.180000,0.190000,0.190000,280600
2000-12-04,0.200000,0.220000,0.200000,0.220000,0.220000,133200
2000-12-05,0.220000,0.300000,0.220000,0.260000,0.260000,450900
2000-12-06,0.290000,0.290000,0.240000,0.245000,0.245000,270500
