Date,Open,High,Low,Close,Adj Close,Volume
2013-04-03,11.320000,11.320000,11.320000,11.320000,7.406617,0
2013-04-04,null,null,null,null,null,null
2013-04-05,null,null,null,null,null,null
2013-04-08,null,null,null,null,null,null
2013-04-09,null,null,null,null,null,null
2013-04-10,null,null,null,null,null,null
2013-04-11,null,null,null,null,null,null
2013-04-12,null,null,null,null,null,null
2013-04-15,null,null,null,null,null,null
2013-04-16,null,null,null,null,null,null
2013-04-17,null,null,null,null,null,null
2013-04-18,null,null,null,null,null,null
2013-04-19,null,null,null,null,null,null
2013-04-22,null,null,null,null,null,null
2013-04-23,null,null,null,null,null,null
2013-04-24,null,null,null,null,null,null
2013-04-25,null,null,null,null,null,null
2013-04-26,null,null,null,null,null,null
2013-04-29,null,null,null,null,null,null
2013-04-30,null,null,null,null,null,null
2013-05-01,null,null,null,null,null,null
2013-05-02,null,null,null,null,null,null
2013-05-03,null,null,null,null,null,null
2013-05-06,null,null,null,null,null,null
2013-05-07,null,null,null,null,null,null
2013-05-08,null,null,null,null,null,null
2013-05-09,null,null,null,null,null,null
2013-05-10,11.820000,12.050000,11.820000,12.050000,7.884253,200
2013-05-13,12.050000,12.050000,12.050000,12.050000,7.884253,0
2013-05-14,12.050000,12.050000,12.050000,12.050000,7.884253,0
2013-05-15,12.050000,12.050000,12.050000,12.050000,7.884253,0
2013-05-16,12.050000,12.050000,12.050000,12.050000,7.884253,0
2013-05-17,12.050000,12.050000,12.050000,12.050000,7.884253,0
2013-05-20,12.050000,12.050000,12.050000,12.050000,7.884253,0
2013-05-21,12.050000,12.050000,12.050000,12.050000,7.884253,0
2013-05-22,12.050000,12.050000,12.050000,12.050000,7.884253,0
2013-05-23,12.050000,12.050000,12.050000,12.050000,7.884253,0
2013-05-24,12.050000,12.050000,12.050000,12.050000,7.884253,0
2013-05-28,12.050000,12.050000,12.050000,12.050000,8.215021,0
2013-05-29,12.050000,12.050000,12.050000,12.050000,8.215021,0
2013-05-30,12.050000,12.050000,12.050000,12.050000,8.215021,0
2013-05-31,12.050000,12.050000,12.050000,12.050000,8.215021,0
2013-06-03,12.050000,12.050000,12.050000,12.050000,8.215021,0
2013-06-04,10.870000,10.870000,10.870000,10.870000,7.410562,100
2013-06-05,10.870000,10.870000,10.870000,10.870000,7.410562,0
2013-06-06,10.870000,10.870000,10.870000,10.870000,7.410562,0
2013-06-07,10.870000,10.870000,10.870000,10.870000,7.410562,0
2013-06-10,10.870000,10.870000,10.870000,10.870000,7.410562,0
2013-06-11,10.100000,10.100000,10.100000,10.100000,6.885619,100
2013-06-12,10.100000,10.100000,10.100000,10.100000,6.885619,0
2013-06-13,10.100000,10.100000,10.100000,10.100000,6.885619,0
2013-06-14,10.100000,10.100000,10.100000,10.100000,6.885619,0
2013-06-17,10.100000,10.100000,10.100000,10.100000,6.885619,0
2013-06-18,10.100000,10.100000,10.100000,10.100000,6.885619,0
2013-06-19,10.100000,10.100000,10.100000,10.100000,6.885619,0
2013-06-20,9.700000,9.700000,9.700000,9.700000,6.612921,250
2013-06-21,9.700000,9.700000,9.700000,9.700000,6.612921,0
2013-06-24,9.100000,9.100000,9.100000,9.100000,6.203876,100
2013-06-25,9.100000,9.100000,9.100000,9.100000,6.203876,0
2013-06-26,9.400000,9.400000,9.400000,9.400000,6.408398,100
2013-06-27,9.400000,9.400000,9.400000,9.400000,6.408398,0
2013-06-28,9.400000,9.400000,9.400000,9.400000,6.408398,0
2013-07-01,9.400000,9.400000,9.400000,9.400000,6.408398,0
2013-07-02,9.400000,9.400000,9.400000,9.400000,6.408398,0
2013-07-03,9.400000,9.400000,9.400000,9.400000,6.408398,0
2013-07-05,9.400000,9.400000,9.400000,9.400000,6.408398,0
2013-07-08,9.400000,9.400000,9.400000,9.400000,6.408398,0
2013-07-09,9.400000,9.400000,9.400000,9.400000,6.408398,0
2013-07-10,9.400000,9.400000,9.400000,9.400000,6.408398,0
2013-07-11,9.400000,9.400000,9.400000,9.400000,6.408398,0
2013-07-12,9.350000,9.380000,9.350000,9.380000,6.394763,1600
2013-07-15,9.380000,9.380000,9.380000,9.380000,6.394763,0
2013-07-16,9.380000,9.380000,9.380000,9.380000,6.394763,0
2013-07-17,9.390000,9.390000,9.390000,9.390000,6.401581,100
2013-07-18,9.390000,9.390000,9.390000,9.390000,6.401581,0
2013-07-19,9.390000,9.390000,9.390000,9.390000,6.401581,0
2013-07-22,9.390000,9.390000,9.390000,9.390000,6.401581,0
2013-07-23,9.390000,9.390000,9.390000,9.390000,6.401581,0
2013-07-24,9.570000,9.570000,9.570000,9.570000,6.524294,100
2013-07-25,9.570000,9.570000,9.570000,9.570000,6.524294,0
2013-07-26,9.570000,9.570000,9.570000,9.570000,6.524294,0
2013-07-29,9.570000,9.570000,9.570000,9.570000,6.524294,0
2013-07-30,9.570000,9.570000,9.570000,9.570000,6.524294,0
2013-07-31,9.340000,9.340000,9.340000,9.340000,6.367494,100
2013-08-01,9.340000,9.340000,9.340000,9.340000,6.367494,0
2013-08-02,9.340000,9.340000,9.340000,9.340000,6.367494,0
2013-08-05,9.340000,9.340000,9.340000,9.340000,6.367494,0
2013-08-06,9.340000,9.340000,9.340000,9.340000,6.367494,0
2013-08-07,9.340000,9.340000,9.340000,9.340000,6.367494,0
2013-08-08,9.140000,9.140000,9.140000,9.140000,6.231144,100
2013-08-09,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-08-12,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-08-13,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-08-14,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-08-15,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-08-16,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-08-19,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-08-20,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-08-21,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-08-22,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-08-23,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-08-26,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-08-27,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-08-28,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-08-29,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-08-30,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-09-03,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-09-04,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-09-05,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-09-06,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-09-09,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-09-10,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-09-11,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-09-12,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-09-13,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-09-16,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-09-17,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-09-18,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-09-19,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-09-20,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-09-23,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-09-24,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-09-25,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-09-26,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-09-27,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-09-30,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-10-01,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-10-02,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-10-03,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-10-04,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-10-07,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-10-08,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-10-09,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-10-10,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-10-11,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-10-14,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-10-15,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-10-16,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-10-17,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-10-18,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-10-21,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-10-22,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-10-23,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-10-24,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-10-25,9.140000,9.140000,9.140000,9.140000,6.231144,0
2013-10-28,10.480000,10.480000,10.480000,10.480000,7.144682,200
2013-10-29,10.480000,10.480000,10.480000,10.480000,7.144682,0
