Date,Open,High,Low,Close,Adj Close,Volume
2017-09-26,8.400000,8.400000,8.400000,8.400000,7.828487,0
2017-09-27,8.400000,8.400000,8.400000,8.400000,7.828487,0
2017-09-28,8.400000,8.400000,8.400000,8.400000,7.828487,0
2017-09-29,8.280000,8.280000,8.280000,8.280000,7.716652,3000
2017-10-02,8.280000,8.280000,8.280000,8.280000,7.716652,0
2017-10-03,8.310000,8.310000,8.280000,8.280000,7.716652,1200
2017-10-04,8.330000,8.330000,8.330000,8.330000,7.763251,500
2017-10-05,8.330000,8.330000,8.330000,8.330000,7.763251,0
2017-10-06,8.330000,8.330000,8.330000,8.330000,7.763251,0
2017-10-09,8.380000,8.380000,8.380000,8.380000,7.809849,500
2017-10-10,8.380000,8.380000,8.380000,8.380000,7.809849,0
2017-10-11,8.235000,8.240000,8.235000,8.240000,7.679374,3100
2017-10-12,8.320000,8.320000,8.320000,8.320000,7.753931,100
2017-10-13,8.295000,8.295000,8.295000,8.295000,7.730633,1100
2017-10-16,8.410000,8.520000,8.410000,8.520000,7.940324,3000
2017-10-17,8.520000,8.520000,8.520000,8.520000,7.940324,0
2017-10-18,8.650000,8.650000,8.650000,8.650000,8.061479,300
2017-10-19,8.700000,8.700000,8.700000,8.700000,8.108077,300
2017-10-20,8.700000,8.700000,8.700000,8.700000,8.108077,7500
2017-10-23,8.700000,8.700000,8.700000,8.700000,8.108077,0
2017-10-24,8.700000,8.700000,8.700000,8.700000,8.108077,34000
2017-10-25,8.399000,8.399000,8.310000,8.310000,7.744612,700
2017-10-26,8.310000,8.310000,8.310000,8.310000,7.744612,0
2017-10-27,8.221000,8.300000,8.220000,8.300000,7.735292,1100
2017-10-30,8.316000,8.316000,8.316000,8.316000,7.750203,600
2017-10-31,8.330000,8.330000,8.220000,8.220000,7.660735,3000
2017-11-01,8.220000,8.400000,8.220000,8.400000,7.828487,7400
2017-11-02,8.400000,8.400000,8.400000,8.400000,7.828487,0
2017-11-03,8.400000,8.400000,8.400000,8.400000,7.828487,0
2017-11-06,8.460000,8.460000,8.400000,8.400000,7.828487,12500
2017-11-07,8.400000,8.400000,8.400000,8.400000,7.828487,0
2017-11-08,8.400000,8.400000,8.400000,8.400000,7.828487,0
2017-11-09,8.360000,8.400000,8.360000,8.400000,7.828487,1300
2017-11-10,8.400000,8.400000,8.400000,8.400000,7.828487,0
2017-11-13,8.400000,8.400000,8.400000,8.400000,7.828487,0
2017-11-14,8.395000,8.395000,8.300000,8.300000,7.735292,7700
2017-11-15,8.390000,8.390000,8.390000,8.390000,7.819170,200
2017-11-16,8.390000,8.390000,8.390000,8.390000,7.819170,8500
2017-11-17,8.390000,8.390000,8.390000,8.390000,7.819170,0
2017-11-20,8.390000,8.390000,8.390000,8.390000,7.819170,0
2017-11-21,8.390000,8.390000,8.390000,8.390000,7.819170,900
2017-11-22,8.380000,8.380000,8.380000,8.380000,7.809849,1700
2017-11-24,8.380000,8.380000,8.380000,8.380000,7.809849,0
2017-11-27,8.340000,8.340000,8.340000,8.340000,7.772570,2900
2017-11-28,8.350000,8.350000,8.350000,8.350000,7.781890,100
2017-11-29,8.350000,8.350000,8.350000,8.350000,7.781890,0
2017-11-30,8.400000,8.400000,8.400000,8.400000,7.828487,200
2017-12-01,8.400000,8.400000,8.400000,8.400000,7.828487,0
2017-12-04,8.480000,8.480000,8.480000,8.480000,7.903045,100
2017-12-05,8.440000,8.440000,8.440000,8.440000,7.865767,100
2017-12-06,8.440000,8.440000,8.440000,8.440000,7.865767,100
2017-12-07,8.440000,8.440000,8.440000,8.440000,7.865767,0
2017-12-08,8.440000,8.440000,8.440000,8.440000,7.865767,0
2017-12-11,8.440000,8.440000,8.440000,8.440000,7.865767,0
2017-12-12,8.440000,8.440000,8.440000,8.440000,7.865767,0
2017-12-13,8.440000,8.440000,8.440000,8.440000,7.865767,0
2017-12-14,8.440000,8.440000,8.440000,8.440000,7.865767,0
2017-12-15,8.440000,8.440000,8.440000,8.440000,7.865767,0
2017-12-18,8.440000,8.440000,8.440000,8.440000,7.865767,0
2017-12-19,8.440000,8.440000,8.440000,8.440000,7.865767,0
2017-12-20,8.440000,8.440000,8.440000,8.440000,7.865767,1000
2017-12-21,8.440000,8.440000,8.440000,8.440000,7.865767,0
2017-12-22,8.440000,8.440000,8.440000,8.440000,7.865767,0
2017-12-26,8.440000,8.440000,8.440000,8.440000,7.865767,0
2017-12-27,8.440000,8.440000,8.440000,8.440000,7.865767,4100
2017-12-28,8.640000,8.640000,8.640000,8.640000,8.052159,1500
2017-12-29,8.840000,8.840000,8.840000,8.840000,8.238551,1300
2018-01-02,8.840000,8.840000,8.840000,8.840000,8.238551,0
2018-01-03,8.840000,8.840000,8.840000,8.840000,8.238551,0
2018-01-04,8.840000,8.840000,8.840000,8.840000,8.238551,36100
2018-01-05,8.840000,8.840000,8.840000,8.840000,8.238551,0
2018-01-08,8.930000,8.930000,8.930000,8.930000,8.322428,200
2018-01-09,8.990000,8.990000,8.990000,8.990000,8.378346,200
2018-01-10,9.100000,9.100000,9.100000,9.100000,8.480863,3000
2018-01-11,9.150000,9.150000,9.150000,9.150000,8.527460,6600
2018-01-12,9.150000,9.150000,9.150000,9.150000,8.527460,0
2018-01-16,9.210000,9.210000,9.160000,9.160000,8.536779,21300
2018-01-17,9.160000,9.160000,9.160000,9.160000,8.536779,5000
2018-01-18,9.160000,9.160000,9.160000,9.160000,8.536779,0
2018-01-19,9.220000,9.220000,9.220000,9.220000,8.592697,39600
2018-01-22,9.350000,9.350000,9.350000,9.350000,8.713852,1000
2018-01-23,9.540000,9.540000,9.460000,9.460000,8.816369,8800
2018-01-24,9.460000,9.460000,9.460000,9.460000,8.816369,0
2018-01-25,9.590000,9.590000,9.320000,9.320000,8.685894,2100
2018-01-26,9.320000,9.320000,9.320000,9.320000,8.685894,0
2018-01-29,9.320000,9.320000,9.320000,9.320000,8.685894,2000
2018-01-30,9.416000,9.416000,9.416000,9.416000,8.775363,2100
2018-01-31,9.416000,9.416000,9.416000,9.416000,8.775363,5700
2018-02-01,9.416000,9.416000,9.416000,9.416000,8.775363,0
2018-02-02,9.416000,9.416000,9.416000,9.416000,8.775363,18000
2018-02-05,9.202000,9.202000,9.170000,9.170000,8.546100,1500
2018-02-06,9.170000,9.170000,9.170000,9.170000,8.546100,0
2018-02-07,9.170000,9.170000,9.170000,9.170000,8.546100,0
