Date,Open,High,Low,Close,Adj Close,Volume
2003-10-29,4.500000,4.940000,4.261000,4.400000,4.400000,68900
2003-10-30,4.700000,4.840000,4.700000,4.800000,4.800000,165600
2003-10-31,4.850000,4.910000,4.700000,4.910000,4.910000,64400
2003-11-03,4.910000,4.910000,4.710000,4.910000,4.910000,8500
2003-11-04,4.700000,4.710000,4.700000,4.700000,4.700000,7000
2003-11-05,4.710000,4.750000,4.710000,4.710000,4.710000,13800
2003-11-06,4.700000,4.701000,4.500000,4.700000,4.700000,31400
2003-11-07,4.700000,4.800000,4.700000,4.780000,4.780000,26300
2003-11-10,4.700000,4.700000,4.700000,4.700000,4.700000,9725
2003-11-11,4.700000,4.700000,4.500000,4.700000,4.700000,15100
2003-11-12,4.500000,4.520000,4.470000,4.500000,4.500000,18400
2003-11-13,4.500000,4.500000,4.390000,4.500000,4.500000,30600
2003-11-14,4.850000,4.850000,4.460000,4.770000,4.770000,14300
2003-11-17,4.700000,4.900000,4.700000,4.760000,4.760000,6300
2003-11-18,4.710000,4.710000,4.450000,4.450000,4.450000,15000
2003-11-19,4.440000,4.440000,4.090000,4.170000,4.170000,6700
2003-11-20,4.140000,4.271000,4.140000,4.140000,4.140000,7900
2003-11-21,4.400000,4.480000,3.570000,3.999000,3.999000,65250
2003-11-24,3.800000,3.800000,3.330000,3.550000,3.550000,56000
2003-11-25,3.467000,3.610000,3.350000,3.410000,3.410000,22200
2003-11-26,4.000000,4.000000,3.400000,3.400000,3.400000,10300
2003-11-28,3.400000,3.400000,3.180000,3.300000,3.300000,1800
2003-12-01,3.300000,3.780000,3.300000,3.780000,3.780000,3000
2003-12-02,3.350000,3.780000,3.230000,3.500000,3.500000,4980
2003-12-03,3.500000,3.639000,3.300000,3.600000,3.600000,14825
2003-12-04,3.600000,4.000000,3.600000,3.950000,3.950000,50430
2003-12-05,3.800000,3.800000,3.800000,3.800000,3.800000,1100
2003-12-08,3.800000,3.800000,3.800000,3.800000,3.800000,2000
2003-12-09,4.000000,4.250000,3.950000,4.000000,4.000000,13000
2003-12-10,4.000000,4.100000,3.900000,3.900000,3.900000,3530
2003-12-11,4.100000,4.100000,3.860000,4.000000,4.000000,16900
2003-12-12,4.000000,4.100000,4.000000,4.100000,4.100000,4800
2003-12-15,4.100000,4.100000,3.900000,3.900000,3.900000,4100
2003-12-16,3.940000,3.940000,3.750000,3.750000,3.750000,11300
2003-12-17,null,null,null,null,null,null
2003-12-18,3.700000,3.700000,3.570000,3.570000,3.570000,5700
2003-12-19,3.560000,3.560000,3.530000,3.530000,3.530000,1600
2003-12-22,3.520000,4.000000,3.520000,4.000000,4.000000,12700
2003-12-23,3.850000,3.850000,3.850000,3.850000,3.850000,4000
2003-12-24,null,null,null,null,null,null
2003-12-26,3.550000,3.550000,3.550000,3.550000,3.550000,2000
2003-12-29,3.550000,3.850000,3.550000,3.550000,3.550000,21800
2003-12-30,4.030000,4.030000,3.550000,3.550000,3.550000,3000
2003-12-31,3.700000,3.700000,3.500000,3.500000,3.500000,2600
2004-01-02,3.500000,3.500000,3.500000,3.500000,3.500000,1500
2004-01-05,3.850000,3.850000,3.500000,3.500000,3.500000,758
2004-01-06,3.500000,3.500000,2.970000,3.000000,3.000000,14504
2004-01-07,3.170000,3.500000,3.000000,3.160000,3.160000,16460
2004-01-08,3.180000,3.600000,3.180000,3.600000,3.600000,6600
2004-01-09,3.430000,3.430000,3.200000,3.200000,3.200000,1400
2004-01-12,3.600000,3.600000,3.200000,3.350000,3.350000,3550
2004-01-13,3.420000,3.550000,3.350000,3.550000,3.550000,6100
2004-01-14,3.500000,3.580000,3.350000,3.350000,3.350000,7850
2004-01-15,3.400000,3.400000,3.260000,3.260000,3.260000,4300
2004-01-16,3.130000,3.430000,3.010000,3.330000,3.330000,14204
2004-01-20,3.120000,3.160000,2.900000,3.140000,3.140000,17100
2004-01-21,3.100000,3.100000,2.910000,3.020000,3.020000,12525
2004-01-22,2.960000,3.000000,2.800000,3.000000,3.000000,37639
2004-01-23,2.900000,3.020000,2.900000,3.010000,3.010000,25461
2004-01-26,3.020000,3.020000,3.000000,3.000000,3.000000,13200
2004-01-27,3.130000,3.130000,2.850000,2.873000,2.873000,13480
2004-01-28,2.950000,3.010000,2.650000,2.650000,2.650000,17890
2004-01-29,2.789000,2.789000,2.021000,2.140000,2.140000,122450
2004-01-30,2.400000,2.400000,2.140000,2.180000,2.180000,36275
2004-02-02,2.300000,2.300000,2.200000,2.200000,2.200000,2800
2004-02-03,2.300000,2.360000,2.230000,2.230000,2.230000,20700
2004-02-04,2.390000,2.390000,2.220000,2.230000,2.230000,7857
2004-02-05,2.250000,2.250000,2.030000,2.200000,2.200000,9600
2004-02-06,2.100000,2.200000,2.080000,2.090000,2.090000,13596
2004-02-09,2.080000,2.269000,2.000000,2.060000,2.060000,9195
2004-02-10,2.190000,2.270000,2.100000,2.270000,2.270000,6114
2004-02-11,2.280000,2.400000,2.150000,2.370000,2.370000,25110
2004-02-12,2.280000,2.390000,2.080000,2.120000,2.120000,38585
2004-02-13,2.250000,2.500000,2.200000,2.380000,2.380000,21200
2004-02-17,2.390000,2.460000,2.250000,2.360000,2.360000,14845
2004-02-18,2.340000,2.460000,2.320000,2.460000,2.460000,21320
2004-02-19,2.400000,2.430000,2.400000,2.401000,2.401000,30900
2004-02-20,2.410000,2.490000,2.400000,2.490000,2.490000,6245
2004-02-23,2.450000,2.500000,2.410000,2.450000,2.450000,10165
2004-02-24,2.500000,2.530000,2.400000,2.410000,2.410000,15825
2004-02-25,2.420000,2.420000,2.410000,2.410000,2.410000,2000
2004-02-26,2.430000,2.540000,2.410000,2.410000,2.410000,15620
2004-02-27,2.450000,2.910000,2.400000,2.740000,2.740000,25700
2004-03-01,2.740000,2.750000,2.500000,2.650000,2.650000,16350
2004-03-02,2.640000,2.829000,2.570000,2.750000,2.750000,9850
2004-03-03,2.780000,2.850000,2.740000,2.800000,2.800000,23339
2004-03-04,2.700000,2.910000,2.680000,2.910000,2.910000,5500
2004-03-05,2.680000,2.750000,2.680000,2.680000,2.680000,10602
2004-03-08,2.950000,2.950000,2.710000,2.710000,2.710000,4900
2004-03-09,2.790000,2.790000,2.550000,2.610000,2.610000,12425
2004-03-10,2.520000,2.650000,2.500000,2.500000,2.500000,6102
2004-03-11,2.675000,2.730000,2.490000,2.640000,2.640000,18400
2004-03-12,2.640000,2.770000,2.600000,2.600000,2.600000,9085
2004-03-15,2.460000,2.480000,2.410000,2.460000,2.460000,4000
2004-03-16,null,null,null,null,null,null
2004-03-17,2.420000,2.780000,2.420000,2.770000,2.770000,33300
2004-03-18,2.780000,2.990000,2.750000,2.990000,2.990000,25500
2004-03-19,2.980000,2.980000,2.810000,2.810000,2.810000,3120
2004-03-22,2.660000,2.660000,2.660000,2.660000,2.660000,500
2004-03-23,2.680000,2.940000,2.670000,2.890000,2.890000,5700
2004-03-24,2.800000,2.800000,2.800000,2.800000,2.800000,100
2004-03-25,null,null,null,null,null,null
2004-03-26,2.610000,2.950000,2.400000,2.950000,2.950000,3500
2004-03-29,null,null,null,null,null,null
2004-03-30,2.950000,2.950000,2.700000,2.700000,2.700000,1718
2004-03-31,2.700000,2.700000,2.450000,2.590000,2.590000,12800
2004-04-01,2.600000,2.600000,2.550000,2.600000,2.600000,8500
2004-04-02,2.600000,2.600000,2.540000,2.540000,2.540000,2309
2004-04-05,2.700000,2.700000,2.700000,2.700000,2.700000,1000
2004-04-06,2.555000,2.690000,2.550000,2.550000,2.550000,1109
2004-04-07,null,null,null,null,null,null
2004-04-08,2.600000,2.600000,2.350000,2.350000,2.350000,28715
2004-04-12,2.620000,2.670000,2.260000,2.260000,2.260000,7150
2004-04-13,2.555000,2.555000,2.300000,2.460000,2.460000,11692
2004-04-14,2.660000,2.660000,2.200000,2.300000,2.300000,31724
2004-04-15,2.200000,2.420000,2.170000,2.300000,2.300000,5900
2004-04-16,2.200000,2.350000,2.180000,2.240000,2.240000,29700
2004-04-19,2.459000,2.459000,2.110000,2.190000,2.190000,5550
2004-04-20,null,null,null,null,null,null
2004-04-21,2.150000,2.230000,2.100000,2.100000,2.100000,11400
2004-04-22,2.101000,2.101000,1.850000,2.020000,2.020000,15100
2004-04-23,2.100000,2.250000,2.100000,2.210000,2.210000,15890
2004-04-26,2.270000,2.410000,2.270000,2.400000,2.400000,13226
2004-04-27,2.490000,2.490000,2.270000,2.280000,2.280000,16000
2004-04-28,2.310000,2.320000,2.200000,2.250000,2.250000,14000
2004-04-29,null,null,null,null,null,null
2004-04-30,2.458000,2.458000,2.260000,2.260000,2.260000,1470
2004-05-03,2.360000,2.430000,2.360000,2.430000,2.430000,4600
2004-05-04,2.460000,2.460000,2.200000,2.210000,2.210000,11500
2004-05-05,2.460000,2.480000,2.380000,2.390000,2.390000,1100
2004-05-06,2.200000,2.200000,2.010000,2.040000,2.040000,1800
2004-05-07,null,null,null,null,null,null
2004-05-10,2.060000,2.240000,2.050000,2.140000,2.140000,3800
2004-05-11,2.230000,2.230000,2.230000,2.230000,2.230000,200
2004-05-12,null,null,null,null,null,null
2004-05-13,2.160000,2.430000,2.070000,2.080000,2.080000,4400
2004-05-14,null,null,null,null,null,null
2004-05-17,null,null,null,null,null,null
2004-05-18,null,null,null,null,null,null
2004-05-19,2.110000,2.110000,2.100000,2.110000,2.110000,4400
2004-05-20,2.100000,2.100000,2.060000,2.060000,2.060000,2300
2004-05-21,2.050000,2.070000,2.000000,2.010000,2.010000,12524
2004-05-24,2.200000,2.200000,1.990000,2.000000,2.000000,17312
2004-05-25,2.320000,2.320000,1.920000,2.080000,2.080000,12110
2004-05-26,2.010000,2.030000,1.910000,1.930000,1.930000,22545
2004-05-27,1.980000,1.980000,1.980000,1.980000,1.980000,700
2004-05-28,1.980000,1.980000,1.980000,1.980000,1.980000,300
2004-06-01,1.950000,1.950000,1.910000,1.920000,1.920000,1845
2004-06-02,2.050000,2.050000,1.920000,1.950000,1.950000,2600
2004-06-03,1.950000,1.950000,1.900000,1.900000,1.900000,29711
2004-06-04,1.810000,1.810000,1.710000,1.790000,1.790000,14400
2004-06-07,1.740000,1.900000,1.740000,1.900000,1.900000,2500
2004-06-08,1.900000,1.900000,1.790000,1.800000,1.800000,7000
2004-06-09,2.120000,2.150000,1.990000,2.000000,2.000000,5850
2004-06-10,1.840000,2.000000,1.820000,2.000000,2.000000,1000
2004-06-14,2.030000,2.030000,2.000000,2.000000,2.000000,8700
2004-06-15,2.000000,2.190000,2.000000,2.000000,2.000000,5380
2004-06-16,2.000000,2.000000,2.000000,2.000000,2.000000,2451
2004-06-17,2.180000,2.180000,1.820000,1.950000,1.950000,13760
2004-06-18,2.000000,2.139000,1.811000,2.061000,2.061000,12865
2004-06-21,2.110000,2.110000,1.810000,2.000000,2.000000,13900
2004-06-22,2.010000,2.010000,2.000000,2.000000,2.000000,6700
2004-06-23,2.000000,2.000000,1.810000,1.870000,1.870000,16600
2004-06-24,1.760000,1.900000,1.710000,1.870000,1.870000,7000
2004-06-25,1.900000,1.900000,1.700000,1.700000,1.700000,11800
2004-06-28,1.900000,2.140000,1.740000,1.800000,1.800000,5100
2004-06-29,1.910000,1.960000,1.790000,1.960000,1.960000,5000
2004-06-30,2.000000,2.090000,1.970000,2.000000,2.000000,2900
2004-07-01,1.970000,2.190000,1.890000,2.000000,2.000000,5110
2004-07-02,null,null,null,null,null,null
2004-07-06,1.950000,2.000000,1.950000,2.000000,2.000000,200
2004-07-07,1.950000,2.010000,1.950000,2.000000,2.000000,500
2004-07-08,2.050000,2.050000,1.950000,1.950000,1.950000,3100
2004-07-09,2.000000,2.130000,1.950000,1.950000,1.950000,2600
2004-07-12,1.970000,1.970000,1.820000,1.820000,1.820000,2100
2004-07-13,1.820000,1.930000,1.800000,1.800000,1.800000,1800
2004-07-14,1.800000,1.800000,1.800000,1.800000,1.800000,1200
2004-07-15,1.750000,1.750000,1.690000,1.718000,1.718000,14090
2004-07-16,1.700000,1.740000,1.700000,1.740000,1.740000,1400
2004-07-19,null,null,null,null,null,null
2004-07-20,1.700000,1.700000,1.700000,1.700000,1.700000,200
2004-07-21,1.700000,1.700000,1.550000,1.600000,1.600000,8000
2004-07-22,1.600000,1.600000,1.320000,1.320000,1.320000,17857
2004-07-23,1.320000,1.320000,1.320000,1.320000,1.320000,2000
2004-07-26,1.300000,1.300000,1.290000,1.290000,1.290000,1150
2004-07-27,1.300000,1.300000,1.300000,1.300000,1.300000,200
2004-07-28,1.480000,1.600000,1.480000,1.600000,1.600000,3940
2004-07-29,1.680000,1.680000,1.520000,1.620000,1.620000,3625
2004-07-30,1.540000,1.630000,1.480000,1.480000,1.480000,4600
2004-08-02,1.550000,1.690000,1.550000,1.560000,1.560000,2000
2004-08-03,1.650000,1.650000,1.650000,1.650000,1.650000,400
2004-08-04,1.480000,1.490000,1.300000,1.300000,1.300000,8200
2004-08-05,1.668000,1.668000,1.400000,1.400000,1.400000,6455
2004-08-06,1.400000,1.500000,1.400000,1.500000,1.500000,6400
2004-08-09,1.410000,1.600000,1.400000,1.600000,1.600000,1900
2004-08-10,1.502000,2.290000,1.410000,1.650000,1.650000,11128
2004-08-11,null,null,null,null,null,null
2004-08-12,1.660000,1.660000,1.600000,1.600000,1.600000,2100
2004-08-13,1.610000,1.610000,1.600000,1.600000,1.600000,1000
2004-08-16,1.550000,1.550000,1.500000,1.510000,1.510000,6600
2004-08-17,1.510000,1.510000,1.501000,1.501000,1.501000,1345
2004-08-18,1.700000,1.700000,1.700000,1.700000,1.700000,1500
2004-08-19,1.650000,1.650000,1.550000,1.550000,1.550000,9000
2004-08-20,1.500000,1.510000,1.400000,1.400000,1.400000,20698
2004-08-23,null,null,null,null,null,null
2004-08-24,1.510000,1.610000,1.500000,1.610000,1.610000,5800
2004-08-25,1.410000,1.410000,1.400000,1.400000,1.400000,7950
2004-08-26,1.500000,1.500000,1.500000,1.500000,1.500000,9000
2004-08-27,1.420000,1.450000,1.360000,1.450000,1.450000,9200
2004-08-30,1.430000,1.450000,1.420000,1.450000,1.450000,2400
2004-08-31,null,null,null,null,null,null
2004-09-01,1.490000,1.500000,1.430000,1.430000,1.430000,1100
2004-09-02,1.420000,1.420000,1.410000,1.420000,1.420000,2400
2004-09-03,null,null,null,null,null,null
2004-09-07,1.400000,1.400000,1.400000,1.400000,1.400000,1225
2004-09-08,1.440000,1.450000,1.440000,1.450000,1.450000,2250
2004-09-09,null,null,null,null,null,null
2004-09-10,null,null,null,null,null,null
2004-09-13,null,null,null,null,null,null
2004-09-14,null,null,null,null,null,null
2004-09-15,1.360000,1.360000,1.360000,1.360000,1.360000,400
2004-09-16,1.360000,1.360000,1.360000,1.360000,1.360000,100
2004-09-17,null,null,null,null,null,null
2004-09-20,1.370000,1.370000,1.320000,1.320000,1.320000,1300
2004-09-21,1.250000,1.320000,1.200000,1.320000,1.320000,6400
2004-09-22,1.200000,1.200000,1.180000,1.180000,1.180000,2000
2004-09-23,null,null,null,null,null,null
2004-09-24,1.450000,1.569000,1.450000,1.569000,1.569000,6165
2004-09-27,1.600000,1.600000,1.260000,1.330000,1.330000,13900
2004-09-28,1.260000,1.300000,1.260000,1.300000,1.300000,5000
2004-09-29,1.260000,1.260000,1.260000,1.260000,1.260000,1000
2004-09-30,null,null,null,null,null,null
2004-10-01,1.350000,1.350000,1.350000,1.350000,1.350000,3000
2004-10-04,1.350000,1.350000,1.260000,1.260000,1.260000,3200
2004-10-05,1.270000,1.300000,1.260000,1.260000,1.260000,11700
2004-10-06,1.201000,1.260000,1.201000,1.260000,1.260000,1800
2004-10-07,1.290000,1.290000,1.200000,1.200000,1.200000,1100
2004-10-08,1.200000,1.250000,1.200000,1.250000,1.250000,6000
2004-10-11,1.300000,1.300000,1.300000,1.300000,1.300000,100
2004-10-12,1.210000,1.210000,1.200000,1.200000,1.200000,5800
2004-10-13,1.250000,1.300000,1.200000,1.200000,1.200000,6000
2004-10-14,null,null,null,null,null,null
2004-10-15,1.210000,1.210000,1.210000,1.210000,1.210000,1000
2004-10-18,1.201000,1.201000,1.201000,1.201000,1.201000,100
2004-10-19,null,null,null,null,null,null
2004-10-20,1.200000,1.300000,1.200000,1.300000,1.300000,2369
2004-10-21,1.200000,1.200000,1.200000,1.200000,1.200000,1900
