Date,Open,High,Low,Close,Adj Close,Volume
2006-02-16,0.470000,0.470000,0.470000,0.470000,0.332195,3000
2006-02-17,0.490000,0.490000,0.490000,0.490000,0.346331,15000
2006-02-21,0.500000,0.500000,0.500000,0.500000,0.353399,10000
2006-02-22,0.510000,0.510000,0.510000,0.510000,0.360467,40000
2006-02-23,0.510000,0.510000,0.510000,0.510000,0.360467,48000
2006-02-24,0.500000,0.510000,0.490000,0.500000,0.353399,13100
2006-02-27,0.500000,0.500000,0.490000,0.500000,0.353399,12000
2006-02-28,0.500000,0.500000,0.480000,0.500000,0.353399,15000
2006-03-01,0.500000,0.500000,0.480000,0.500000,0.353399,14500
2006-03-02,0.490000,0.490000,0.490000,0.490000,0.346331,4000
2006-03-03,0.500000,0.500000,0.500000,0.500000,0.353399,9000
2006-03-06,0.490000,0.490000,0.450000,0.490000,0.346331,25000
2006-03-07,0.480000,0.480000,0.470000,0.480000,0.339263,4000
2006-03-08,0.480000,0.480000,0.470000,0.480000,0.339263,17000
2006-03-09,0.480000,0.480000,0.480000,0.480000,0.339263,0
2006-03-10,0.480000,0.480000,0.480000,0.480000,0.339263,0
2006-03-13,0.480000,0.480000,0.480000,0.480000,0.339263,0
2006-03-14,0.470000,0.470000,0.470000,0.470000,0.332195,500
2006-03-15,0.460000,0.460000,0.460000,0.460000,0.325127,3000
2006-03-16,0.460000,0.460000,0.460000,0.460000,0.325127,0
2006-03-17,0.460000,0.460000,0.460000,0.460000,0.325127,0
2006-03-20,0.480000,0.480000,0.480000,0.480000,0.339263,4000
2006-03-21,0.480000,0.480000,0.480000,0.480000,0.339263,0
2006-03-22,0.480000,0.480000,0.480000,0.480000,0.339263,65000
2006-03-23,0.480000,0.480000,0.480000,0.480000,0.339263,5000
2006-03-24,0.470000,0.480000,0.470000,0.470000,0.332195,3000
2006-03-27,0.480000,0.480000,0.480000,0.480000,0.339263,2000
2006-03-28,0.490000,0.490000,0.490000,0.490000,0.346331,1000
2006-03-29,0.470000,0.480000,0.470000,0.470000,0.332195,26000
2006-03-30,0.490000,0.490000,0.490000,0.490000,0.346331,1000
2006-03-31,0.490000,0.490000,0.490000,0.490000,0.346331,3000
2006-04-03,0.490000,0.490000,0.490000,0.490000,0.346331,0
2006-04-04,0.490000,0.500000,0.490000,0.490000,0.346331,7000
2006-04-05,0.490000,0.490000,0.490000,0.490000,0.346331,25000
2006-04-06,0.490000,0.490000,0.480000,0.490000,0.346331,10000
2006-04-07,0.470000,0.470000,0.470000,0.470000,0.332195,4200
2006-04-10,0.420000,0.460000,0.420000,0.420000,0.296855,31000
2006-04-11,0.460000,0.460000,0.460000,0.460000,0.325127,1000
2006-04-12,0.460000,0.460000,0.460000,0.460000,0.325127,64100
2006-04-13,0.460000,0.460000,0.460000,0.460000,0.325127,1000
2006-04-17,0.460000,0.470000,0.460000,0.460000,0.325127,21500
2006-04-18,0.480000,0.480000,0.460000,0.480000,0.339263,64500
2006-04-19,0.430000,0.480000,0.430000,0.430000,0.303923,7600
2006-04-20,0.430000,0.430000,0.430000,0.430000,0.303923,0
2006-04-21,0.460000,0.460000,0.410000,0.460000,0.325127,31100
2006-04-24,0.450000,0.450000,0.450000,0.450000,0.318059,25000
2006-04-25,0.450000,0.450000,0.450000,0.450000,0.318059,5000
2006-04-26,0.450000,0.450000,0.450000,0.450000,0.318059,5000
2006-04-27,0.440000,0.440000,0.440000,0.440000,0.310991,2000
2006-04-28,0.460000,0.460000,0.430000,0.460000,0.325127,61100
2006-05-01,0.450000,0.460000,0.450000,0.450000,0.318059,5000
2006-05-02,0.460000,0.460000,0.460000,0.460000,0.325127,2000
2006-05-03,0.470000,0.470000,0.470000,0.470000,0.332195,10000
2006-05-04,0.460000,0.460000,0.460000,0.460000,0.325127,1000
2006-05-05,0.460000,0.470000,0.460000,0.460000,0.325127,16000
2006-05-08,0.430000,0.500000,0.430000,0.430000,0.303923,20000
2006-05-09,0.450000,0.480000,0.450000,0.450000,0.318059,2000
2006-05-10,0.490000,0.490000,0.490000,0.490000,0.346331,7500
2006-05-11,0.500000,0.500000,0.480000,0.500000,0.353399,114000
2006-05-12,0.480000,0.490000,0.480000,0.480000,0.339263,22000
2006-05-15,0.480000,0.480000,0.470000,0.480000,0.339263,59500
2006-05-16,0.480000,0.480000,0.480000,0.480000,0.339263,0
2006-05-17,0.470000,0.480000,0.470000,0.470000,0.332195,28000
2006-05-18,0.470000,0.470000,0.460000,0.470000,0.332195,33000
2006-05-19,0.480000,0.480000,0.480000,0.480000,0.339263,8000
2006-05-22,0.450000,0.460000,0.450000,0.450000,0.318059,128000
2006-05-23,0.460000,0.460000,0.460000,0.460000,0.325127,4300
2006-05-24,0.460000,0.460000,0.450000,0.460000,0.325127,30600
2006-05-25,0.460000,0.460000,0.450000,0.460000,0.325127,22000
2006-05-26,0.460000,0.460000,0.440000,0.460000,0.325127,3000
2006-05-30,0.450000,0.460000,0.450000,0.450000,0.318059,5000
2006-05-31,0.470000,0.470000,0.450000,0.470000,0.332195,29500
2006-06-01,0.460000,0.460000,0.450000,0.460000,0.325127,51500
2006-06-02,0.460000,0.490000,0.440000,0.460000,0.325127,54500
2006-06-05,0.430000,0.480000,0.430000,0.430000,0.303923,15000
2006-06-06,0.470000,0.490000,0.470000,0.470000,0.332195,10000
2006-06-07,0.470000,0.470000,0.460000,0.470000,0.332195,108500
2006-06-08,0.460000,0.460000,0.460000,0.460000,0.325127,16900
2006-06-09,0.450000,0.460000,0.450000,0.450000,0.318059,27100
2006-06-12,0.450000,0.460000,0.420000,0.450000,0.318059,16500
2006-06-13,0.430000,0.430000,0.430000,0.430000,0.303923,1300
2006-06-14,0.430000,0.430000,0.430000,0.430000,0.303923,0
2006-06-15,0.440000,0.440000,0.440000,0.440000,0.310991,5000
2006-06-16,0.440000,0.440000,0.440000,0.440000,0.310991,0
2006-06-19,0.440000,0.440000,0.440000,0.440000,0.310991,0
2006-06-20,0.440000,0.440000,0.440000,0.440000,0.310991,6000
2006-06-21,0.440000,0.440000,0.440000,0.440000,0.310991,0
2006-06-22,0.400000,0.450000,0.400000,0.400000,0.282719,16000
2006-06-23,0.410000,0.410000,0.410000,0.410000,0.289787,7000
2006-06-26,0.410000,0.410000,0.410000,0.410000,0.289787,13000
2006-06-27,0.430000,0.450000,0.430000,0.430000,0.303923,18400
2006-06-28,0.440000,0.460000,0.440000,0.440000,0.310991,19700
2006-06-29,0.440000,0.440000,0.440000,0.440000,0.310991,0
2006-06-30,0.440000,0.440000,0.440000,0.440000,0.310991,10000
2006-07-03,0.480000,0.480000,0.440000,0.480000,0.339263,15000
2006-07-05,0.480000,0.480000,0.480000,0.480000,0.339263,0
2006-07-06,0.470000,0.470000,0.470000,0.470000,0.332195,10000
2006-07-07,0.430000,0.430000,0.430000,0.430000,0.303923,22000
2006-07-10,0.480000,0.480000,0.430000,0.480000,0.339263,7200
2006-07-11,0.470000,0.470000,0.470000,0.470000,0.332195,1000
2006-07-12,0.470000,0.470000,0.470000,0.470000,0.332195,2200
2006-07-13,0.430000,0.430000,0.430000,0.430000,0.303923,5000
2006-07-14,0.430000,0.460000,0.430000,0.430000,0.303923,12200
2006-07-17,0.430000,0.430000,0.430000,0.430000,0.303923,0
2006-07-18,0.430000,0.430000,0.430000,0.430000,0.303923,0
2006-07-19,0.460000,0.460000,0.450000,0.460000,0.325127,5300
2006-07-20,0.460000,0.460000,0.460000,0.460000,0.325127,900
2006-07-21,0.420000,0.420000,0.420000,0.420000,0.296855,5000
2006-07-24,0.420000,0.420000,0.420000,0.420000,0.296855,0
2006-07-25,0.420000,0.420000,0.420000,0.420000,0.296855,100
2006-07-26,0.420000,0.420000,0.420000,0.420000,0.296855,5000
2006-07-27,0.460000,0.460000,0.460000,0.460000,0.325127,7800
2006-07-28,0.460000,0.460000,0.460000,0.460000,0.325127,0
2006-07-31,0.460000,0.460000,0.460000,0.460000,0.325127,0
2006-08-01,0.450000,0.450000,0.450000,0.450000,0.318059,500
2006-08-02,0.460000,0.460000,0.460000,0.460000,0.325127,1600
2006-08-03,0.460000,0.460000,0.460000,0.460000,0.325127,6000
2006-08-04,0.430000,0.440000,0.430000,0.430000,0.303923,43000
2006-08-07,0.470000,0.470000,0.470000,0.470000,0.332195,4000
2006-08-08,0.430000,0.430000,0.430000,0.430000,0.303923,22000
2006-08-09,0.470000,0.470000,0.470000,0.470000,0.332195,2000
